Year,PIT Date,Housing Type,Number of Households,Number of Persons,Persons in households with children,Single Individuals,Children under age 18,Persons age 18 to 24,Persons over age 24,Female,Male,Transgender,"Don't identify as male, female or transgender",Veterans,Unaccompanied Youth,Parenting Youth,Non-Hispanic/Non-Latino,Hispanic/Latino,White,Black or African-American,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Multiple Races,Adults with Serious Mental Illness,Adults with Substance Use Disorder,Adults with HIV/AIDS,Victims of Domestic Violence,Chronically Homeless persons,Total Units for Households with Children,Total Beds for Households with Children,Total Beds for Households without Children
2017,January 25 2017,Emergency Shelter,273,307,55,252,31,34,242,91,214,2,0,9,27,6,246,61,184,101,4,8,1,9,29,128,3,17,155,25,61,266
2017,January 25 2017,Transitional Housing,105,156,80,76,43,11,102,69,87,0,0,0,1,5,123,33,74,71,3,0,1,7,24,51,10,21,,33,81,92
2017,January 25 2017,Unsheltered,67,67,0,67,0,2,65,19,48,0,0,4,2,0,58,9,49,18,0,0,0,0,24,43,0,4,26,,,
2016,January 27 2016,Emergency Shelter,258,293,59,234,32,36,225,81,212,0,,4,28,5,255,38,167,96,6,7,0,17,45,46,3,30,60,29,72,259
2016,January 27 2016,Transitional Housing,115,155,59,96,32,11,112,80,74,1,,3,3,3,116,39,94,48,0,0,1,12,15,65,10,31,,27,67,103
2016,January 27 2016,Unsheltered,69,69,0,69,0,3,66,13,56,0,,0,3,0,55,14,64,5,0,0,0,0,41,64,0,0,69,,,
2015,February 25 2015,Emergency Shelter,231,271,65,206,39,19,213,71,200,0,,10,6,10,218,53,162,98,4,1,0,6,35,48,0,29,67,29,72,248
2015,February 25 2015,Transitional Housing,121,161,61,100,32,15,114,76,85,0,,4,6,3,125,36,81,70,4,0,0,6,21,59,10,26,,26,66,103
2015,February 25 2015,Unsheltered,32,32,0,32,0,2,30,6,26,0,,3,2,0,30,2,24,4,2,0,0,2,26,28,0,0,30,,,
2014,January 29 2014,Emergency Shelter,253,297,74,223,42,21,234,89,207,1,,14,,,252,45,178,77,4,3,1,34,108,166,2,23,109,31,74,236
2014,January 29 2014,Transitional Housing,135,207,107,100,58,16,133,103,103,1,,3,,,164,43,98,76,8,0,1,24,29,51,12,29,,35,107,103
2014,January 29 2014,Unsheltered,47,47,0,47,0,0,47,11,36,0,,3,,,43,4,38,8,0,0,0,1,25,41,0,5,31,,,
2013,January 31 2013,Emergency Shelter,229,264,59,205,35,15,214,,,,,14,,,,,,,,,,,52,149,7,29,120,24,62,219
2013,January 31 2013,Transitional Housing,127,202,110,92,65,9,128,,,,,2,,,,,,,,,,,21,71,9,23,,36,113,119
2013,January 31 2013,Unsheltered,69,69,0,69,0,4,65,,,,,5,,,,,,,,,,,33,53,0,4,54,,,
2012,January 26 2012,Emergency Shelter,217,260,68,192,,,,,,,,53,,,,,,,,,,,44,157,1,34,132,26,68,193
2012,January 26 2012,Transitional Housing,114,153,60,93,,,,,,,,2,,,,,,,,,,,25,51,10,16,,22,60,105
2012,January 26 2012,Unsheltered,72,72,0,72,,,,,,,,7,,,,,,,,,,,,,,,59,,,
2018,January 31 2018,Emergency Shelter,304,340,60,280,33,39,268,96,239,3,2,10,29,10,276,64,212,105,4,4,0,15,57,122,2,14,159,26,64,312
2018,January 31 2018,Unsheltered,79,79,0,79,0,8,71,23,56,0,0,5,8,0,72,7,64,14,0,0,0,1,27,69,2,1,35,,,
2018,January 31 2018,Transitional Housing,80,142,98,44,51,15,76,62,80,0,0,0,0,6,109,33,59,81,1,0,0,1,15,36,0,5,,38,98,61
2019,January 30 2019,Emergency Shelter,325,361,63,298,32,47,282,109,247,2,3,17,34,11,297,64,215,119,4,7,2,14,80,147,3,17,179,29,65,311
2019,January 30 2019,Transitional Housing,66,136,108,28,58,17,61,69,67,0,0,0,0,7,101,35,44,89,1,0,0,2,6,26,0,8,,38,108,28
2019,January 30 2019,Unsheltered,58,58,0,58,0,13,45,19,37,1,1,2,13,0,51,7,42,14,0,0,0,2,38,49,0,2,37,,,
