Neighborhood ,Area,Population 1980,Population 1990,Population 2000,Population 2010,Net Pop Change 1980 - 2010,Housing Units 1980,Housing Units 1990,Housing Units 2000,Housing Units 2010,Net Housing Unit Change 1990-2010 ,1980 Owner Occupied Units ,1990 Owner Occupied Units ,2000 Owner Occupied Units ,2010 Owner Occupied Units ,1980 Renter Occupied Units,1990 Renter Occupied Units,2000 Renter Occupied Units,2010 Renter Occupied Units,Centerpoint X,Centerpoint Y,Neighborhood Center Point
City of Cambridge,100,95322,95802,101355,105162,9840,41300,41979,44725,47291,5312,8889,11959,13760,16573,29947,27446,28855,30806,,,
East Cambridge,1,5380,5780,7294,9234,3854,2419,3197,4062,5938,2741,530,867,1138,1746,1769,1866,2550,2785,-71.079048347500006,42.368254672699898,
MIT,2,4736,5071,5486,5057,321,867,864,811,336,-528,1,0,5,0,853,838,747,673,-71.091375810000002,42.357990094100003,
Wellington-Harrington,3,7302,7105,7345,6516,-786,2889,2922,3125,2996,74,514,719,735,808,2171,2031,2286,2265,-71.093035804799896,42.371032248200002,
Area Four,4,6532,6886,7263,6792,260,2826,2694,2720,2791,97,364,476,618,736,2083,1981,2012,2311,-71.0968233989,42.365762934800003,
Cambridgeport,5,8670,8977,10052,12220,3550,4223,4430,4760,5391,961,774,1070,1266,1547,3238,3107,3332,3790,-71.107802819900002,42.359193304199898,
Mid-Cambridge,6,13415,13020,13589,12991,-424,6744,6359,6722,6615,256,1306,1904,2070,2402,4932,4139,4305,4253,-71.108360675900002,42.372513570400002,
Riverside,7,10027,10448,10897,12695,2668,3618,3647,3877,4281,634,320,583,744,1036,3084,2782,2994,2911,-71.114050663900002,42.367359989699899,
Agassiz,8,5350,5100,5241,4977,-373,2021,1988,2060,1859,-129,373,513,597,690,1565,1390,1383,1208,-71.115353662700002,42.380726975599899,
Neighborhood Nine,9,10645,11126,11794,11399,754,5209,5474,5799,5744,270,1253,1791,2094,2567,3703,3408,3444,4430,-71.128290333600006,42.385165523399898,
West Cambridge,10,8581,8337,8149,8023,-558,4050,4149,4258,4115,-34,1779,2052,2186,2555,2128,1896,1800,1723,-71.1361691253,42.3766884644999,
North Cambridge,11,10990,10769,11237,11908,918,4888,4916,5107,5618,702,1219,1529,1748,2210,3377,3168,3200,3410,-71.136074604300006,42.395322911400001,
Cambridge Highlands,12,1128,574,498,832,-296,478,240,278,392,152,149,91,136,190,320,143,131,79,-71.149911503799899,42.3900529878999,
Strawberry Hill,13,2566,2609,2510,2518,-48,1068,1099,1146,1215,116,313,364,423,713,724,697,671,968,-71.152826110299898,42.380676801500002,
