Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
1178 CAMBRIDGE ST,3,85-83,85,83,3199,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,4,groundfloor,,,,,POINT (-71.0970002403 42.3730589313)
84 PEMBERTON ST,11,198-18,198,18,4256,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1269095017 42.3905963368)
118 OTIS ST,1,25-122,25,122,1827,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0836387745 42.3706573584)
17 SEVENTH ST,1,35-29,35,29,991,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0855592682 42.3722362112)
16 GORE ST,1,20-38,20,38,2506,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0781310885 42.3713239458)
62 MAGOUN ST,11,189-103,189,103,5000,390,Vacant,COM-DEV-LAND,0,,,,,,POINT (-71.1350070741 42.3986446032)
353 HARVARD ST,6,135-102,135,102,7782,112,Residential,>8-UNIT-APT,26,,,,,,POINT (-71.11049332650002 42.3712720259)
22 FRANCIS AVE,8,146-53,146,53,7579,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1117180477 42.3787049234)
2 GARDEN ST,10,169-96,169,96,2680,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.12098753330001 42.375513)
127 MAGAZINE ST,5,101-54,101,54,12010,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1112561613 42.359423874)
55 HARVEY ST,11,191-8,191,8,1650,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1320879883 42.3974016638)
29 GROZIER RD,10,247-153,247,153,6109,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1412432205 42.3783386509)
107 TREMONT ST,3,82-10,82,10,2807,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0971800711 42.3735537565)
4 BERKELEY ST,10,217-5,217,5,20926,9421,Education Residential,Private College Res Units,1,,,,,Educ NonTax,POINT (-71.1244584973 42.3773425004)
28 ESSEX ST,4,90-140,90,140,2859,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1016632145 42.3664003239)
38 RINDGE AVE,11,198-5,198,5,3522,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1266358346 42.3923424926)
115-117 MAGAZINE ST,5,101-193,101,193,6238,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1106215521 42.3598318647)
819 CAMBRIDGE ST,3,36-125,36,125,4892,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.0904438275 42.3726225195)
461 WINDSOR ST,3,80-46,80,46,1282,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0937256015 42.3721459718)
1673 CAMBRIDGE ST,6,142-43,142,43,7161,302,Hotel,INN-RESORT,0,,,,,,POINT (-71.1108559933 42.3752778548)
1683 CAMBRIDGE ST,6,142-9,142,9,3440,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1113361009 42.375300286)
185 SPRING ST,1,33-89,33,89,1360,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0872353283 42.3700072214)
18 EDMUNDS ST,11,189-76,189,76,6967,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1322877537 42.39839793200001)
207 PROSPECT ST,6,109-42,109,42,5000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1004829149 42.370551267)
1572 MASSACHUSETTS AVE,9,172-12,172,12,12860,112,Residential,>8-UNIT-APT,41,,,,true,,POINT (-71.1207020296 42.3789480366)
11 HIGHLAND ST,10,231-5,231,5,18680,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1323549818 42.379615665)
45 FOSTER ST,10,220-64,220,64,2100,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1293647774 42.3760263818)
25 OAK ST,3,83-77,83,77,1085,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0992733084 42.3743974016)
218-220 CHESTNUT ST,5,100-31,100,31,5349,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.1126827768 42.3586108372)
5 COTTAGE CT,5,103-60,103,60,1779,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1059659779 42.3621897123)
41 MAGOUN ST,11,188-77,188,77,4000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.135475764 42.3993614988)
23 LEE ST,6,117-17,117,17,8358,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1069649005 42.3690450724)
205 BROADWAY,4,42-86,42,86,87470,346,Office,INV-OFFICE,0,,,,,,POINT (-71.0931401001 42.3668058479)
1 WALDEN MEWS,9,202-119,202,119,1825,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1269564095 42.3877194656)
37 BRISTOL ST,3,40-52,40,52,4440,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.092197123 42.3683281057)
167 ERIE ST,5,94-200,94,200,1920,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1069900912 42.3599041765)
121 COLUMBIA ST,4,89-93,89,93,2105,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0984253089 42.3663510669)
25 WILLARD ST,10,220-180,220,180,7095,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1286482909 42.3753974041)
21 BUCKINGHAM ST,10,226-44,226,44,7783,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1303079577 42.3800859382)
54 SIXTH ST,1,25-135,25,135,780,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0849976574 42.3699992709)
