"","Data.Measurement.Year","Census.Tract.Code","Persons..Total","Persons..Male","Persons..Female","Persons..Under.5.years","Persons..5.to.9.years","Persons..10.to.14.years","Persons..15.to.17.years","Persons..18.and.19.years","Persons..20.years","Persons..21.years","Persons..22.to.24.years","Persons..25.to.29.years","Persons..30.to.34.years","Persons..35.to.39.years","Persons..40.to.44.years","Persons..45.to.49.years","Persons..50.to.54.years","Persons..55.to.59.years","Persons..60.and.61.years","Persons..62.to.64.years","Persons..65.to.69.years","Persons..70.to.74.years","Persons..75.to.79.years","Persons..80.to.84.years","Persons..85.years.and.over","Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Hispanic.or.Latino","Persons..In.households","Persons..In.group.quarters","Persons..In.family.households","Persons..In.nonfamily.households","Persons..In.households...Under.18.years","Persons..In.households...65.years.and.over","Households..Total","Households..Family","Households..Family..Husband.wife.family","Households..Family..Other.family","Households..Family..Other.family..Male.householder..no.wife.present","Households..Family..Other.family..Female.householder..no.husband.present","Households..Nonfamily","Housing.units..Owner.occupied","Housing.units..Renter.occupied","Persons..In.owner.occupied.housing.units","Persons..In.renter.occupied.housing.units","Housing.units..Occupied...Householder.is.White..single.race.","Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Owner.occupied...Householder.is.White..single.race.","Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Renter.occupied...Householder.is.White..single.race.","Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Occupied...1.person.household","Housing.units..Occupied...2.person.household","Housing.units..Occupied...3.person.household","Housing.units..Occupied...4.person.household","Housing.units..Occupied...5.person.household","Housing.units..Occupied...6.person.household","Housing.units..Occupied...7.or.more.person.household","Housing.units..Owner.occupied...1.person.household","Housing.units..Owner.occupied...2.person.household","Housing.units..Owner.occupied...3.person.household","Housing.units..Owner.occupied...4.person.household","Housing.units..Owner.occupied...5.person.household","Housing.units..Owner.occupied...6.person.household","Housing.units..Owner.occupied...7.or.more.person.household","Housing.units..Renter.occupied...1.person.household","Housing.units..Renter.occupied...2.person.household","Housing.units..Renter.occupied...3.person.household","Housing.units..Renter.occupied...4.person.household","Housing.units..Renter.occupied...5.person.household","Housing.units..Renter.occupied...6.person.household","Housing.units..Renter.occupied...7.or.more.person.household"
"1",1990,10103,2264.14,1138.07,1126.07,145.02,150.02,155.01,106.01,56,33,22,78.01,143.02,228.01,199.01,170.01,153,174.01,129.01,44,58,81,54,40,25,21,2229.14,16,7,5,0,7,2264.14,0,2119.14,145,556.05,221,801.04,678.04,589.04,89,23,66,123,717.04,84,2027.14,237,790.04,5,5,1,0,706.04,5,5,1,0,84,0,0,0,0,105,270.01,194.01,149.02,62,17,4,92,242.01,177.01,134.02,53,15,4,13,28,17,15,9,2,0
"2",1990,10104,2841,1403,1438,170,187,193,111,75,42,23,87,188,245,230,224,196,177,164,74,73,140,111,62,41,28,2783,36,2,1,0,19,2841,0,2624,217,661,382,1032,840,713,127,38,89,192,849,183,2380,461,1016,12,1,0,3,836,11,1,0,1,180,1,0,0,2,174,343,227,192,68,17,11,128,286,192,160,58,14,11,46,57,35,32,10,3,0
"3",1990,10105,4696,2237,2459,261,343,475,306,184,79,49,189,280,330,392,461,365,298,210,61,86,117,102,59,32,17,1032,3631,6,6,3,18,4696,0,4453,243,1385,327,1440,1241,914,327,60,267,199,1275,165,4170,526,386,1049,3,1,1,306,966,1,1,1,80,83,2,0,0,172,340,329,328,164,64,43,142,313,286,294,146,56,38,30,27,43,34,18,8,5
"4",1990,10106,1676.79,781.79,895,117.86,112.79,144.68,95.79,61.94,22,12,58.03,113.94,132.71,155.75,123.68,79.87,89.79,76.89,29.02,41.03,41.03,35.96,49,40.02,43.01,834.86,825.93,3,11,0,2,1583.79,93,1452.84,130.95,471.11,120.02,518.31,419.35,296.8,122.55,23.87,98.69,98.95,394.51,123.79,1237.49,346.3,275.03,238.27,3,2,0,209.02,182.49,2,1,0,66.01,55.79,1,1,0,79.95,140.81,110.79,107.86,43.97,18.93,16,56.99,104.84,85.82,79.93,36.97,13.96,16,22.96,35.97,24.96,27.93,7,4.96,0
"5",1990,10201,3360.72,1638.88,1721.84,181.99,214.97,220.97,126.99,82.99,37.99,45,113,322.98,312.98,268.98,260.98,240.99,210.98,218.97,87,104.98,112.99,89.99,56,26,22.99,2892.72,427,2,33,0,6,3360.72,0,2946.73,413.99,744.92,307.98,1318.91,982.93,826.93,155.99,26,129.99,335.99,1037.92,280.99,2796.75,563.97,1183.91,124,1,8,2,916.92,114,1,6,0,266.99,10,0,2,2,274.99,482.98,267.98,186.98,79.99,18.99,7,165.99,375.98,232.98,166.98,73.99,16,6,108.99,107,35,20,6,3,1
"6",1990,10202,3274.95,1615.51,1659.43,198.94,214.96,223.94,114.98,81.96,42.97,30,117.98,219.93,257.84,301.96,291.93,236.88,233.97,181.97,53.96,101.94,139.97,84.92,67.99,47.97,28,3167.95,77,3,15.99,4,7,3261.95,13,2991.05,270.9,752.82,355.85,1211.61,982.68,859.69,122.99,36,86.99,228.93,1042.66,168.95,2835.04,426.9,1181.61,25,2,2,1,1013.66,24,2,2,1,167.95,1,0,0,0,197.95,424.83,277.94,211.91,72.99,17.99,8,154.96,373.86,242.95,182.91,65.99,14.99,7,42.99,50.97,34.99,29,7,3,1
"7",1990,10301,3054.83,1457.91,1596.93,182.01,172.03,183.02,125.01,90,41.01,29,107,250.01,284.01,234.01,228.95,224,191.95,172.93,54.97,93.96,117,96.98,78.97,47,51.01,2815.84,199,7,19,0,14,2971.06,83.77,2635.13,335.93,662.07,324.01,1160.98,880.02,713.01,167,47,120,280.97,809.03,351.95,2151.16,819.9,1081.98,69,3,6,1,751.03,53,1,4,0,330.95,16,2,2,1,242,406.94,248.01,185.01,56.01,15.01,8,127.99,290,188.01,152.01,39.01,9,3,114.01,116.94,60,33,17,6,5
"8",1990,10302,1871.93,871.97,999.96,132.98,94.98,92.95,70.99,64,26.99,23,96.99,192.96,140.97,141.97,143.03,93.96,73.02,106.05,29.02,59.06,95.99,73.02,67.01,35,18,1793.94,55,0,6.99,0,16,1871.7,0.23,1534.71,336.99,391.9,288.97,806.87,525.91,405.93,119.98,22,97.98,280.97,401.89,404.99,949.7,922,780.88,22,0,3,1,397.89,3,0,1,0,382.99,19,0,2,1,233.95,283,147.95,101.98,26,10,4,99.99,152.96,75.96,57.98,10,3,2,133.96,130.04,72,44,16,7,2
"9",1990,10303,3250.42,1527.2,1723.22,239.02,178.02,145.05,120.01,89,48.01,56,203.01,468.04,329.03,264.03,233.03,235.04,169.03,142.03,51.01,60,84.01,63.01,39.01,27,8,3058.41,94,11,68.01,1,18,3250.42,0,2703.35,547.07,682.1,221.03,1386.18,929.12,748.1,181.02,36,145.02,457.06,724.11,662.07,1854.3,1396.12,1320.18,44,3,18,1,699.11,17,2,6,0,621.07,27,1,12,1,376.05,513.06,239.05,181.02,60,14,3,138.01,278.04,138.04,120.02,38,10,2,238.04,235.02,101,61,22,4,1
"10",1990,10401,3006.66,1494.31,1512.36,217.07,162.05,153.05,100.02,88.02,54.01,38.01,131.03,310.09,256.08,201.06,208.05,210.03,207.03,177.02,67.01,91.01,149.02,79.01,55.01,29.01,24,2784.53,169.12,2,20.01,0,31.01,3006.66,0,2545.59,461.07,632.19,336.04,1220.26,871.19,700.14,171.05,36.01,135.04,349.06,777.18,443.08,1916.44,1090.23,1137.21,67.04,2,9,5,749.15,19.02,0,6,3,388.06,48.02,2,3,2,266.06,471.08,244.06,153.04,72.02,7,7,146.04,329.06,163.04,91.02,38.01,4,6,120.01,142.02,81.02,62.02,34.01,3,1
