"","Data.Measurement.Year","Census.Tract.Code","Persons..Total","Persons..Male","Persons..Female","Persons..Under.5.years","Persons..5.to.9.years","Persons..10.to.14.years","Persons..15.to.17.years","Persons..18.and.19.years","Persons..20.years","Persons..21.years","Persons..22.to.24.years","Persons..25.to.29.years","Persons..30.to.34.years","Persons..35.to.39.years","Persons..40.to.44.years","Persons..45.to.49.years","Persons..50.to.54.years","Persons..55.to.59.years","Persons..60.and.61.years","Persons..62.to.64.years","Persons..65.to.69.years","Persons..70.to.74.years","Persons..75.to.79.years","Persons..80.to.84.years","Persons..85.years.and.over","Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Hispanic.or.Latino","Persons..In.households","Persons..In.group.quarters","Persons..In.family.households","Persons..In.nonfamily.households","Persons..In.households...Under.18.years","Persons..In.households...65.years.and.over","Households..Total","Households..Family","Households..Family..Husband.wife.family","Households..Family..Other.family","Households..Family..Other.family..Male.householder..no.wife.present","Households..Family..Other.family..Female.householder..no.husband.present","Households..Nonfamily","Housing.units..Owner.occupied","Housing.units..Renter.occupied","Persons..In.owner.occupied.housing.units","Persons..In.renter.occupied.housing.units","Housing.units..Occupied...Householder.is.White..single.race.","Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Owner.occupied...Householder.is.White..single.race.","Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Renter.occupied...Householder.is.White..single.race.","Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Occupied...1.person.household","Housing.units..Occupied...2.person.household","Housing.units..Occupied...3.person.household","Housing.units..Occupied...4.person.household","Housing.units..Occupied...5.person.household","Housing.units..Occupied...6.person.household","Housing.units..Occupied...7.or.more.person.household","Housing.units..Owner.occupied...1.person.household","Housing.units..Owner.occupied...2.person.household","Housing.units..Owner.occupied...3.person.household","Housing.units..Owner.occupied...4.person.household","Housing.units..Owner.occupied...5.person.household","Housing.units..Owner.occupied...6.person.household","Housing.units..Owner.occupied...7.or.more.person.household","Housing.units..Renter.occupied...1.person.household","Housing.units..Renter.occupied...2.person.household","Housing.units..Renter.occupied...3.person.household","Housing.units..Renter.occupied...4.person.household","Housing.units..Renter.occupied...5.person.household","Housing.units..Renter.occupied...6.person.household","Housing.units..Renter.occupied...7.or.more.person.household"
"1",1990,100,3855,1902,1953,200,146,117,82,83,47,59,411,762,462,297,219,116,133,130,62,84,139,121,87,57,41,3042,201,5,268,13,326,3837,18,2462,1375,533,445,1527,773,510,263,74,189,754,473,1054,1238,2599,1331,77,5,85,29,429,3,0,38,3,902,74,5,47,26,392,523,288,181,84,32,27,121,142,96,63,31,7,13,271,381,192,118,53,25,14
"2",1990,201,3722,1757,1965,178,125,106,74,69,58,81,436,718,481,265,205,137,110,115,52,92,140,107,74,53,46,3126,105,2,250,6,233,3710,12,2270,1440,481,420,1487,713,493,220,55,165,774,502,985,1322,2388,1365,40,0,62,20,468,4,0,27,3,897,36,0,35,17,402,453,324,189,74,26,19,134,139,94,87,25,13,10,268,314,230,102,49,13,9
"3",1990,202,3863.11,1696.79,2166.32,218.28,204.14,175.14,99.09,76.09,62.09,62.05,370.24,618.09,419.66,269.24,168.19,161.05,154.09,176.14,78.14,77.14,156.47,128.38,81.24,67.09,41.05,2991.31,258.8,3,349.61,1,259.38,3853.06,10.05,2760.32,1092.74,696.66,470.23,1463.88,839.71,512.52,327.19,57.09,270.09,624.17,521.28,942.6,1387.76,2465.3,1263.22,81.57,3,92.09,24,471.14,5.09,0,42.05,3,792.08,76.47,3,50.05,21,361.89,464.43,280.19,191.28,99,36.05,31.05,136.09,167.09,73,78.05,37,15.05,15,225.8,297.33,207.19,113.24,62,21,16.05
"4",1990,301,3085,1375,1710,120,106,83,61,60,36,41,323,573,358,216,133,125,112,101,67,64,110,86,81,101,128,2598,79,5,175,5,223,2842,243,1834,1008,370,291,1143,569,414,155,36,119,574,417,726,1118,1724,1034,34,2,54,19,392,2,0,21,2,642,32,2,33,17,301,396,212,126,68,24,16,110,122,74,52,36,11,12,191,274,138,74,32,13,4
"5",1990,302,3024.89,1365.77,1659.11,137.08,98.91,61.34,33.29,47.3,46.2,81.26,364.43,606.05,354.31,233.8,151.52,102.5,88.87,103.79,52.67,76.9,136.48,96.38,62.59,48.72,40.48,2580.86,39.12,2.95,275.35,3,123.61,2982.89,42,1739.98,1242.91,330.63,352.66,1274.16,580.64,437.97,142.66,39.3,103.36,693.52,614.42,659.74,1436.13,1546.75,1167.97,13.72,1,82.49,8.98,565.83,3.86,1,43.74,0,602.14,9.86,0,38.76,8.98,330.59,477.23,275.01,125.07,40.75,16.67,8.84,189.26,212.6,97.41,75.69,21.8,10.82,6.84,141.33,264.63,177.6,49.38,18.95,5.85,2
"6",1990,401,5589,2438,3151,154,105,67,66,81,236,259,877,961,460,319,197,101,130,133,67,102,266,256,285,239,228,4363,266,4,613,30,313,5589,0,2500,3089,392,1274,2861,916,713,203,63,140,1945,454,2407,1097,4492,2437,137,4,246,37,369,7,0,76,2,2068,130,4,170,35,1281,949,345,154,67,42,23,139,155,76,40,21,12,11,1142,794,269,114,46,30,12
"7",1990,402,3458,1684,1774,123,87,71,60,92,113,170,429,644,385,263,185,143,116,93,45,61,103,100,70,50,55,2700,113,1,426,15,203,3015,443,1694,1321,336,301,1245,548,429,119,39,80,697,429,816,1104,1911,1066,36,1,118,24,355,1,0,73,0,711,35,1,45,24,355,440,207,141,55,27,20,125,130,64,59,26,15,10,230,310,143,82,29,12,10
"8",1990,502,5460.97,2508.49,2952.49,93.5,49.5,27.5,22,825,837,634,791,700,422,219,143.99,51.99,60,49,28,46,72,91.5,107.99,107,83,4446.97,203,9,322,13,467,4670.97,790,1177.48,3493.49,191.49,461.49,2273.99,453.99,339.99,114,38,76,1819.99,282.99,1991,499.97,4171,2017.99,92,5,123,36,256.99,4,0,21,1,1761,88,5,102,35,1120.5,595.99,144,267,39.5,93,14,141.5,100.99,20,12,5.5,2,1,979,495,124,255,34,91,13
"9",1990,503,2348,1049,1299,54,21,15,18,30,101,107,476,641,348,198,114,56,44,30,7,22,19,11,14,12,10,1931,87,3,186,4,137,2348,0,737,1611,108,66,1312,289,219,70,29,41,1023,273,1039,428,1920,1155,46,3,87,21,253,0,1,16,3,902,46,2,71,18,594,518,126,45,18,8,3,157,92,14,7,1,2,0,437,426,112,38,17,6,3
"10",1990,504,4811,2116,2695,144,58,63,45,108,235,240,827,1030,584,321,196,96,94,62,24,43,145,141,151,117,87,3767,303,12,413,40,276,4791,20,1798,2993,310,635,2433,658,480,178,45,133,1775,451,1982,834,3957,2065,156,8,158,46,395,4,1,46,5,1670,152,7,112,41,1026,854,314,139,62,27,11,201,173,40,23,9,5,0,825,681,274,116,53,22,11
