Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,2000-2010,126,-0.20607494,0.018465908,-0.073712849,0.266470793,-0.085400589,0.147374389,-0.197687834,0.33688067,0.359851128,0.193103079,0.118072512,0.019362655,-0.027103096,0.040898921,-0.011273807,0.377388465,-0.13675193,0.185116279,0.014735165,0.00390913,0.125101764,-0.687471732,0.406377205,-0.134537105,-0.037028337,0.508039709,0.017315436,-0.110738255,0.102684564,-8.03E-04,-0.104619869,-0.061941744
Eligible,2000-2010,2600,-0.248427504,-0.068631904,-0.020802764,0.253083333,0.255687723,0.779947917,0.501831055,0.026893029,8.344726563,-0.150614398,0.196623245,-0.135110141,-0.094070333,0.145208965,0.076325729,-0.280583614,0.582716049,-0.321693122,-0.325339933,-0.002966183,0.307116105,0.742821473,0.307116105,-0.085018727,0.199567568,-0.513333333,0.378888889,-0.675555556,-0.487027027,-0.156554054,-0.118173996,-0.141819922
Ineligible,2000-2010,3714,0.010309456,0.002174235,-0.078966991,0.077628052,-0.196645935,0.354459391,0.410852072,0.246922133,-0.089036162,0.240836667,0.028822411,-0.112009759,-0.155241179,0.078248349,-0.100579257,0.480614579,0.561375374,0.415325797,0.16854174,-0.007108347,0.034308779,-0.039570419,0.137739657,0.214188567,-0.132543751,0.485330591,0.553545947,0.425230509,0.124939508,0.038614901,-0.04089592,0.009545063
Ineligible,2000-2010,3001,-0.188510655,0.175622111,-0.214211919,0.347153312,0.039637653,-0.016616189,0.259652543,0.381702211,1.495978187,-0.046531852,0.165680944,0.031068775,-0.016560017,-0.049748707,0.067053628,0.190154544,0.130646817,0.42138457,-0.192662107,0.065888298,0.169682665,-0.204981314,1.046944663,-0.28793669,0.045447497,0.249744347,0.632631709,-0.044313146,-0.09003979,-0.02789644,-0.079163264,-0.061521726
Ineligible,2000-2010,122,-0.02278601,0.181828368,-0.030931643,-0.050272643,-0.112774328,-0.104507291,0.181577219,0.160593716,-0.008561644,0.319261831,0.329451813,-0.174510444,-0.115779508,0.567482401,-0.041716884,-0.117556468,0.153964619,0.447207392,0.435617089,-0.033168599,0.068994181,0.068994181,0.27261212,0.303651441,-0.021909875,-0.418791946,-0.145282274,1.324832215,0.318895199,-0.085808166,-0.046095681,-0.079238648
Ineligible,2000-2010,402,-0.199295824,0.118192035,-0.172970733,0.289381073,-0.067483646,-0.122366032,-0.071286807,0.09704246,1.089604685,0.210045054,0.071908244,-0.058775329,-0.060008003,0.153763211,-0.025008476,-0.039934739,0.207306148,0.753162651,0.091713006,-0.001008036,-0.053897181,0.146239954,0.951337065,-0.247155988,-0.058765675,-0.112244898,0.126766091,0.442602041,0.343629344,-0.022170234,-0.042491593,-0.040463118
Eligible,2000-2010,124,-0.016642002,-0.057417657,-0.101514361,0.209130322,-0.15050856,0.15398682,0.036483116,0.483306997,-0.043657331,0.21824918,-0.005724852,-0.059658035,-0.125764161,0.04244737,-0.078657395,0.389463174,0.248201084,0.273674576,0.356495587,-0.008374813,-0.034305781,0.158833063,0.316855754,0.126983529,-0.110389273,0.437350185,0.230720806,0.252124646,0.412170653,0.050955642,-0.039251718,0.006684373
Ineligible,2000-2010,1700,-0.137130953,0.008231211,-0.189424763,0.604652328,-0.061295459,-0.062438558,0.217666005,0.194363985,-0.524768856,0.163924856,0.030216681,-0.087109014,-0.063979177,0.046033462,-0.036191829,-0.094713196,0.242391948,0.442628774,0.118760192,0.012361557,-0.308373591,0.037439614,0.210346216,-0.297218326,-0.052585575,-0.090588827,0.227157245,0.4378528,0.17573873,-0.037929365,-0.019190461,-0.037116956
Eligible,2000-2010,4502,-0.087303812,-0.080095837,0.029718855,0.197693114,-0.221620949,-0.226303251,-0.164198561,1.56710442,0.123108184,0.046104698,0.252295214,-0.017568905,0.014771923,-0.037744217,0.111917702,0.091285829,0.211956859,0.432312651,-0.220224245,0.080392058,-0.149542683,0.143472023,-0.35203252,-0.129131707,0.192953688,0.382422803,0.331221958,2.686460808,-0.362404577,-0.112730706,-0.011829319,-0.045666826
Eligible,2000-2010,4715,-0.095180398,0.105806683,-0.116174244,0.399726085,-0.275221503,-0.268494874,-0.081336603,0.666192927,3.665340194,0.063865482,0.618023628,-0.043580317,-0.061643409,0.299065978,-0.025957275,-0.444375417,-0.070580858,-0.136755501,0.083179442,-0.014297504,-0.28220242,0.012508702,-0.059813348,0.044363829,-0.073788732,-0.763298761,-0.382262366,-0.420870968,0.283047628,-0.047462317,-0.08407575,-0.077886073
Eligible,2000-2010,4741,0.027909447,-0.150638686,0.033171977,0.357949944,-0.16246305,-0.400394568,0.124104232,0.70720991,-0.213480529,0.046581455,-0.052950001,0.151505189,0.082947676,-0.102804513,0.112253353,-0.248033784,0.130642935,0.314436946,-0.234007082,0.116916957,-0.295953171,0.239122419,0.87745821,-0.221708233,0.10871159,-0.191280705,0.113399588,-0.135568931,-0.262989805,0.139567812,0.027915928,0.096289
Eligible,2000-2010,3736,-0.115376337,-0.059023667,-0.024272474,0.265513725,-0.163874233,-0.083240792,0.183833938,0.260314721,-1,0.169603832,0.233509243,-0.102275409,-0.084237723,0.259004863,-0.039289259,0.308095238,0.304547784,0.12122449,-0.016941334,0.071332411,0.040802213,0.734670355,-0.46473029,-0.351953339,-0.172579646,0.289733333,-0.001174572,1.9019,0.765763941,-0.033705325,-0.091738518,-0.077767193
