Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,2000-2010,12200,-0.397401072,0.288333343,-0.004296655,0.108683481,0.105634452,-0.262224718,-0.34316073,0.027237354,-0.288424125,-0.250187413,0.261701689,0.027263875,0.112498054,-0.167407819,0.090208966,-0.327142162,-0.143946771,0.027263875,-0.794547225,0.049815498,-0.296703297,-0.5,0,-1,0.164233577,-0.339789331,0.611111111,0.074074074,-0.677777778,-0.26022609,-0.086898396,-0.154114979
Ineligible,2000-2010,15100,-0.094349975,0.047117881,0.007673124,0.023114821,-0.123270464,0.340747552,0.182309157,2.996268687,-0.324394767,1.377865476,0.120770474,-0.061402733,-0.063811605,0.121032774,-0.078206109,0.336234102,-0.106639309,3.729556602,2.077906757,-0.023500266,0.22941358,1.14155914,1.498485663,5.781603943,-0.167652682,0.262759278,-0.328241431,3.670321482,1.066949444,-0.012195018,-0.010841088,-0.009758077
Ineligible,2000-2010,15402,-0.048152949,-0.093074557,0.044947961,0.085908494,-0.129674824,0.734673606,-0.395400053,0.955587628,1.044477975,1.803524058,0.217950425,-0.020057259,-0.03735845,0.094169722,-0.068131266,0.612388041,0.171049012,0.537001828,2.159392647,-0.047333975,0.874153589,-0.581743772,0.568460854,1.439827995,-0.113816189,0.384891441,1.9372147,0.46860735,2.753107672,0.043153996,-0.021060335,-0.003054354
Ineligible,2000-2010,15620,0.085329841,-0.091681084,-0.115344491,0.443131375,-0.399166566,0.438830576,-0.630693398,-0.489422499,0.569553059,2.090808073,0.077407361,-0.186964143,-0.172830438,1.126133848,-0.305960891,0.570938908,-0.380875015,-0.339600015,2.024081596,-0.187818538,0.309312881,-0.695400895,-0.269526221,1.86162843,-0.600212977,1.284359623,Inf,-0.545340248,1.922812689,-0.047096205,0.059754826,0.041799718
Ineligible,2000-2010,10502,-0.070535556,-0.070849858,-0.02410516,0.224906272,-0.079312529,0.336815809,0.561470378,0.755905971,0.52026491,1.157877856,0.010474699,-0.019792752,-0.05324254,0.205605629,-0.049319281,0.249114534,0.391530026,0.298761358,1.061525965,-0.059209162,0.436493286,-0.053581081,0.164823285,0.735101351,-0.009896416,-0.18918053,2.455816092,1.159885057,1.591862069,0.134056668,-0.016530973,0.016238355
Eligible,2000-2010,10401,0.099105513,0.059694661,-0.05336024,-0.094683779,-0.301880913,0.92755419,-0.748060377,0.327291673,0.133728304,0.983136031,0.120199473,-0.227285026,-0.18690287,0.276936119,-0.174468589,0.859854676,-0.654701256,0.16870344,0.554647367,-0.141862394,0.938694462,-0.508449259,0.228876853,8.585239453,-0.14664573,0.537916616,-0.753007284,0.111467222,-0.301770592,-0.063976219,0.059866837,0.009050031
Eligible,2000-2010,13500,-0.295753806,0.456976648,-0.160679887,-0.09639616,0.352600597,-0.271564817,-0.813368629,-0.591188426,0.119788223,0.646101857,0.289562467,0.361194182,0.225608703,-0.114235852,0.42567981,-0.359539473,-0.495936831,-0.577237342,-0.351918783,0.308426984,-0.477473543,-0.814845238,3.443714286,-0.259380952,0.431959606,-0.252873701,0.226712062,-0.713767185,-0.33088433,-0.03500262,-0.177142602,-0.096298291
Eligible,2000-2010,17500,-0.046868395,0.151056179,-0.079245979,-0.005863149,-0.226777475,0.329474719,-0.274418841,-0.226839749,Inf,2.34733874,0.065823702,-0.054106852,-0.127911731,0.147441384,-0.101267039,0.571763313,-0.174922496,0.042203163,3.496074514,-0.032844627,0.466430771,-0.224645799,-0.069574959,2.634472817,-0.166448575,0.553861289,-0.166857143,0.157142857,3.790571429,0.130085873,-0.036418328,0.039156928
Eligible,2000-2010,13601,-0.230830053,0.076312998,0.1249344,0.2155048,1.892619488,-0.042465821,0.982823562,-0.433478982,0.762509833,1.031726752,0.179438631,-0.060497528,-0.073293553,-0.053453553,1.208846487,-0.031112186,0.104423244,-0.116461405,1.761058109,2.056405405,-0.036499202,NA,0.175540541,Inf,1.024759335,-0.028735606,0.079871645,-0.190096266,0.079871645,-0.102007587,-0.032074405,-0.08388678
Eligible,2000-2010,15804,0.324197274,-0.101353286,-0.03955973,-0.00427153,-0.163268778,0.115573865,0.293712156,-0.44740938,0.54013352,0.756942015,-0.065503349,-0.066189986,-0.117721395,0.040812663,-0.121433722,0.261216907,0.966240227,-0.056944342,0.699491553,-0.088781605,0.323712032,0.148514851,0.148514851,0.837623762,-0.128708982,0.24025211,1.366168478,-0.123641304,0.661576087,0.183219433,0.086071326,0.156457389
Ineligible,2000-2010,15631,0.056074896,-0.046487305,-0.060283892,0.148390187,-0.376273159,0.609844121,-0.020621146,0.676202629,0.027320476,4.829068396,0.066498472,-0.033384849,-0.051629078,0.633829223,-0.267801867,0.758427595,0.632277074,0.563250431,5.561753836,-0.255703981,0.660852297,2.546170213,0.537052758,4.572553191,-0.385289655,5.373563218,-0.478526646,22.17659352,Inf,0.239749582,0.054495808,0.073509957
Ineligible,2000-2010,17901,-0.012643523,0.093080808,-0.195056686,0.118042381,-0.034931838,1.76067997,-0.303030303,1.034206471,0.301010101,0.386602871,0.015750721,-0.005046769,-0.028007405,0.057142097,-0.016004978,0.953660253,-0.198498358,1.103941811,-0.57062412,-0.014314838,2.020876827,2.020876827,1.013917884,-0.597216423,-0.01927261,0.4870317,-0.752161383,1.203009926,-0.504322767,0.07403987,0.002749789,0.021211936
Eligible,2000-2010,19006,0.228681876,-0.021389176,-0.113418356,-0.120703302,-0.352170362,-0.033928572,-0.058233405,-0.102778769,1.218028504,2.779167863,-0.190613578,-0.037081067,-0.074659479,0.12322428,-0.20315899,0.105943331,0.194712751,0.262082042,5.215844675,-0.181333876,0.336471685,-0.656044852,0.156108579,2.945367872,-0.231236234,-0.126449091,1.37090914,1.058811282,7.509615769,0.319616016,0.176399239,0.228746587
Ineligible,2000-2010,18803,-0.144337415,0.01586955,-0.213966725,0.404764773,-0.037805341,0.401491094,-0.613986804,1.084471261,Inf,-0.169647437,0.086980353,0.039194973,0.03003718,-0.055985529,-0.030444495,0.365104925,-0.499940512,1.291939322,0.666864961,-0.029716826,0.283197094,-1,1.097533711,Inf,-0.035679251,0.499137931,-0.106896552,1.679310345,0.11637931,-0.028258512,-0.048698443,-0.039966319
Ineligible,2000-2010,17702,-0.089579821,0.136387097,-0.218461292,0.006001751,-0.057832698,2.004707995,-0.523391146,0.412804818,Inf,0.312922505,0.040568822,-0.022657357,-0.047209935,0.03717989,-0.024757243,1.406266319,0.503916449,2.56483899,2.007832898,-0.018218234,0.846537396,0.025854109,2.590489381,2.077562327,-0.039532294,1.839643653,0.893095768,2.470675575,1.839643653,0.031258395,0.024013186,0.024334204
Eligible,2000-2010,19005,0.131976508,-0.154143243,-0.049107463,0.38041417,-0.23931904,0.399645621,-0.4977091,0.022024975,-0.195530895,-0.175462323,-0.067788884,-0.139827385,-0.096338042,0.042538791,-0.235471373,0.336698295,0.508703489,-0.016504716,-0.122634618,-0.120816389,-0.010663666,Inf,0.335870255,2.684139324,-0.268952562,0.379333627,-0.044004628,-0.215866523,-0.316997466,-0.001281789,0.058792753,0.008098628
Ineligible,2000-2010,19500,0.82319502,0.00370692,-0.166242449,0.559359413,0.101247223,-0.179583236,0.213643791,0.22967969,1.762085869,-0.107633796,-0.024051245,2.197355319,2.62081573,-0.142508932,0.0329869,-0.337147861,-0.343546048,0.343089695,0.385847232,0.002158369,-0.469611849,NA,2.764044944,Inf,0.011031984,-0.233418557,-0.095278246,0.324771139,0.306820311,0.029861664,-0.013143415,0.029365118
Ineligible,2000-2010,17100,-0.559911435,0.781506071,-0.222520565,-0.089646678,1.597728358,-0.575475316,-0.263687822,0.301561931,-0.824687577,1.080882243,0.239703173,0.691248874,0.489451526,-0.436327884,1.389601828,-0.625196039,0.048886532,0.573329799,0.398515376,1.292809933,-0.598615532,NA,2.307651282,Inf,1.510623496,-0.682550517,0.999931741,-0.090940118,0.999931741,-0.081390375,-0.244172294,-0.142592882
Eligible,2000-2010,11700,-0.236701701,0.302249024,-0.102954799,0.004318034,0.143704226,-0.164266726,-0.03303842,-0.140478596,-0.579719313,0.149648666,0.136410034,0.056985158,-0.061000093,-0.079225389,0.19470988,-0.232097756,-0.54737706,-0.207909854,0.212582445,0.178080244,-0.291864367,-1,-0.167348609,-8.18E-04,0.191083389,-0.168524761,-0.251360871,-0.251360871,0.347550432,0.006343752,-0.076202869,-0.03827655
Eligible,2000-2010,17402,0.230337855,0.00894132,-0.101235822,-0.087835717,-0.258073713,0.414971162,0.098489551,-0.242743373,0.062175847,1.091516639,-0.047027967,-0.093218279,-0.164185866,0.115326864,-0.146253275,0.420310358,0.468122786,-0.19146861,1.265621584,-0.054141293,0.583068783,0.619047619,0.233560091,3.452380952,-0.202004207,0.332511704,0.378759398,-0.292943898,0.994605263,0.135308432,0.004892319,0.084739466
Ineligible,2000-2010,18902,-7.64E-04,0.326486101,-0.154074656,-0.106774111,-0.108369686,-0.036074765,-0.660010867,-0.093362311,-0.4900163,2.026732529,0.029143116,-0.051868118,-0.125149913,0.275938732,-0.017937062,-0.066842863,Inf,0.375509511,0.896394065,-0.011012379,0.055096419,NA,0.28956229,2.868686869,-0.015013182,-0.179237632,Inf,0.664841849,0.552183378,0.181224551,-0.050360582,0.025334013
Ineligible,2000-2010,15615,0.074118999,-0.055369347,-0.109515265,0.250912332,-0.391384422,0.078229987,-0.367818499,-0.328447765,0.185340314,1.548859172,-0.046531968,-0.090454605,-0.121692104,0.280513624,-0.242162079,0.243007144,2.870917226,-0.142239933,3.819521447,-0.240358218,0.145489287,2.482084691,-0.119472837,4.653707401,-0.227869762,0.313161355,3.428822496,0.181019332,2.48400703,0.188634601,0.064311448,0.104055784
Ineligible,2000-2010,18801,-0.082193987,0.284396832,-0.128796884,0.002924581,-0.036852747,0.577726636,-0.284118638,1.816360793,1.237129257,0.860299382,0.243456653,-0.12869199,-0.111445273,0.789555386,-0.023958438,0.48755845,-0.713173589,1.348017169,1.725499834,-1.88E-04,0.024206909,-1,0.152167118,-1,-0.071241155,0.419352238,Inf,1.791086281,15.82195245,0.008395864,-0.019838766,-0.038940949
Ineligible,2000-2010,980200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ineligible,2000-2010,13000,-1,-0.224573669,0.097597052,1.032397651,-0.029283746,-0.002154304,-0.530677472,0.662183953,Inf,1.819063983,0.004,-0.015686275,-0.348163156,0.548790372,-0.002649007,0.004,NA,NA,NA,0.00990099,NA,NA,NA,NA,0,0,NA,NA,NA,0.166666667,-0.5,0
Ineligible,2000-2010,10103,-0.098362342,-0.163968752,-0.114048181,0.356615002,-0.027031699,1.117455009,-0.133768406,0.697106797,-1,0.885674219,0.103580152,-0.050148444,-0.079767895,0.7155385,-0.012919414,1.016919708,1.401094891,0.920875912,0.440656934,-0.015359392,1.2469896,3.044581281,1.02229064,0.01114532,0.006231635,-0.319659864,-0.319659864,NA,0.360680272,0.172383847,-0.061555462,-0.032280877
Eligible,2000-2010,12801,-0.103690611,-0.053507749,-0.127481495,0.301879666,-0.272598405,0.034539507,-0.330007756,-0.404451339,0.07198759,0.869441774,0.193258128,-0.055622858,-0.09115935,0.173522514,-0.24590644,0.02817092,-0.421931671,0.517429364,2.287763623,-0.230072883,0.016955627,2.213608838,Inf,1.678007365,-0.283326532,0.055782922,-0.847364035,-1,4.036986842,-0.006248765,-0.092799868,-0.06661383
Ineligible,2000-2010,18101,-0.033515803,0.069217783,-0.072505268,0.00332543,-0.191356252,0.17026161,0.796690307,0.099625318,1.887537994,1.185069699,0.056767165,-0.069632909,-0.092054451,0.039531057,-0.0720514,0.137340644,2.842129417,0.027351996,0.983263843,0.012746057,-0.049431537,0.077310924,-0.181243697,0.077310924,-0.107432554,0.11449098,3.286111111,0.066400851,0.992510331,8.65E-04,-0.037006679,-0.010400678
