Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,2000-2010,6805,-0.024220911,0.097330936,-0.12914361,0.103827721,-0.027438783,0.584298505,1.738293712,1.681245926,-0.315426572,0.046234862,0.061649514,-0.029181585,-0.036593433,0.230092878,-0.021325543,0.573869675,0.011773363,1.613747854,2.035320088,-0.005629648,0.042186002,0.042186002,0.63772086,1.084372004,-0.072156468,0.82278481,NA,2.64556962,Inf,0.106002623,-0.023873238,-0.012163041
Ineligible,2000-2010,7316,2.510904541,-0.15337862,0.632105828,-0.753704366,-0.052953561,Inf,Inf,Inf,Inf,-0.642474079,0.432044199,0.097651934,0.080125531,-0.721129782,-5.52E-04,Inf,Inf,Inf,-0.950276243,0.014722537,Inf,Inf,Inf,-0.954699887,-0.090909091,Inf,Inf,NA,NA,0.772727273,0.365043413,0.387292818
Ineligible,2000-2010,7505,-0.116898096,-0.144901424,-0.066163474,0.745353725,-0.010968822,1.240947992,3.201777485,-0.159644503,-0.719881501,0.476300197,0.415327796,-0.050174288,-0.032691931,0.582186556,-0.007148893,0.18054211,Inf,0.18054211,3.722168441,-0.00920752,1.48580786,Inf,0.24290393,3.971615721,0.020710059,-1,Inf,NA,NA,-0.131034483,-0.045533691,-0.060260316
Ineligible,2000-2010,7309,-0.046970795,-0.045408189,0.0488769,0.19192028,-0.135089886,1.659488518,-0.334742169,0.531478965,0.130938312,1.122345275,-0.045503972,0.00416471,-0.001146573,0.01326843,-0.084378666,0.945672773,0.936407665,0.872394188,1.338778089,-0.078895646,0.869940882,0.402455662,0.86462855,1.191336971,-0.14874552,2.333333333,Inf,NA,2.333333333,0.085420681,0.020827922,0.025614263
Ineligible,2000-2010,7442,-0.208890173,0.132872895,-0.198021312,1.212523697,-0.034349703,1.296380505,0.605236858,0.787946744,2.210473716,0.434717192,0.499584921,-0.025597826,-0.028692022,1.350688732,-0.017888866,0.662396998,0.454597373,0.575813821,-0.168801501,-0.016523393,0.607641609,1.985620132,0.45134312,-0.004793289,-0.001847746,0.353658537,-1,Inf,-1,-0.016572858,-0.098141545,-0.094178831
Ineligible,2000-2010,7466,-0.156396449,-0.024647941,-0.208427349,0.995266701,-0.099857944,1.205208289,0.755999193,0.029616482,-0.486883353,1.07115151,0.033444238,0.069347934,-0.032764602,0.034075616,-0.057998569,0.637318633,1.458271113,0.136084801,1.501691663,-0.019764508,0.149425287,1.011494253,0.408045977,Inf,-0.0905044,0.759064327,1.619883041,0.082706767,1.31884058,0.028503016,-0.138384564,-0.047350736
Ineligible,2000-2010,7438,-0.175670321,0.048092869,-0.318034474,0.793410838,-0.032529659,0.320351368,0.965174129,0.965174129,Inf,0.768656716,0.789585356,-0.205269218,-0.097302481,1.857690713,-0.002286505,-0.088789108,Inf,0.169949788,-0.392526072,-0.008957097,-0.320553781,Inf,0.65615016,-0.235623003,0.038566881,-0.356540084,Inf,-1,NA,-0.251441632,-0.066513048,-0.157686566
Ineligible,2000-2010,7431,-0.06034713,-0.327204022,-0.003579759,1.035914553,-0.022351835,0.914107699,-0.651980418,-0.206374265,0.566088117,0.517900791,0.182365778,-0.056075892,-0.036312597,0.239678823,-0.009992939,0.5683953,-1,-0.137077084,-0.332388855,-4.59E-04,0.193521595,-1,-0.204318937,1.121816168,-0.034311512,2.044018059,-1,0.030576647,-1,-0.002935025,-0.021361811,-0.041305839
Ineligible,2000-2010,6704,-0.053319961,1.293420051,-0.239597042,0.004444731,-0.02249792,-0.154610829,Inf,0.189469399,-1,2.260786802,-0.161840379,0.167130285,0.053963152,-0.111401569,-0.012834225,0.594652406,Inf,0.318885449,Inf,0.012243652,-0.512035011,Inf,-0.219256018,NA,-0.049858628,5.975945017,NA,1.170294005,Inf,0.140610688,-0.051202741,0.049779529
Ineligible,2000-2010,6804,0.005948873,0.014121424,-0.038556153,0.026420001,-0.025095693,4.44993498,-0.009102731,0.734070221,Inf,0.840237786,0.110431994,-0.003426287,-0.002443475,0.100996966,-0.015915236,Inf,-1,0.787368421,1.978947368,-0.019997694,Inf,-1,1.241891892,Inf,0.181818182,NA,NA,-1,-1,0.019607843,0.003092609,0.003421168
Eligible,2000-2010,600,-0.150574477,0.241796385,-0.055567138,0.1305245,-0.225862778,0.015639245,0.324442435,0.454289733,21.90506329,1.205145845,0.13815199,-0.17044873,-0.133667322,0.124215988,-0.230561803,0.062701799,4.28597786,Inf,0.717942804,-0.205065623,0.022587383,1.548837209,Inf,7.920930233,-0.193200216,0.061852619,Inf,NA,-0.216251638,-0.073069978,0.014224806,-0.037333421
