Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,2000-2010,10217,-0.086463375,-0.174676954,0.081349294,0.552942205,-0.363813296,0.037732725,10.99847103,-0.222162553,1.940801724,0.286446479,0.051473319,-6.89E-04,-0.016582107,0.11710434,0.033136604,-0.036029223,0.28510173,-0.143569778,-0.117373649,0.01756237,0.054084721,0.787523671,0.106582429,-0.184055129,0.151664687,-0.371074204,-1,-0.621109864,0.200028439,0.134102596,0.002681353,0.019011872
Ineligible,2000-2010,10327,-0.231618837,-0.009995364,-0.009339763,1.306256545,-0.292745829,-0.319336221,-0.35933709,-0.287604326,0.601657275,0.066544269,0.432761246,-0.077577324,-0.085771323,0.488446194,0.143578348,-0.30579359,0.15747395,-0.298564467,-0.401595751,0.145158309,-0.311564436,-0.070400691,-0.477158547,-0.425422166,0.157391466,-0.316654545,1.733381818,1.050036364,-0.349671237,-0.061685381,-0.104369354,-0.099131055
Ineligible,2000-2010,4320,-0.188508444,0.010495279,-0.061226255,1.48785649,-0.416651301,-0.279969038,0.045759254,-0.239447815,2.137277762,0.044452463,0.450537352,-0.079163164,-0.092263441,0.409761048,0.203268971,0.068016615,0.747663551,-0.029075805,-0.520580999,0.208201158,0.120292887,0.317991632,0.405857741,-0.560199584,0.22376201,-0.090447154,1.910569106,-0.757452575,-0.447530864,-0.015110454,-0.088543815,-0.067550016
Ineligible,2000-2010,10328,-0.186759942,-0.165276359,0.124343296,1.058059419,-0.193473848,0.112711233,-0.043722876,-0.056544198,-0.521861438,0.038994561,0.106969133,-0.015119269,-0.033049106,0.187251509,0.229830946,0.116411315,-0.268555775,0.034729851,-0.64883668,0.296730349,-0.113695379,-0.30409142,0.182812827,-0.680734169,0.041623632,1.074352548,-0.12877193,-0.12877193,-0.399567147,0.082026165,-0.060265043,-0.040905953
Gentrified,2000-2010,10334,-0.093571214,-0.236276466,0.278836044,1.334622944,-0.296061418,-1,0.222965762,Inf,NA,0.00243084,1.303140481,-0.032921744,-0.032019393,0.582637623,0.262143245,-1,0.5153076,NA,-0.729976633,0.276546095,-1,0.56689243,NA,-0.760283094,0.094017972,NA,NA,NA,-0.223548562,0.003532105,-0.03457101,-0.035901584
Ineligible,2000-2010,4313,-0.119242026,-0.141671144,0.003821017,0.48586442,-0.264401644,-0.32144002,-0.708168189,0.335691751,-1,0.120486906,0.139270217,-0.092587141,-0.080290343,0.198395017,0.153005888,-0.26732771,1.26037196,-0.231473534,-0.567581016,0.03161878,-0.294214628,Inf,0.32853717,-0.25908504,0.286842921,-0.255973173,0.686460808,-0.35517675,-0.648653998,-0.00621208,-0.100777156,-0.061700176
Ineligible,2000-2010,4307,-0.181237113,0.023816247,-0.213071245,0.682384605,-0.300581123,0.162728584,0.642754146,-0.151544562,-0.396539293,0.134945735,0.336283125,-0.017037563,-0.027892934,0.076940671,0.085549255,0.04143736,0.198863938,-0.092677974,-0.446086394,0.058216157,-0.068635724,-0.334739803,-0.039068604,-0.396234443,0.169290349,0.154826958,1.204669647,-0.200504414,-0.499780836,-0.033240888,-0.083306511,-0.07239126
Ineligible,2000-2010,1302,-0.090273224,-0.038204046,-0.134878254,0.392846012,-0.22926445,0.01102336,-0.592420594,0.136838489,0.936002179,0.275317642,0.119716243,-0.002671065,0.007566812,-0.067020658,5.36E-05,0.164784187,-0.152884228,0.270673659,0.06012242,0.00294277,0.214619883,0.167903734,0.354768331,-0.009295453,-0.025162595,-0.08984375,-1,-0.544921875,0.406605114,-0.113830298,-0.029679604,-0.038113703
Ineligible,2000-2010,4303,-0.060800247,0.047823399,-0.001104372,0.023755477,-0.30675628,-0.24022078,-0.658551601,0.130311943,0.792604097,0.132222159,0.113625161,-0.027608832,-0.029279935,0.103012231,0.038223929,-0.130479186,-0.588637212,0.180664626,-0.284032862,0.033006907,-0.166981955,-0.626404028,0.027388923,-0.273310274,0.080733443,-0.115763547,-0.557881773,Inf,-0.34845735,-0.048753865,-0.023065113,-0.024959276
Ineligible,2000-2010,4202,-0.105252571,-0.049645955,0.058084642,0.131199332,-0.026979604,0.108632562,-0.523208436,0.367501079,0.949955242,-0.001770256,0.246932405,-0.041111936,-0.034094393,0.042793923,0.179961312,-0.041378613,-0.12716263,0.259001783,-0.431508828,0.086115296,-0.265957066,-0.174697674,-0.312248062,-0.294836621,0.354807139,0.193160622,-0.136528497,0.412953368,-0.508664364,-0.075600092,-0.0619411,-0.06882503
Eligible,2000-2010,10332,0.186088656,-0.175995982,-0.051209853,0.156795437,-0.690963136,-0.396894824,-0.739366821,-0.353815882,Inf,0.19693843,-0.312029138,0.047953242,0.223542115,-0.102672636,0.017191883,0.379678418,0.13204383,-0.85259846,-0.014150445,0.015095393,0.003082499,0.350303365,-0.809816428,-0.009567082,0.018960573,3.746363636,-0.26979021,-1,-0.057793819,0.091988388,0.108140677,0.1098112
Ineligible,2000-2010,10346,-0.099645351,-0.048254937,0.003187386,0.287232007,-0.530044263,-0.294723285,0.538785561,4.642213723,NA,0.028050562,0.259680416,-0.06193694,-0.074291272,0.357004643,0.292215909,-0.422028986,0.733913043,0.733913043,-0.916346301,0.292132147,-0.537900724,0.617347466,Inf,-0.920499049,0.294746433,-0.318791946,1.043624161,-1,-0.902684564,-0.01239285,-0.072758046,-0.062912808
Eligible,2000-2010,10408,-0.179760018,-0.029440224,-0.060015524,0.703996057,-0.384987974,Inf,-0.439163971,2.124657875,NA,0.008003721,1.070551701,-0.138875204,-0.116881548,0.712383129,0.34106759,-0.087971275,-0.493317375,-1,-0.79732695,0.327375551,-0.47044335,-0.3947924,NA,-0.786188395,0.428126217,0.033112583,-0.741721854,-1,-0.838576159,-0.134836299,-0.090458446,-0.112638882
Ineligible,2000-2010,10347,-0.097250739,-0.046036314,0.02183761,0.355001526,-0.373927278,-0.606792059,-0.653977011,6.785517241,NA,0.029428323,0.060705972,0.006505803,-5.29E-04,-1.60E-04,0.296285184,-0.682304786,-0.636919755,1.541561713,-0.950165457,0.281411126,-1,-0.663315508,1.52513369,-0.937440382,0.351950699,0.30078125,-0.56640625,NA,-0.984514509,-0.005068166,-0.02495947,-0.020404086
Ineligible,2000-2010,4312,-0.082288211,-0.002784259,-0.127840701,0.245870411,-0.214665065,-0.010999795,-0.729443893,0.052022817,-0.383132075,0.088088771,0.136388156,-0.020746088,-0.014874104,0.014360579,0.062261747,0.010662489,0.167315175,0.167315175,-0.410021211,0.034401762,-0.096935262,-0.503314394,0.390719697,-0.36534617,0.106117378,0.080681818,0.585,0.0461,-0.434039024,-0.060220098,-0.045223189,-0.052860453
Ineligible,2000-2010,4107,-0.090551129,-0.121410764,-0.122708374,0.316013946,-0.285367277,-0.565006169,-0.275010281,Inf,NA,0.039995622,-0.060167677,-0.055458844,-0.067315461,0.684835262,0.110408059,-0.499766667,0.667444444,Inf,-0.546684791,0.121332889,-0.529240363,0.588813776,Inf,-0.629711874,0.128185907,-0.396551724,0.206896552,Inf,-0.329501916,-0.092687699,-0.078870072,-0.072249118
