Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Eligible,2000-2010,200,-0.064766619,0.088288242,0.063493722,-0.067325276,0.126885766,-0.263830184,-0.299281942,-0.255263999,Inf,0.189558015,-0.119906915,-0.206924209,0.045250951,-0.012777304,0.109126111,-0.279331385,0.25244016,-0.004470642,0.467144187,0.43884375,-0.387968139,-0.6490625,4.2640625,0.40375,0.02235983,-0.211940408,0.465962838,-0.255579495,0.465156921,-0.037858017,0.289281116,0.032306118
Gentrified,2000-2010,200,-0.064766619,0.088288242,0.063493722,-0.067325276,0.126885766,-0.263830184,-0.299281942,-0.255263999,Inf,0.189558015,-0.119906915,-0.206924209,0.045250951,-0.012777304,0.109126111,-0.279331385,0.25244016,-0.004470642,0.467144187,0.43884375,-0.387968139,-0.6490625,4.2640625,0.40375,0.02235983,-0.211940408,0.465962838,-0.255579495,0.465156921,-0.037858017,0.289281116,0.032306118
Eligible,2000-2010,300,-0.058230527,0.104381902,-0.02556324,0.014540018,0.384158651,-0.23957616,2.078525907,-0.312829039,Inf,0.173294488,-0.068309609,-0.031549036,0.003526804,-0.024664524,0.227950718,-0.183473761,0.071052483,-0.159073252,0.245985947,0.422945595,-0.174842932,-0.187609075,-0.209565587,0.345192765,0.127715511,-0.186386427,0.364535769,-0.11547879,0.200375505,0.018196473,0.078477265,0.040241679
Gentrified,2000-2010,300,-0.058230527,0.104381902,-0.02556324,0.014540018,0.384158651,-0.23957616,2.078525907,-0.312829039,Inf,0.173294488,-0.068309609,-0.031549036,0.003526804,-0.024664524,0.227950718,-0.183473761,0.071052483,-0.159073252,0.245985947,0.422945595,-0.174842932,-0.187609075,-0.209565587,0.345192765,0.127715511,-0.186386427,0.364535769,-0.11547879,0.200375505,0.018196473,0.078477265,0.040241679
Eligible,2000-2010,400,-0.134106977,0.060884665,0.131758016,0.034895079,0.036869241,0.080770256,-0.116364496,-0.021070471,2.465237269,-0.008443557,-0.115562824,-0.131966189,-0.183579029,-0.013735106,0.246758703,-0.067865904,0.191861863,0.144345776,-0.189209617,0.0626171,-0.126659586,1.122000676,0.852540273,-0.17210614,0.583673469,-0.131484185,-0.224246271,-0.100386432,-0.208864425,-0.010893306,0.030526354,0.013153933
Gentrified,2000-2010,400,-0.134106977,0.060884665,0.131758016,0.034895079,0.036869241,0.080770256,-0.116364496,-0.021070471,2.465237269,-0.008443557,-0.115562824,-0.131966189,-0.183579029,-0.013735106,0.246758703,-0.067865904,0.191861863,0.144345776,-0.189209617,0.0626171,-0.126659586,1.122000676,0.852540273,-0.17210614,0.583673469,-0.131484185,-0.224246271,-0.100386432,-0.208864425,-0.010893306,0.030526354,0.013153933
Eligible,2000-2010,501,-0.104550841,-0.007262426,0.164606138,0.205275718,-0.14001015,0.061657352,-0.471936057,-0.224466976,-0.75627818,0.043999209,0.096600876,0.019140281,0.125427616,-0.018436698,0.034292335,0.07908971,0.233245383,0.130474934,-0.10117164,-0.09854851,0.008403361,0.008403361,0.210084034,0.241111829,0.069029352,0.103249991,0.269290959,0.122969918,-0.131537765,-0.037702264,0.100584278,-0.020497265
Gentrified,2000-2010,502,-0.170212646,0.121161288,0.051891074,0.201804969,0.342423715,-0.302040822,-0.420542152,-0.498480927,2.659733777,0.100353978,0.130664083,0.389203817,0.38659583,-0.08670298,0.279139326,-0.371229378,0.378265204,-0.272933493,-0.065807187,0.073213204,-0.046032707,-0.527559055,-0.022906228,0.036967837,0.315450046,-0.39144666,0.816644415,-0.281327484,-0.064288385,-0.047214468,-0.031044686,-0.05504518
Eligible,2000-2010,600,-0.106081438,0.122703622,-0.069005128,0.188952848,0.002970342,-0.122538999,-0.517399924,-0.61932113,0.953218273,0.148194586,0.070104804,0.036670046,0.218617047,-0.00779435,0.159189579,-0.013531602,-0.429499356,-0.414521781,-0.001341531,0.118649194,-0.183467742,-0.412096774,0.119815668,-0.141264951,0.165478879,5.26E-04,-0.429234296,-0.440855726,0.021370207,-0.063873724,0.089138303,-0.043892226
Eligible,2000-2010,700,-0.103675548,0.047291507,0.028138629,0.110356875,-0.222136183,-0.147303246,-0.162166794,-0.390382555,-0.700773855,0.163229612,-0.077155478,-0.075540158,-0.03527923,0.021073769,0.462564687,-0.137436739,-0.169851914,-0.095047362,-0.090029983,0.384092679,-0.122061077,0.105208333,-0.240169271,-0.034530651,0.555582283,-0.15697716,-0.408773625,-0.004250317,-0.138267312,-0.039950112,0.028100775,-0.006794507
