Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Eligible,2000-2010,101,-0.063407661,0.002999705,0.074494668,-0.007192912,-0.229444956,0.377481413,-0.179811619,-0.021830619,-0.178185889,1.341668431,0.0200215,-0.090212459,-0.158774668,1.710773939,-0.152197931,0.315321581,0.048741659,0.381101075,1.294122378,-0.069449931,0.097007681,-0.077814007,0.152582805,1.305464983,-0.555453414,0.522710589,0.079775281,2.347303371,0.619662921,0.386467619,-0.061746878,0.013021287
Eligible,2000-2010,102,-0.069040947,0.084698809,-0.028762719,0.042108626,-0.23481191,0.725938308,-0.026482819,-0.12803677,-0.475798441,0.460275772,0.042469009,-0.178154052,-0.216024275,1.095178281,-0.173404348,0.826130978,0.346592191,0.091708737,1.166929963,-0.099607984,0.587813353,0.642843233,0.141441008,0.744849839,-0.216131781,0.306447032,-0.343936382,-0.009022786,6.157057654,0.014004339,-0.039358307,-0.004340559
Ineligible,2000-2010,300,-0.146980855,-0.010565492,-0.014951419,0.329433239,-0.060051093,0.16473434,0.178807798,-0.22791536,0.100220611,1.248980367,0.158227285,-0.046221702,-0.07480653,0.672461791,-0.038878104,0.213399337,0.036308623,-0.253857791,0.151454026,0.002631962,-0.075496502,0.086529884,-0.209796448,-0.068688671,-0.259701493,0.512437811,-0.243781095,-0.495854063,0.512437811,0.148493842,-0.084714774,-0.056647301
Gentrified,2000-2010,601,-0.040402591,0.0796875,-0.032309693,-0.011427206,-0.036897714,0.359949809,-0.507052301,-0.28317056,-0.242012889,0.47547393,0.037672848,-0.026855982,-0.040085202,0.164315885,-0.033390025,0.569956623,-0.392092946,-0.125358218,0.867143096,-0.01886052,0.529837251,-0.464556962,-0.053635561,1.239125432,-0.074389134,0.431849551,-0.3784219,-0.35451505,0.434411,0.043143445,-0.013776784,-3.05E-04
Ineligible,2000-2010,603,-0.049083403,0.101117289,0.019871882,-0.075837942,-0.035925791,0.208075664,-0.290069116,0.109639869,2.042560931,1.108864984,0.108639693,-0.026442194,-0.035063791,0.845637562,-0.010577168,0.028157683,-0.412481324,0.079565567,0.909435697,-0.012109434,-0.187628592,-0.29594478,0.357820781,0.810427709,0.081168831,0.285714286,-1,-0.678571429,Inf,0.140926641,0.00511587,0.012277374
Eligible,2000-2010,1100,-0.126320367,0.080404213,-0.003996289,0.025475698,-0.067080652,0.520695773,0.259625491,-0.029177532,0.379589823,0.130754987,0.001339075,-0.055748823,-0.093935049,0.171897319,-0.058023349,0.698476703,0.065710872,0.154520112,1.213399504,-0.004410242,-0.435684647,-0.435684647,-0.059474412,0.805809129,-0.130503569,1.049679898,0.176338028,0.307042254,1.328169014,0.072994334,-0.025630017,0.013650284
Eligible,2000-2010,1700,0.358134382,0.044042775,-0.144757229,-0.23960297,-0.329286543,3.201063756,-0.434213657,-0.187816973,0.521413276,0.162935566,-0.05500991,-0.222635467,-0.314139274,0.386616585,-0.227960494,3.364016736,-0.168758717,-0.116806137,1.743096234,-0.043518049,0.082673267,0.603960396,0.11043412,1.806930693,-0.358662207,3.244720497,-0.408695652,-0.260869565,1.463768116,0.171792153,-0.040683087,0.077542682
Eligible,2000-2010,2200,-0.083747789,0.012991726,-0.005254871,0.554809421,-0.196928867,-0.124830342,0.118637909,0.171848793,0.725898488,1.21490306,-0.114801865,0.073076923,0.052748196,-0.028782197,-0.120309568,-0.081157375,0.192307692,0.439767779,0.625874126,0.013431013,-0.170812604,0.111111111,0.014492754,2.888888889,-0.346343904,-0.018718437,0.255707763,0.799847793,0.116184678,0.018975971,-0.02194574,9.50E-05
Eligible,2000-2010,2400,-0.061028701,0.190374813,-0.165377707,0.003909986,-0.155257579,2.820226337,-0.405925926,-0.421356421,-0.108888889,-0.064673452,0.035403151,-0.194834311,-0.201733988,0.158604142,-0.100216405,2.081556997,-0.56858202,-0.086408984,0.426997933,-0.009421951,0.071625344,-0.357024793,0.071625344,0.428833792,-0.137350907,1.966555941,-0.641428991,-0.167318436,0.380381203,-0.00899021,-0.02511861,-0.021797565
Gentrified,2000-2010,2700,-0.15143451,0.294522807,-0.117573483,0.194297806,0.460750491,-0.069822159,2.933101045,-0.258723127,0.529539295,1.126318068,0.159820628,-0.10638448,-0.181340154,0.348056982,0.455522388,-0.113133333,1.915,-0.265066667,1.355555556,0.536892851,-0.185599201,0.581589958,0.010460251,0.525104603,0.607551487,-0.0039212,5.108695652,-0.472761387,3.799689441,0.061205035,-0.099136719,-0.02774575
Eligible,2000-2010,3200,-0.091266865,0.080326958,-0.084371517,0.210264901,0.210264901,-0.075766141,0.525543992,-0.299509387,-0.430463576,3.576631977,-0.003332838,-0.16548534,-0.234404859,0.718480439,0.220446212,-0.097462514,0.083044983,-0.310789556,1.436851211,0.36010929,-0.183015318,0.730418944,-0.351092896,0.62226776,0.582809224,-0.040503664,-0.525157233,-0.397314949,Inf,0.122123048,-0.067741387,0.007456867
Eligible,2000-2010,3300,-0.163462751,0.262223642,0.031210721,0.142786613,0.14345884,-0.092492984,-0.148511936,0.080809177,-0.808945891,2.181876451,0.210738255,-0.082968922,-0.040051345,0.057729266,0.632027726,-0.104078872,0.335011186,0.218120805,0.271439224,0.767753623,-0.174144087,0.247826087,0.247826087,3.991304348,0.554098361,-0.06745716,0.295081967,0.202576112,-0.691647151,-0.054023043,-0.01310649,-0.037123283
Ineligible,2000-2010,3800,-0.451888855,0.051492377,-0.267871265,0.349899755,-0.02475068,0.388919791,0.208622963,0.080213813,-0.124790268,-0.089067422,0.037376033,-0.226002788,-0.293840559,0.016509934,-0.008368856,0.21466504,1.675338189,0.023519535,-0.513574875,-0.008969292,-1,NA,0.645962733,-0.769565217,-0.00351942,0.229630445,1.614910314,-0.006266249,-0.485957802,0.017269153,-0.046678437,0.007863201
Ineligible,2000-2010,5901,-0.033480733,-0.111534632,-0.121747333,0.292765341,-0.017499465,0.234574042,-0.087779568,-0.260008686,-0.776957092,-0.650616346,0.012969741,-0.314233853,-0.414230747,-0.036793567,-0.165831995,0.508497898,-0.031859558,-0.219241579,-0.691955314,-0.131221719,1.352941176,Inf,3.235294118,-1,-0.161816998,0.492208013,-0.096637538,-0.261782787,-0.688056655,-0.041888298,-0.135654262,-0.047093238
Eligible,2000-2010,5902,-0.1150955,0.018018723,-0.006837161,0.383197565,0.368054571,-0.021985258,-0.450170076,-0.470347321,2.515884928,-0.093641513,0.039401202,-0.047539308,0.126412713,-0.046237153,-0.008423323,0.208833372,-0.381372065,-0.215398717,0.634586007,0.071447685,-0.438343834,NA,-0.485148515,3.633663366,-0.019093308,0.248484848,-0.384522145,-0.193939394,0.53092999,-0.081774402,0.094639194,-0.067528299
Ineligible,2000-2010,6800,-0.314048776,0.052925448,-0.020525946,0.131703988,0.138173085,-0.233730629,0.057428738,0.110032287,-0.067293626,-0.367381764,0.049799469,0.160072055,0.197657556,-0.012745888,0.03527339,-0.136940934,0.028427934,0.427030936,-0.477623907,-0.020500452,0.838709677,-1,0.608870968,-1,0.03897171,-0.138211725,0.084839357,0.424863634,-0.463172277,-0.080825766,-0.032989619,-0.072968853
Gentrified,2000-2010,7700,-0.272210377,0.11185371,-0.07977012,0.256772157,0.172180946,-0.275466186,-0.115129808,0.974317,-1,-0.07446317,0.10443305,0.321292952,0.342466108,-0.044603754,0.087234638,-0.348317127,-0.019218828,1.331728142,-0.16094019,0.087927019,-0.543452381,0.580357143,0.404761905,0.316964286,0.076696763,-0.315676737,-0.031182796,1.521774194,-0.150579282,-0.11015361,-0.097260379,-0.108147124
Eligible,2000-2010,7801,-0.130290929,-0.006822287,0.034840861,0.529828706,-0.167527518,0.127724757,-0.612660391,-0.38471363,2.212640284,0.315348999,-0.039171129,-0.063330929,-0.127256311,0.034340879,-0.077595102,0.153177139,-0.2734087,-0.206131728,0.584990546,-0.125103152,0.440619621,NA,0.568674699,-0.253012048,-0.057267745,0.132489752,-0.280917977,-0.260122607,0.690864705,0.023825732,-0.096703997,0.009297388
Ineligible,2000-2010,8100,0.021401496,-0.019721233,-0.073682218,0.302053397,-0.035888217,0.186623806,0.483666028,0.169730898,Inf,0.382834356,0.014982638,0.113402676,0.077591851,-0.032064273,-0.024099765,-0.153180587,-0.033466533,0.853278054,0.873587951,-0.013307845,-0.688378033,-0.0651341,2.505747126,NA,-0.030997073,-0.060668068,-9.78E-04,0.696537225,0.948092745,0.014315956,-0.025657996,0.009034078
Eligible,2000-2010,8200,-0.047238586,-0.087294112,0.014848821,0.320795091,-0.03762404,0.033478589,0.308251633,-0.490555214,0.613014797,0.085533483,1.28E-04,0.061557895,0.026985209,-0.016433966,-0.074694668,0.216868778,0.719488491,-0.331955485,0.107880252,0.071841851,-0.458504332,-0.068627451,-0.476102941,0.138344227,-0.13934239,0.293955727,0.776857097,-0.29145663,0.118879603,-0.027526983,-0.059788803,-0.033250269
Eligible,2000-2010,8300,-0.160345615,0.227609464,0.153890549,-0.371044984,-0.076388143,-0.152862335,-0.565251029,-0.729679895,1.66096353,0.831309502,0.089646132,-0.026737968,-0.099128869,0.025718835,0.144140099,-0.23409175,-0.772905526,-0.675579323,0.996865204,0.132013201,-0.371794872,-1,-0.594202899,1.683333333,0.156986392,-0.19346374,-0.719465649,-0.72796669,0.846851145,0.067551151,-0.003359173,0.04611658
Ineligible,2000-2010,8400,-0.250256002,0.210382421,-2.82E-04,0.419479267,0.026043378,-0.40074209,-0.144463668,-0.694148936,-0.644852941,1.0360765,0.062261505,-0.087590915,-0.225637422,0.213511894,0.164560012,-0.379142235,0.213359046,-0.531068968,0.867325365,0.098021837,-0.263987349,0.970134875,-0.229077658,-0.026521591,0.388836431,-0.46494922,-0.019073569,-0.786755124,1.615803815,0.127666645,-0.099285217,0.01899001
Gentrified,2000-2010,8500,-0.061686463,0.036691921,-0.078503185,0.414760501,0.097110982,-0.382974355,-0.456811997,-0.56653029,0.102645762,0.424287443,0.004001789,0.018847491,-0.070330264,0.049377851,0.057820672,-0.443195394,-0.437871869,-0.097861237,0.950100337,0.078937523,-0.369896145,-0.51981352,-0.209292929,0.148032045,0.032307363,-0.458146965,-0.413205538,0.023671217,1.197404414,0.086187176,-0.029652699,0.040478136
Eligible,2000-2010,9500,-0.088534975,0.104458102,-0.054513794,0.109704126,0.184735433,-0.40243438,0.847592494,-0.299919991,-0.734281373,0.623609986,-0.002872268,0.029297391,0.039244057,-0.062877547,0.189787567,-0.35114013,1.077073383,-0.158592958,0.581419209,0.161188644,-0.368956392,0.046345811,-0.110606061,1.03762079,0.22278324,-0.327459226,2.192488263,-0.255086072,0.471205008,0.043869938,0.062412541,0.051803797
