Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,2000-2010,10100,0.405644927,-0.128065424,-0.025201974,0.076249764,-0.192095171,0.257035094,-0.230008024,0.349692942,9.90E-04,0.053673231,-0.082611592,0.332753371,0.173833922,-0.034050098,-0.157894737,0.333333333,0.263157895,0.345432547,0.327935223,-0.052219321,0.684943429,NA,0.263707572,2.15926893,-0.19856181,0.366139426,0.333919156,0.387544047,0.28056239,0.1176178,-0.041172926,0.091182788
Ineligible,2000-2010,10200,0.255733133,-0.017960716,-0.071214566,0.060003078,-0.019265486,-0.085349904,3.139995173,0.039823962,-0.275500845,0.348053984,0.003613473,-0.025611965,0.020453692,-0.01118133,-0.023409474,-0.171308775,1.175314465,0.139227188,0.413954403,0.0057429,-0.627917834,NA,-0.131808279,-1,-0.034754222,-0.10291439,1.153005464,0.311513892,0.74931694,0.028470764,0.100559603,0.049609522
Ineligible,2000-2010,10300,-0.144708044,0.086600922,-0.13856104,0.111998306,0.038612355,0.527063863,0.062305296,-0.128497112,0.365821095,0.502403204,0.028611158,0.008036296,0.001037456,-3.70E-04,0.003737516,0.376768674,0.376768674,-0.03378947,0.280394867,0.06294306,0.024344569,0.024344569,-0.096166557,0.024344569,-0.014270828,0.405352355,0.553284182,-8.11E-04,0.331386442,-0.019852762,-0.034788916,-0.023801258
Ineligible,2000-2010,10400,-0.029674007,-0.053672598,-0.112419719,0.241228021,0.012023106,0.781811514,-0.847273299,-0.103863876,1.939988999,0.539227537,0.004264024,0.035651857,0.034095903,-0.017528205,-0.02776314,0.970264508,-0.292725561,0.045536127,0.259832594,0.038233355,-0.317073171,-0.487804878,-0.072076999,0.024390244,-0.050156015,1.960080414,0.076392878,0.118925119,0.307048494,-0.007453128,-0.00920804,-0.007548412
Ineligible,2000-2010,10500,0.89360149,0.420556256,-0.254706756,-0.020069068,-0.185414058,-0.027510863,-0.174301676,0.692358184,-0.587150838,0.802580848,-0.035715714,-0.069051589,-0.193775693,0.071516909,-0.105370981,-0.008208354,-0.547859691,0.509688829,2.797978597,0.00461972,0.214192708,NA,-0.028645833,Inf,-0.137530076,-0.050048508,-0.557781202,0.741745205,2.360862866,0.147287035,-0.05155513,0.089321707
Ineligible,2000-2010,10600,-0.168775522,-0.022278661,-0.098128584,0.20932349,0.068963614,0.592240286,-0.313206215,-0.104240591,0.41283293,1.130633545,0.039984209,-0.122886409,-0.175256667,0.031610125,-0.023347712,0.099322648,0.016873449,-0.030523195,1.184394817,0.284674785,Inf,-1,-0.166992267,NA,-0.048947895,0.05692927,0.504091653,-0.004709026,1.154007799,-0.056160877,-0.12232128,-0.063540699
Ineligible,2000-2010,10700,-0.087185965,0.042410828,-0.054043648,0.035315409,0.088460294,0.627517332,-0.193991416,-0.030055246,-0.832081545,0.237163911,-0.038114706,-0.012968019,-0.115804386,0.00962412,0.125011787,0.659642086,0.273848092,-0.032058081,-0.112415523,0.082831802,Inf,NA,-0.038128538,NA,0.129379157,0.629268293,0.272865854,-0.031779392,-0.113099921,0.017512531,-0.089158224,0.010166311
Ineligible,2000-2010,10800,-0.22406466,0.090383546,-0.129177104,0.12535525,0.191553696,0.228324428,-0.519752855,-0.160947517,-0.310414356,0.409210056,0.09679524,-0.003055957,-0.01119846,0.003228486,0.078976292,0.059024808,0.059024808,-0.098549898,0.170501103,0.141376354,0.062271062,Inf,-0.136904762,Inf,0.062085612,0.058035714,-0.153571429,-0.083602266,0.058035714,-0.050199816,-0.055240925,-0.051281621
Ineligible,2000-2010,10900,0.043221682,0.012816443,-0.062560989,0.042701886,-0.033159129,-0.186241908,-0.652844136,0.041896357,0.239066015,0.421981212,0.003758463,0.106824115,0.118929151,-0.028445867,-0.045738086,-0.257660157,-0.739012557,0.22734516,0.043949772,0.064042872,0.178992395,NA,-0.091483271,-0.056806084,-0.06468493,-0.307577879,-0.732709324,0.359856709,0.069162702,-0.002367996,0.016870723,0.003264721
Ineligible,2000-2010,11000,-0.254775121,0.084463669,-0.142992758,0.142120694,0.163644511,0.290239126,-0.347956805,-0.156705714,-0.480314266,0.670058217,0.069557971,0.101839326,0.124731333,-0.012394819,0.09760173,0.239466145,-0.605090909,-0.129050674,0.053090909,0.405525347,-0.103977591,-1,-0.182097276,NA,0.078933143,0.280101542,-0.331564369,-0.123641754,0.06949701,-0.046706176,-0.039479546,-0.045767828
