Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,1990-2000,100,-0.028477823,-0.042326275,0.214085231,-0.098545996,-0.077021994,-0.047811597,1.720262097,0.511659507,6.547979994,0.040065153,0.122087192,-0.089127674,-0.103813953,0.042171539,-0.067073232,-0.276790388,-0.218426104,0.344766851,0.920246211,-0.12244898,2.217687075,0,0.749970164,0.430083144,-0.04185984,-0.390663391,-0.248484848,0.09929078,0.914918415,0.003492909,-0.012685907,-0.002865286
Eligible,1990-2000,100100,0.029120143,-0.150421689,0.069175551,0.160287002,-0.520849776,-0.123716509,0.211786372,4.193370166,0.442602824,0.725805037,0.027855841,0.09553614,0.066294926,-0.016041744,0.817321483,-0.138718018,-0.487334802,4.370778267,0.701752215,-0.080796253,-0.07020204,0.103044496,0,0.715846995,1.056217217,-0.162263888,-0.632349412,3.963282937,0.726808855,-0.059759523,-0.091077394,-0.06581614
Eligible,1990-2000,100200,0.042161321,-0.202428592,0.062484224,0.408603156,0.371095971,-0.023400441,1.04205783,-0.75495306,8.529603204,0.124862364,0.274824404,-0.079622642,-0.120975107,0.061918176,0.452830189,-0.049518675,3.202830189,-0.688679245,-0.148446171,0.014760148,-0.042896679,4.073800738,0,0.014760148,0.642692085,-0.050719918,2.584055459,-0.701328712,-0.193587522,-0.066674433,-0.119591246,-0.087660462
Eligible,1990-2000,100300,0.085803029,-0.173642075,-0.045187229,0.375061958,-0.083204984,-0.016102162,-0.43325399,1.125297538,-0.102652151,0.300261779,0.152220325,-0.084088652,-0.06151736,0.064024366,0.115855394,-0.065312441,-0.359521776,-0.551665243,-0.003700541,-0.099327731,-0.037057446,0.957983193,-1,-0.021008403,0.38647482,-0.085019984,-0.579856115,-0.15971223,-0.002158273,-0.094300607,-0.078829563,-0.093015265
Ineligible,1990-2000,100400,-0.074962265,-0.115453424,0.161207335,0.096930577,-0.488601848,0.184406051,-0.044366871,1.717166187,1.01185922,-0.133578876,0.00889951,0.005506689,0.020549499,-0.048772402,-0.520926226,0.231567275,-0.04335425,1.023673702,0.018364831,-0.484873748,0.349859007,-0.04859335,0.816321786,0.790883105,-0.570231252,0.162127369,-0.039134912,1.177960865,-0.274013045,-0.087549225,-0.040855191,-0.064970231
Eligible,1990-2000,100500,0.030377715,-0.158900703,0.136280382,0.065532287,-0.497279516,0.168998535,0.040356764,1.590626701,0.590430456,-0.105788591,-0.013245643,-0.034549398,-0.014676062,0.045833962,-0.451494553,0.104831615,-0.452957234,1.502810041,0.045571036,-0.343050301,0.114411658,-0.055634807,1.990489777,0.711661912,-0.524413459,0.097729222,-0.501966897,1.344586609,-0.074622363,-0.004038587,-0.013837178,-0.009166385
Eligible,1990-2000,100601,0.191128535,-0.130216019,0.201790197,-0.192248098,-0.424717572,5.110394143,0.492785916,5.068794105,28.39639958,0.617388341,0.033861459,-0.020197908,-0.017200046,-0.014113287,-0.358354041,3.820776381,0.911864407,5.164114553,2.960290557,-0.289042345,12.65893271,-0.024361949,14.12238979,6.805104408,-0.412069561,2.733207143,2.767248545,3.709060682,2.296342477,0.007863041,0.031365382,0.017266582
Eligible,1990-2000,100603,-0.015828383,-0.197222797,0.378670788,-0.015529991,-0.116236674,2.345304119,0.551004637,1.632007868,0,0.659847067,0.177040073,-0.065135261,-0.063588212,0.078264817,-0.075180766,1.259143381,0,1.838990182,0.305282842,-0.070240137,6.330188679,0,4.759433962,0,-0.075949367,0.771097046,0,1.079113924,0.078059072,-0.03960411,-0.063554556,-0.055596138
Eligible,1990-2000,100700,0.091654105,-0.100323594,0.222913146,-0.114787705,-0.035263227,1.189165508,0.414537713,1.310411598,0,0.331772208,0.221747501,0.022449642,0.018571127,-0.029184592,-0.034186028,0.566558592,0.479527559,2.698818898,0.084986877,-0.029522958,4.145038168,0.929389313,2.858778626,0.929389313,-0.041247975,0.241540257,0.012835473,2.544924154,-0.113768961,-0.073170668,-0.073527818,-0.06995661
Ineligible,1990-2000,100800,0.118412533,-0.149852636,0.32053972,-0.173672192,-0.289795644,3.308482204,1.523007653,2.062409289,4.9015179,1.280707852,0.089337176,0.018478755,0.005576484,0.004074997,-0.237095832,2.413774037,2.173803526,2.046851385,1.924433249,-0.190374574,9.750957854,0,2.205254516,6.478927203,-0.278775613,1.635882519,1.574987544,2.004152134,1.17264574,0.008510555,-0.021148371,-0.004239676
