label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
ineligible,2000-2010,126,-0.206074940140654,0.0184659077084192,-0.0737128489287499,0.266470793187756,-0.0854005894515906,0.147374389392882,-0.197687834380088,0.336880669923238,0.359851128169342,0.193103078825207,0.118072511758513,0.0193626554250721,-0.0271030964419856,0.0408989214978631,-0.0112738072577846,0.377388464763249,-0.136751929917963,0.185116279069767,0.0147351652727997,0.00390913017490734,0.125101763907734,-0.687471732247852,0.406377204884667,-0.134537104686359,-0.0370283370618941,0.508039709172259,0.0173154362416108,-0.110738255033557,0.102684563758389,-8.02889826794907e-4,-0.104619868798973,-0.0619417444289129
eligible,2000-2010,2600,-0.248427503690945,-0.0686319040697675,-0.0208027641180203,0.253083333333333,0.255687722684086,0.779947916666667,0.5018310546875,0.0268930288461538,8.3447265625,-0.150614397942158,0.196623245356189,-0.1351101408408,-0.094070333250332,0.145208964778428,0.0763257291942841,-0.28058361391694697,0.582716049382716,-0.321693121693122,-0.325339932866815,-0.00296618278247077,0.307116104868914,0.742821473158552,0.307116104868914,-0.0850187265917603,0.199567567567568,-0.513333333333333,0.378888888888889,-0.675555555555555,-0.487027027027027,-0.156554054054054,-0.118173995652844,-0.141819922241236
ineligible,2000-2010,3714,0.0103094562361549,0.00217423486605052,-0.0789669907743681,0.0776280523751095,-0.196645934859466,0.354459390805208,0.410852072321465,0.246922132952412,-0.0890361619363204,0.240836666917717,0.028822410511635,-0.112009758749395,-0.155241178954634,0.0782483487642411,-0.100579257429438,0.480614578549268,0.561375373742865,0.415325796835384,0.16854173966865,-0.00710834742116277,0.0343087790110999,-0.039570419489693,0.13773965691221,0.214188566665204,-0.132543750938861,0.485330590569561,0.553545947488585,0.425230508870215,0.124939508323655,0.0386149005381838,-0.0408959197460811,0.00954506290799948
ineligible,2000-2010,3001,-0.188510654833899,0.175622110948526,-0.214211919282157,0.347153312146153,0.0396376533742332,-0.0166161890709533,0.259652542858781,0.381702210536566,1.49597818677573,-0.0465318515418195,0.165680943980102,0.0310687746889991,-0.0165600169446271,-0.0497487067713961,0.0670536280107948,0.190154544472063,0.13064681724846,0.421384570255207,-0.192662107353166,0.0658882984293898,0.169682664568581,-0.204981313926043,1.04694466299502,-0.287936689588932,0.0454474974905537,0.249744347233269,0.632631708517972,-0.0443131462333825,-0.0900397899542732,-0.0278964395429132,-0.0791632638869332,-0.0615217260494469
ineligible,2000-2010,122,-0.0227860104950767,0.1818283676611,-0.0309316428465456,-0.0502726426386488,-0.112774327679853,-0.104507291206363,0.18157721899043,0.160593715509965,-0.00856164383561645,0.319261830992561,0.329451812704077,-0.174510444176904,-0.115779507608092,0.567482401065449,-0.0417168841579946,-0.117556468172485,0.153964618543674,0.447207392197125,0.435617089092525,-0.0331685989197294,0.0689941812136326,0.0689941812136326,0.27261212049242,0.30365144050443,-0.0219098753595398,-0.418791946308725,-0.145282273983419,1.3248322147651,0.318895198760971,-0.0858081655480984,-0.0460956810966859,-0.0792386478027903
ineligible,2000-2010,402,-0.199295823746775,0.118192034615521,-0.172970732860015,0.289381072807134,-0.0674836462716189,-0.122366032210835,-0.0712868065723117,0.097042459736456907,1.0896046852123,0.210045054325926,0.0719082436616696,-0.0587753291870375,-0.0600080029791436,0.153763210694705,-0.025008475907749,-0.0399347389558234,0.207306147667593,0.753162650602409,0.0917130058696323,-0.00100803563755122,-0.0538971807628523,0.146239954075775,0.951337064676617,-0.247155988350928,-0.0587656749446767,-0.112244897959184,0.126766091051805,0.442602040816327,0.343629343629344,-0.0221702339472374,-0.0424915934163176,-0.0404631182959686
eligible,2000-2010,124,-0.0166420015078324,-0.0574176573074324,-0.101514360925619,0.209130321685598,-0.150508559558771,0.153986820428336,0.0364831159747085,0.483306996604243,-0.043657331136737997,0.218249180318232,-0.00572485151924568,-0.0596580354096372,-0.1257641612573,0.04244737046046,-0.0786573952303006,0.389463173593287,0.248201084277969,0.273674575793846,0.356495586719835,-0.00837481326819578,-0.0343057806591032,0.158833063209076,0.316855753646677,0.126983528702273,-0.110389273206672,0.43735018522554,0.230720805791627,0.252124645892351,0.41217065326205,0.050955642414028,-0.0392517177620014,0.00668437262056583
ineligible,2000-2010,1700,-0.137130953185546,0.00823121051809192,-0.189424762704617,0.604652328268221,-0.0612954588024329,-0.0624385583327189,0.217666004791603,0.194363985118243,-0.524768856447689,0.163924856492035,0.0302166810562869,-0.0871090139511224,-0.0639791770213338,0.0460334624973716,-0.0361918294849023,-0.0947131961132588,0.242391947898165,0.442628774422735,0.118760192369616,0.0123615567110422,-0.308373590982287,0.03743961352657,0.210346215780998,-0.297218326320711,-0.052585574563106,-0.0905888273779568,0.227157244983962,0.437852799956474,0.175738730318499,-0.037929364552087,-0.019190461044098,-0.0371169556147988
eligible,2000-2010,4502,-0.0873038116591929,-0.0800958369037793,0.0297188554808712,0.197693113898749,-0.221620948882011,-0.226303251121076,-0.164198560850975,1.56710442024343,0.123108183856502,0.0461046975543972,0.252295214065864,-0.017568905150964,0.0147719231145871,-0.0377442168270085,0.111917701725552,0.0912858294002533,0.211956858612781,0.432312651087832,-0.220224245373535,0.080392058052812,-0.149542682926829,0.143472022955524,-0.352032520325203,-0.129131707317073,0.192953687738886,0.382422802850356,0.331221958300343,2.68646080760095,-0.362404577301722,-0.112730706245113,-0.0118293191692868,-0.045666826119685
eligible,2000-2010,4715,-0.0951803975990794,0.105806682803632,-0.11617424420941,0.399726084680973,-0.275221502564016,-0.268494873660255,-0.0813366031827351,0.666192926570285,3.6653401943968,0.0638654815132069,0.618023627925841,-0.0435803166900843,-0.0616434094103667,0.299065977539752,-0.0259572746250372,-0.444375417264213,-0.0705808583360183,-0.136755501222494,0.083179442348825,-0.0142975044666997,-0.28220242005879,0.0125087017055344,-0.0598133484162895,0.0443638286220218,-0.0737887318615025,-0.763298760657467,-0.382262365591398,-0.420870967741935,0.283047628371433,-0.0474623170465304,-0.0840757496436808,-0.0778860726863566
