med_income_00,tot_pop_00,nonwhite_pop_00,owner_occ_00,GEOID,med_income00
"$51,077",3855,813,473,000100,51077
"$53,114",3722,608,502,000201,53114
"$55,524",3858,875,521,000202,55524
"$64,341",6141,899,1039,000300,64341
"$40,505",5589,1226,454,000401,40505
"$68,225",3458,764,429,000402,68225
"$50,160",7159,1469,724,000501,50160
"$52,577",5472,1055,285,000502,52577
"$66,843",3448,810,427,000601,66843
"$27,196",4610,2092,163,000602,27196
"$38,743",4551,1575,292,000701,38743
"$35,075",7462,2773,383,000702,35075
"$43,721",3906,1010,52,000801,43721
"$40,649",7053,2940,356,000802,40649
"$84,384",5447,1220,260,010101,84384
"$40,361",3708,867,81,010102,40361
"$28,715",8247,2069,348,010200,28715
"$21,759",3857,1544,29,010300,21759
"$45,162",6914,2049,299,010401,45162
"$30,805",5353,1697,55,010402,30805
"$64,308",2977,661,197,010500,64308
"$110,132",1969,460,178,010600,110132
"$115,142",5285,448,960,010700,115142
"$149,085",6474,554,1445,010800,149085
"$169,887",4497,163,1034,020100,169887
"$71,513",3464,381,363,020200,71513
"$99,704",4831,843,639,020300,99704
"$53,363",1954,62,286,030100,53363
"$39,844",1625,114,162,030200,39844
"$89,997",3774,287,608,030300,89997
"$48,136",2340,75,211,030400,48136
"$47,088",2050,89,429,030500,47088
$0,409,35,0,030599,0
"$89,087",1851,17,435,040100,89087
"$37,093",1486,188,135,040200,37093
"$45,883",2655,139,439,040300,45883
"$53,972",2114,69,285,040400,53972
"$71,677",1392,9,322,040500,71677
"$72,646",351,4,82,040600,72646
"$85,923",1792,41,426,040700,85923
"$36,267",2903,245,135,040800,36267
$0,174,37,0,040899,0
"$35,632",4069,1067,408,050100,35632
"$35,907",4034,1195,432,050200,35907
"$19,224",1873,776,46,050300,19224
"$28,565",1986,711,212,050400,28565
"$35,449",1616,592,164,050500,35449
"$34,067",1634,705,125,050600,34067
"$25,224",1143,240,122,050700,25224
"$36,994",1912,378,265,050800,36994
"$41,828",3167,824,386,050900,41828
"$38,999",3940,310,550,051000,38999
"$47,671",5211,562,828,051100,47671
"$38,848",2356,410,391,051200,38848
"$58,485",3169,36,532,060100,58485
"$62,428",2196,18,360,060200,62428
"$55,217",3206,33,600,060300,55217
"$57,738",4965,73,840,060400,57738
"$46,040",3561,189,469,060500,46040
$0,19,5,0,060599,0
"$40,361",1065,39,205,060600,40361
$0,19,6,0,060699,0
"$20,076",1326,170,0,060700,20076
"$36,156",1123,27,130,060800,36156
"$55,917",2096,18,320,060900,55917
"$20,102",2689,218,183,061000,20102
"$20,076",1971,221,5,061100,20076
"$46,826",814,43,129,061200,46826
"$22,080",647,92,80,061300,22080
"$58,727",567,35,100,061400,58727
"$19,381",2039,1133,221,070100,19381
"$26,560",3053,2812,58,070200,26560
"$89,159",3417,888,613,070300,89159
"$22,074",1715,1638,0,070400,22074
"$36,077",5810,3425,566,070500,36077
"$109,975",2348,465,460,070600,109975
"$50,821",2198,1251,330,070700,50821
"$62,644",3267,1348,328,070800,62644
"$37,800",2844,1810,253,070900,37800
"$39,012",2020,1182,169,071000,39012
"$11,142",730,432,10,071100,11142
"$13,454",1485,1202,9,071200,13454
"$22,932",281,203,31,080100,22932
"$32,442",1591,1393,130,080200,32442
"$24,713",2547,2513,86,080300,24713
"$12,229",1461,1408,22,080400,12229
"$25,204",4465,4382,89,080500,25204
"$12,773",1128,1001,0,080600,12773
"$18,386",592,585,21,080700,18386
"$20,862",2938,2746,6,080800,20862
"$41,743",3149,1236,187,080900,41743
"$28,558",4891,2889,187,081000,28558
"$34,754",3663,1959,311,081100,34754
"$30,268",3412,3145,156,081200,30268
"$27,517",4427,4204,176,081300,27517
"$33,634",1852,1588,269,081400,33634
"$30,693",2388,2125,171,081500,30693
"$30,268",720,714,76,081600,30268
"$37,368",3713,3663,338,081700,37368
"$35,252",2929,2906,280,081800,35252
"$48,077",3277,3245,283,081900,48077
"$34,754",3193,3070,382,082000,34754
"$25,984",4623,4623,149,082100,25984
"$40,427",4340,4269,382,090100,40427
"$23,423",2104,2084,106,090200,23423
"$27,877",2867,2860,171,090300,27877
"$25,041",1285,1227,150,090400,25041
"$33,857",1517,1476,121,090500,33857
"$29,429",2032,1765,159,090600,29429
"$42,791",3124,601,356,090700,42791
"$44,592",1057,125,203,090800,44592
"$22,499",2233,1588,0,090900,22499
"$48,594",2701,552,412,091000,48594
"$51,738",4722,908,595,091100,51738
"$39,850",3294,1514,337,091200,39850
"$37,754",2455,2217,247,091300,37754
"$38,154",2319,2129,222,091400,38154
"$35,914",4520,3520,361,091500,35914
"$36,130",2897,1696,262,091600,36130
"$37,224",3170,2382,320,091700,37224
"$41,429",3503,3094,318,091800,41429
"$38,160",4161,4023,363,091900,38160
"$37,852",4964,4292,503,092000,37852
"$43,859",5838,1268,772,092100,43859
"$63,273",3072,1639,471,092200,63273
"$46,243",3554,3423,393,092300,46243
"$27,065",5619,5482,411,092400,27065
"$32,429",4648,4576,314,100100,32429
"$22,165",2711,2684,301,100200,22165
"$38,861",3639,3477,440,100300,38861
"$53,107",5259,3801,744,100400,53107
"$40,420",6171,4305,662,100500,40420
"$49,846",5140,534,898,100601,49846
"$54,103",2072,144,276,100602,54103
"$59,297",4651,148,1011,100700,59297
"$57,784",5275,673,976,100800,57784
"$54,784",4097,1871,798,100900,54784
"$51,234",6051,5722,918,101001,51234
"$45,739",5412,4798,682,101002,45739
"$45,175",3384,3338,339,101101,45175
"$42,641",4738,4696,425,101102,42641
$0,410,254,9,110101,0
"$39,752",5715,2647,587,110102,39752
"$35,704",1745,620,271,110200,35704
"$56,500",2265,431,517,110300,56500
"$49,289",3560,1148,577,110401,49289
"$62,559",4148,414,972,110402,62559
"$74,781",3409,262,765,110501,74781
"$47,926",3783,509,727,110502,47926
"$85,589",2477,173,899,110601,85589
"$59,926",5673,343,954,110602,59926
"$75,613",6659,1216,1481,120100,75613
"$40,623",3883,2093,430,120200,40623
"$39,431",5225,3647,516,120300,39431
"$59,664",5693,1290,911,120400,59664
"$30,425",2482,2166,147,120500,30425
"$48,765",2505,909,330,120600,48765
"$51,319",2173,842,414,120700,51319
"$69,869",5977,283,1698,130100,69869
"$75,567",4938,126,1310,130200,75567
"$81,194",4647,137,1312,130300,81194
"$49,911",6774,555,1117,130401,49911
"$60,856",4903,196,1402,130402,60856
"$50,730",8037,1470,1539,140101,50730
"$57,345",4030,519,973,140102,57345
"$56,834",7447,465,1540,140200,56834
"$49,636",5407,1762,909,140300,49636
"$61,374",7700,5183,1626,140400,61374
$0,1305,811,0,150100,0
"$39,693",6036,3373,535,160100,39693
"$30,706",3823,2480,206,160200,30706
"$65,985",1155,163,230,160300,65985
"$22,958",2787,1918,140,160400,22958
"$39,955",7754,2508,864,160500,39955
"$49,328",6903,1005,990,160600,49328
$0,252,0,0,160700,0
"$56,500",6165,315,1529,170100,56500
"$50,042",4262,195,795,170200,50042
"$54,837",6375,120,1606,170300,54837
"$45,811",4580,408,867,170400,45811
"$50,972",5243,328,1111,170500,50972
"$48,090",4484,152,1029,170600,48090
"$41,612",7418,2065,810,170700,41612
"$52,112",4259,328,784,170800,52112
"$62,068",4870,220,901,180100,62068
"$56,716",3955,38,859,180200,56716
"$68,631",3345,73,779,180300,68631
"$65,389",1877,71,445,180400,65389
"$56,651",4080,153,856,180500,56651
