GEOID,DP03_0062E,DP03_0062M,DP02_0059E,DP02_0059M,DP02_0060E,DP02_0060M,DP02_0061E,DP02_0061M,DP02_0062E,DP02_0062M,DP02_0063E,DP02_0063M,DP02_0067E,DP02_0067M,DP05_0032E,DP05_0032M,DP05_0033E,DP05_0033M,DP05_0034E,DP05_0034M,DP05_0039E,DP05_0039M,DP05_0047E,DP05_0047M,DP02_0111PE,DP02_0111PM,DP02_0113E,DP02_0113M,DP02_0114E,DP02_0114M,NAME,B01001_001E,B01001_001M,geometry,adjMHI,percEng,percWhite,"GEOID == str_remove(bos_acs10$GEOID, ""25025"")"
000100,55179,6282,330,155,151,99,1007,255,315,133,136,66,NA,NA,2849,475,102,88,0,127,436,110,0,127,55.5,8.7,878,299,470,210,"Census Tract 1, Suffolk County, Massachusetts",3620,456,"list(list(c(-71.146171, -71.144514, -71.135452, -71.132803, -71.130648, -71.129953, -71.127902, -71.126265, -71.123735, -71.125946, -71.129755, -71.129949, -71.130218, -71.130361, -71.130417, -71.130277, -71.129768, -71.13083, -71.131267, -71.131488, -71.131621, -71.13224, -71.133083, -71.136961, -71.137098, -71.137369, -71.137979, -71.13808, -71.138198, -71.139066, -71.140681, -71.144176, -71.149082, -71.153194, -71.153762, -71.154693, -71.160866, -71.153994, -71.147927, -71.146171, 42.361657, 42.362933, 
42.364849, 42.366127, 42.368535, 42.372684, 42.372597, 42.36938, 42.36832, 42.366041, 42.363198, 42.36303, 42.362694, 42.362353, 42.361957, 42.361611, 42.361072, 42.359024, 42.358722, 42.358595, 42.358799, 42.358585, 42.358556, 42.359315, 42.359056, 42.358761, 42.357608, 42.357419, 42.357093, 42.353791, 42.354004, 42.354889, 42.356151, 42.357226, 42.357525, 42.358139, 42.358645, 42.359316, 42.360645, 42.361657)))",60338.23649999999,55.5,78.70165745856353,FALSE
000201,68010,4442,95,74,139,81,651,196,361,159,143,92,NA,NA,2780,417,184,154,7,13,448,123,0,127,66.9,8,429,207,373,243,"Census Tract 2.01, Suffolk County, Massachusetts",3636,492,"list(list(c(-71.156135, -71.156406, -71.156709, -71.157085, -71.158059, -71.158496, -71.158594, -71.160054, -71.160565, -71.160505, -71.160304, -71.160437, -71.161304, -71.161622, -71.162138, -71.162425, -71.162762, -71.163093, -71.163333, -71.167605, -71.167584, -71.167806, -71.167831, -71.167643, -71.165196, -71.164216, -71.163372, -71.162785, -71.162557, -71.16187, -71.161574, -71.160866, -71.154693, -71.153762, -71.154266, -71.154329, -71.155465, -71.156135, 42.355353, 42.355075, 42.354735, 42.354507, 
42.354074, 42.353868, 42.353813, 42.352762, 42.352671, 42.352538, 42.352141, 42.348916, 42.348965, 42.348964, 42.348989, 42.348995, 42.349023, 42.349041, 42.349115, 42.350604, 42.351212, 42.352837, 42.353189, 42.353787, 42.353316, 42.355519, 42.355096, 42.354822, 42.355534, 42.358138, 42.35826, 42.358645, 42.358139, 42.357525, 42.356072, 42.355676, 42.355703, 42.355353)))",74368.935,66.9,76.45764576457645,FALSE
000202,54151,16721,204,101,184,99,686,225,385,138,129,75,NA,NA,2288,296,174,133,0,127,774,218,0,127,53.3,9.7,872,362,491,262,"Census Tract 2.02, Suffolk County, Massachusetts",3899,370,"list(list(c(-71.158059, -71.157085, -71.156709, -71.156406, -71.156135, -71.155465, -71.154329, -71.154266, -71.153762, -71.153194, -71.149082, -71.149965, -71.150358, -71.150533, -71.150881, -71.146743, -71.147862, -71.151915, -71.15333, -71.153449, -71.154438, -71.154715, -71.155746, -71.157079, -71.160437, -71.160304, -71.160505, -71.160565, -71.160054, -71.158594, -71.158496, -71.158059, 42.354074, 42.354507, 42.354735, 42.355075, 42.355353, 42.355703, 42.355676, 42.356072, 42.357525, 42.357226, 
42.356151, 42.3548, 42.354193, 42.353886, 42.35335, 42.352294, 42.350345, 42.35164, 42.349582, 42.349146, 42.349138, 42.349129, 42.349114, 42.34909, 42.348916, 42.352141, 42.352538, 42.352671, 42.352762, 42.353813, 42.353868, 42.354074)))",59214.1185,53.3,58.68171325981021,FALSE
000301,87230,9018,37,36,81,51,275,108,246,112,87,58,NA,NA,2138,405,33,38,0,127,227,173,0,127,80,8.3,117,73,99,95,"Census Tract 3.01, Suffolk County, Massachusetts",2398,362,"list(list(c(-71.170341, -71.169999, -71.169894, -71.169474, -71.163368, -71.16187, -71.162557, -71.162785, -71.163372, -71.164216, -71.165196, -71.167643, -71.167831, -71.167806, -71.167584, -71.167605, -71.167755, -71.167884, -71.168111, -71.170108, -71.174708, -71.174798, -71.173866, -71.172798, -71.171487, -71.171198, -71.170341, 42.357111, 42.357397, 42.357641, 42.358047, 42.357937, 42.358138, 42.355534, 42.354822, 42.355096, 42.355519, 42.353316, 42.353787, 42.353189, 42.352837, 42.351212, 42.350604, 
42.350617, 42.350649, 42.350663, 42.34939, 42.350155, 42.350265, 42.35336, 42.354696, 42.356089, 42.356396, 42.357111)))",95386.00499999999,80,89.15763135946622,FALSE
000302,83357,19037,78,60,77,51,538,240,76,51,125,77,NA,NA,2147,368,223,139,0,127,591,189,0,127,62.2,9.8,539,274,38,49,"Census Tract 3.02, Suffolk County, Massachusetts",3076,342,"list(list(c(-71.170003, -71.171898, -71.174265, -71.174708, -71.170108, -71.168111, -71.167884, -71.167755, -71.167605, -71.163333, -71.163093, -71.162762, -71.162425, -71.162138, -71.161622, -71.161304, -71.160437, -71.160841, -71.161311, -71.162118, -71.166052, -71.166126, -71.166554, -71.166699, -71.168124, -71.170003, 42.344252, 42.346655, 42.349584, 42.350155, 42.34939, 42.350663, 42.350649, 42.350617, 42.350604, 42.349115, 42.349041, 42.349023, 42.348995, 42.348989, 42.348964, 42.348965, 42.348916, 
42.348346, 42.347576, 42.346373, 42.34147, 42.340088, 42.340034, 42.340009, 42.341917, 42.344252)))",91150.8795,62.2,69.79843953185956,FALSE
000401,42136,8699,237,144,57,59,748,222,356,171,79,52,NA,NA,4265,431,122,151,0,127,884,224,0,127,56.8,6.9,1279,233,218,139,"Census Tract 4.01, Suffolk County, Massachusetts",5441,475,"list(list(c(-71.152446, -71.151235, -71.149755, -71.149047, -71.147741, -71.146514, -71.146238, -71.146096, -71.14556, -71.145049, -71.144543, -71.143109, -71.143587, -71.144358, -71.145923, -71.14646, -71.147007, -71.148071, -71.148633, -71.151382, -71.154734, -71.154553, -71.153841, -71.153462, -71.153393, -71.153457, -71.153274, -71.153072, -71.152947, -71.15291, -71.152937, -71.153067, -71.152812, -71.152446, 42.346096, 42.345813, 42.348185, 42.347457, 42.346747, 42.346247, 42.346106, 42.345986, 
42.345413, 42.344963, 42.344623, 42.343878, 42.343224, 42.342526, 42.341897, 42.341811, 42.341782, 42.341832, 42.341814, 42.340423, 42.341206, 42.341557, 42.342586, 42.343183, 42.343484, 42.344144, 42.34465, 42.345106, 42.345409, 42.345645, 42.345828, 42.346154, 42.346155, 42.346096)))",46075.71599999999,56.8,78.3863260430068,FALSE
000402,57530,9698,76,90,48,40,163,76,154,75,31,28,NA,NA,3088,499,59,70,0,127,418,175,0,127,81.2,5.3,301,133,106,61,"Census Tract 4.02, Suffolk County, Massachusetts",3610,497,"list(list(c(-71.154715, -71.154438, -71.153449, -71.153476, -71.153946, -71.153949, -71.153786, -71.153346, -71.153067, -71.152937, -71.15291, -71.152947, -71.153072, -71.153274, -71.153457, -71.153393, -71.153462, -71.153841, -71.154553, -71.154734, -71.155257, -71.155288, -71.155536, -71.156069, -71.157528, -71.157878, -71.158964, -71.159758, -71.166126, -71.166052, -71.162118, -71.161311, -71.160841, -71.160437, -71.157079, -71.155746, -71.154715, 42.349129, 42.349138, 42.349146, 42.348861, 42.348083, 
42.347547, 42.347256, 42.346639, 42.346154, 42.345828, 42.345645, 42.345409, 42.345106, 42.34465, 42.344144, 42.343484, 42.343183, 42.342586, 42.341557, 42.341206, 42.340432, 42.340337, 42.340262, 42.340158, 42.339782, 42.33973, 42.339953, 42.340058, 42.340088, 42.34147, 42.346373, 42.347576, 42.348346, 42.348916, 42.34909, 42.349114, 42.349129)))",62909.05499999999,81.2,85.54016620498615,FALSE
000502,51875,7217,0,127,0,127,155,99,144,73,58,50,NA,NA,3534,566,184,133,0,127,393,192,41,38,82.2,5.4,163,82,178,91,"Census Tract 5.02, Suffolk County, Massachusetts",4328,610,"list(list(c(-71.150658, -71.149839, -71.150309, -71.147249, -71.148769, -71.148478, -71.148398, -71.150103, -71.149797, -71.156065, -71.156833, -71.158956, -71.162298, -71.167565, -71.169217, -71.16674, -71.166699, -71.166554, -71.166126, -71.159758, -71.158964, -71.157878, -71.157528, -71.156069, -71.155536, -71.155288, -71.155257, -71.154734, -71.151382, -71.151824, -71.152587, -71.152688, -71.152741, -71.153082, -71.153365, -71.152198, -71.150658, 42.337495, 42.337665, 42.336842, 42.337135, 42.336777, 
42.336254, 42.335798, 42.335281, 42.334497, 42.330617, 42.330189, 42.332424, 42.333965, 42.333441, 42.338068, 42.339854, 42.340009, 42.340034, 42.340088, 42.340058, 42.339953, 42.33973, 42.339782, 42.340158, 42.340262, 42.340337, 42.340432, 42.341206, 42.340423, 42.340025, 42.338896, 42.338715, 42.338646, 42.338333, 42.338185, 42.337176, 42.337495)))",56725.31249999999,82.2,81.6543438077634,FALSE
000503,62083,10582,0,127,48,14,107,153,0,127,68,73,NA,NA,1686,272,26,30,19,31,80,82,0,127,73.9,10.4,144,111,137,124,"Census Tract 5.03, Suffolk County, Massachusetts",1931,254,"list(list(c(-71.149839, -71.150658, -71.152198, -71.153365, -71.153082, -71.152741, -71.152688, -71.152587, -71.151824, -71.151382, -71.148633, -71.148071, -71.147007, -71.14646, -71.145923, -71.14587, -71.145802, -71.146334, -71.14682, -71.14686, -71.146982, -71.147571, -71.148378, -71.148847, -71.149286, -71.149468, -71.149658, -71.149839, 42.337665, 42.337495, 42.337176, 42.338185, 42.338333, 42.338646, 42.338715, 42.338896, 42.340025, 42.340423, 42.341814, 42.341832, 42.341782, 42.341811, 42.341897, 
42.341774, 42.34158, 42.341475, 42.341439, 42.341372, 42.341192, 42.340611, 42.339899, 42.339358, 42.338632, 42.338281, 42.33798, 42.337665)))",67887.76049999999,73.9,87.31227343345417,FALSE
000504,39452,6600,117,65,37,35,365,160,348,149,79,73,NA,NA,4224,479,133,97,45,46,721,278,0,127,68.1,6.6,823,215,260,173,"Census Tract 5.04, Suffolk County, Massachusetts",5353,445,"list(list(c(-71.147249, -71.150309, -71.149839, -71.149658, -71.149468, -71.149286, -71.148847, -71.148378, -71.147571, -71.146982, -71.14686, -71.14682, -71.146334, -71.145802, -71.14587, -71.145923, -71.144358, -71.143587, -71.143109, -71.142306, -71.142085, -71.141698, -71.140519, -71.139804, -71.138387, -71.138246, -71.137824, -71.138809, -71.139977, -71.14007, -71.141302, -71.141619, -71.141754, -71.144779, -71.145275, -71.14556, -71.146253, -71.147249, 42.337135, 42.336842, 42.337665, 42.33798, 
42.338281, 42.338632, 42.339358, 42.339899, 42.340611, 42.341192, 42.341372, 42.341439, 42.341475, 42.34158, 42.341774, 42.341897, 42.342526, 42.343224, 42.343878, 42.345073, 42.345445, 42.34602, 42.345523, 42.345093, 42.344218, 42.344126, 42.343876, 42.343087, 42.34214, 42.342089, 42.341073, 42.340641, 42.340396, 42.339657, 42.339338, 42.339131, 42.338709, 42.337135)))",43140.761999999995,68.1,78.90902297776948,FALSE
000601,60343,7556,135,79,131,68,325,126,300,121,106,62,NA,NA,2519,291,27,34,0,127,792,274,0,127,71.8,7.6,344,148,81,62,"Census Tract 6.01, Suffolk County, Massachusetts",3511,364,"list(list(c(-71.153786, -71.153949, -71.153946, -71.153476, -71.153449, -71.15333, -71.151915, -71.147862, -71.146743, -71.150881, -71.150533, -71.150358, -71.149965, -71.149082, -71.144176, -71.140681, -71.139066, -71.137625, -71.137445, -71.140266, -71.142428, -71.142997, -71.144291, -71.145612, -71.146511, -71.147079, -71.147393, -71.148027, -71.14816, -71.149755, -71.151235, -71.152446, -71.152812, -71.153067, -71.153346, -71.153786, 42.347256, 42.347547, 42.348083, 42.348861, 42.349146, 42.349582, 
42.35164, 42.350345, 42.352294, 42.35335, 42.353886, 42.354193, 42.3548, 42.356151, 42.354889, 42.354004, 42.353791, 42.353612, 42.353595, 42.352543, 42.351776, 42.351634, 42.351346, 42.350786, 42.350417, 42.350165, 42.350054, 42.349804, 42.349758, 42.348185, 42.345813, 42.346096, 42.346155, 42.346154, 42.346639, 42.347256)))",65985.0705,71.8,71.74594132725719,FALSE
000602,25476,9934,308,248,132,90,448,163,310,116,64,51,NA,NA,2431,489,460,248,45,55,793,287,30,48,52.8,8.4,875,318,330,134,"Census Tract 6.02, Suffolk County, Massachusetts",4031,460,"list(list(c(-71.147741, -71.149047, -71.149755, -71.14816, -71.148027, -71.147393, -71.147079, -71.146511, -71.145612, -71.144291, -71.142997, -71.142428, -71.140266, -71.137445, -71.135801, -71.13456, -71.136148, -71.136379, -71.136893, -71.13758, -71.138898, -71.139806, -71.140043, -71.140366, -71.141698, -71.142085, -71.142306, -71.143109, -71.144543, -71.145049, -71.14556, -71.146096, -71.146238, -71.146514, -71.147741, 42.346747, 42.347457, 42.348185, 42.349758, 42.349804, 42.350054, 42.350165, 
42.350417, 42.350786, 42.351346, 42.351634, 42.351776, 42.352543, 42.353595, 42.353497, 42.353352, 42.350794, 42.350393, 42.349704, 42.348649, 42.349034, 42.348958, 42.348866, 42.348686, 42.34602, 42.345445, 42.345073, 42.343878, 42.344623, 42.344963, 42.345413, 42.345986, 42.346106, 42.346247, 42.346747)))",27858.005999999998,52.8,60.30761597618457,FALSE
000701,53083,13509,107,100,122,97,470,267,116,60,63,47,NA,NA,3283,410,165,108,0,127,583,300,0,127,68.6,7.8,442,228,111,86,"Census Tract 7.01, Suffolk County, Massachusetts",4233,474,"list(list(c(-71.135724, -71.135511, -71.135238, -71.135212, -71.135042, -71.135375, -71.135757, -71.135961, -71.135555, -71.134674, -71.134549, -71.134254, -71.135155, -71.135278, -71.135985, -71.137824, -71.138246, -71.138387, -71.139804, -71.140519, -71.141698, -71.140366, -71.140043, -71.139806, -71.138898, -71.13758, -71.136893, -71.136379, -71.135694, -71.135853, -71.135724, 42.34904, 42.348776, 42.34849, 42.348425, 42.348165, 42.348054, 42.347968, 42.347957, 42.347592, 42.34685, 42.346729, 
42.346577, 42.346023, 42.345941, 42.345366, 42.343876, 42.344126, 42.344218, 42.345093, 42.345523, 42.34602, 42.348686, 42.348866, 42.348958, 42.349034, 42.348649, 42.349704, 42.350393, 42.349992, 42.349449, 42.34904)))",58046.2605,68.6,77.55728797543114,FALSE
000703,19299,8828,0,127,0,127,45,22,145,88,36,56,NA,NA,1971,469,101,94,0,127,788,340,0,127,70.4,7.5,553,210,149,9,"Census Tract 7.03, Suffolk County, Massachusetts",2865,425,"list(list(c(-71.130167, -71.129509, -71.128344, -71.125024, -71.124236, -71.12126, -71.121311, -71.122423, -71.123522, -71.124216, -71.124755, -71.126215, -71.129746, -71.129897, -71.130033, -71.13067, -71.130868, -71.130937, -71.130984, -71.131021, -71.13104, -71.131071, -71.131447, -71.131601, -71.132106, -71.131278, -71.130167, 42.352828, 42.352747, 42.352604, 42.352236, 42.352242, 42.351872, 42.351675, 42.351811, 42.351461, 42.351525, 42.35123, 42.350412, 42.34885, 42.349058, 42.349218, 42.34986, 
42.350136, 42.350266, 42.350336, 42.350406, 42.350433, 42.350499, 42.351154, 42.351443, 42.353061, 42.352949, 42.352828)))",21103.456499999997,70.4,68.79581151832461,FALSE
000704,41606,4051,209,113,155,144,347,155,134,77,36,50,NA,NA,3133,584,319,244,0,127,883,232,0,127,59.3,8.1,990,339,475,179,"Census Tract 7.04, Suffolk County, Massachusetts",4679,547,"list(list(c(-71.136379, -71.136148, -71.13456, -71.134002, -71.132106, -71.131601, -71.131447, -71.131071, -71.13104, -71.131021, -71.130984, -71.130937, -71.130868, -71.13067, -71.130033, -71.129897, -71.129746, -71.132007, -71.133381, -71.134254, -71.134549, -71.134674, -71.135555, -71.135961, -71.135757, -71.135375, -71.135042, -71.135212, -71.135238, -71.135511, -71.135724, -71.135853, -71.135694, -71.136379, 42.350393, 42.350794, 42.353352, 42.353283, 42.353061, 42.351443, 42.351154, 42.350499, 
42.350433, 42.350406, 42.350336, 42.350266, 42.350136, 42.34986, 42.349218, 42.349058, 42.34885, 42.347773, 42.347122, 42.346577, 42.346729, 42.34685, 42.347592, 42.347957, 42.347968, 42.348054, 42.348165, 42.348425, 42.34849, 42.348776, 42.34904, 42.349449, 42.349992, 42.350393)))",45496.161,59.3,66.95875187005771,FALSE
