"","Data.Measurement.Year","Census.Tract.Code","Persons..Total","Persons..Male","Persons..Female","Persons..Under.5.years","Persons..5.to.9.years","Persons..10.to.14.years","Persons..15.to.17.years","Persons..18.and.19.years","Persons..20.years","Persons..21.years","Persons..22.to.24.years","Persons..25.to.29.years","Persons..30.to.34.years","Persons..35.to.39.years","Persons..40.to.44.years","Persons..45.to.49.years","Persons..50.to.54.years","Persons..55.to.59.years","Persons..60.and.61.years","Persons..62.to.64.years","Persons..65.to.69.years","Persons..70.to.74.years","Persons..75.to.79.years","Persons..80.to.84.years","Persons..85.years.and.over","Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Hispanic.or.Latino","Persons..In.households","Persons..In.group.quarters","Persons..In.family.households","Persons..In.nonfamily.households","Persons..In.households...Under.18.years","Persons..In.households...65.years.and.over","Households..Total","Households..Family","Households..Family..Husband.wife.family","Households..Family..Other.family","Households..Family..Other.family..Male.householder..no.wife.present","Households..Family..Other.family..Female.householder..no.husband.present","Households..Nonfamily","Housing.units..Owner.occupied","Housing.units..Renter.occupied","Persons..In.owner.occupied.housing.units","Persons..In.renter.occupied.housing.units","Housing.units..Occupied...Householder.is.White..single.race.","Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Owner.occupied...Householder.is.White..single.race.","Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Renter.occupied...Householder.is.White..single.race.","Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Occupied...1.person.household","Housing.units..Occupied...2.person.household","Housing.units..Occupied...3.person.household","Housing.units..Occupied...4.person.household","Housing.units..Occupied...5.person.household","Housing.units..Occupied...6.person.household","Housing.units..Occupied...7.or.more.person.household","Housing.units..Owner.occupied...1.person.household","Housing.units..Owner.occupied...2.person.household","Housing.units..Owner.occupied...3.person.household","Housing.units..Owner.occupied...4.person.household","Housing.units..Owner.occupied...5.person.household","Housing.units..Owner.occupied...6.person.household","Housing.units..Owner.occupied...7.or.more.person.household","Housing.units..Renter.occupied...1.person.household","Housing.units..Renter.occupied...2.person.household","Housing.units..Renter.occupied...3.person.household","Housing.units..Renter.occupied...4.person.household","Housing.units..Renter.occupied...5.person.household","Housing.units..Renter.occupied...6.person.household","Housing.units..Renter.occupied...7.or.more.person.household"
"1",1990,107,2787.99,1401,1386.99,101,167,199,147,89,41,37,97,139,124,188,282,317,260,248,65,80,94,54,38,15,6,2443.99,17,22,48,0,257,2787.99,0,2490.99,297,614,207,1079,839,751,88,23,65,240,836,243,2331.99,456,1022,9,7,12,29,801,3,4,9,19,221,6,3,3,10,190,442,190,173,65,12,7,82,354,167,155,60,11,7,108,88,23,18,5,1,0
"2",1990,108,2825,1380,1445,166,192,216,154,87,47,37,148,225,209,230,259,225,173,123,50,53,90,75,37,22,7,2201,45,52,52,6,469,2825,0,2399,426,728,231,1126,769,633,136,40,96,357,629,497,1855,970,1000,19,20,11,76,577,9,10,9,24,423,10,10,2,52,293,374,189,172,71,18,9,69,217,124,142,57,15,5,224,157,65,30,14,3,4
"3",1990,109,2741,1334,1407,145,193,200,150,77,33,32,76,149,174,179,230,238,200,199,73,84,150,70,38,31,20,2196,52,35,44,0,414,2741,0,2537,204,688,309,990,824,688,136,35,101,166,787,203,2189,552,913,14,13,12,38,749,5,9,6,18,164,9,4,6,20,136,379,201,172,72,19,11,82,334,153,141,58,11,8,54,45,48,31,14,8,3
"4",1990,110,3580,1738,1842,177,175,207,116,95,44,60,151,357,326,298,270,244,178,198,92,136,169,124,83,55,25,2856,55,43,38,2,586,3580,0,2764,816,675,456,1658,977,759,218,64,154,681,825,833,2056,1524,1514,29,19,14,82,776,8,6,4,31,738,21,13,10,51,563,600,250,182,43,17,3,168,327,149,135,33,10,3,395,273,101,47,10,7,0
"5",1990,111,2396,1147,1249,121,178,186,130,68,26,24,51,118,160,170,196,184,172,208,60,86,105,67,43,26,17,1949,52,25,27,5,338,2396,0,2262,134,615,258,845,734,628,106,21,85,111,753,92,2095,301,788,16,9,4,28,706,12,9,4,22,82,4,0,0,6,94,330,175,153,68,17,8,79,311,154,137,55,13,4,15,19,21,16,13,4,4
"6",1990,112,2196,1088,1108,131,161,151,129,63,22,20,68,147,139,202,269,232,153,91,35,43,70,31,22,6,11,1806,41,23,64,5,257,2196,0,1966,230,572,140,816,630,559,71,23,48,186,605,211,1700,496,749,16,8,13,30,570,9,3,8,15,179,7,5,5,15,148,267,189,139,54,14,5,84,201,150,108,47,10,5,64,66,39,31,7,4,0
"7",1990,113,3375,1632,1743,293,250,240,141,94,50,42,149,333,345,294,302,220,164,134,28,53,111,54,49,18,11,2438,81,69,61,5,721,3375,0,2937,438,924,243,1292,953,722,231,51,180,339,762,530,2084,1291,1117,32,25,18,100,680,16,9,10,47,437,16,16,8,53,254,453,276,209,66,24,10,120,258,180,139,48,12,5,134,195,96,70,18,12,5
"8",1990,114,3555,1702,1853,295,281,296,141,78,49,35,136,331,401,338,251,156,134,159,69,80,145,87,56,23,14,2456,62,61,57,3,916,3555,0,3080,475,1013,325,1302,951,705,246,55,191,351,918,384,2520,1035,1130,24,22,17,109,808,12,11,13,74,322,12,11,4,35,255,431,267,189,100,44,16,155,334,187,134,65,30,13,100,97,80,55,35,14,3
"9",1990,115,3414,1643,1771,219,224,190,104,82,45,39,155,346,362,308,229,177,134,210,68,107,184,98,75,36,22,2451,78,73,37,0,775,3414,0,2704,710,737,415,1503,914,717,197,47,150,589,736,767,1929,1485,1314,28,23,12,126,665,12,5,4,50,649,16,18,8,76,497,535,201,164,69,26,11,125,303,128,116,44,16,4,372,232,73,48,25,10,7
"10",1990,116,3380,1641,1739,220,243,244,147,86,55,37,118,259,292,256,291,269,223,194,68,87,128,76,50,23,14,2542,104,59,33,0,642,3380,0,3013,367,854,291,1269,973,813,160,37,123,296,974,295,2641,739,1141,32,20,13,63,870,27,13,12,52,271,5,7,1,11,245,450,225,233,83,22,11,158,362,174,191,68,15,6,87,88,51,42,15,7,5
