"","Data.Measurement.Year","Census.Tract.Code","Persons..Total","Persons..Male","Persons..Female","Persons..Under.5.years","Persons..5.to.9.years","Persons..10.to.14.years","Persons..15.to.17.years","Persons..18.and.19.years","Persons..20.years","Persons..21.years","Persons..22.to.24.years","Persons..25.to.29.years","Persons..30.to.34.years","Persons..35.to.39.years","Persons..40.to.44.years","Persons..45.to.49.years","Persons..50.to.54.years","Persons..55.to.59.years","Persons..60.and.61.years","Persons..62.to.64.years","Persons..65.to.69.years","Persons..70.to.74.years","Persons..75.to.79.years","Persons..80.to.84.years","Persons..85.years.and.over","Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Hispanic.or.Latino","Persons..In.households","Persons..In.group.quarters","Persons..In.family.households","Persons..In.nonfamily.households","Persons..In.households...Under.18.years","Persons..In.households...65.years.and.over","Households..Total","Households..Family","Households..Family..Husband.wife.family","Households..Family..Other.family","Households..Family..Other.family..Male.householder..no.wife.present","Households..Family..Other.family..Female.householder..no.husband.present","Households..Nonfamily","Housing.units..Owner.occupied","Housing.units..Renter.occupied","Persons..In.owner.occupied.housing.units","Persons..In.renter.occupied.housing.units","Housing.units..Occupied...Householder.is.White..single.race.","Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Owner.occupied...Householder.is.White..single.race.","Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Renter.occupied...Householder.is.White..single.race.","Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Occupied...1.person.household","Housing.units..Occupied...2.person.household","Housing.units..Occupied...3.person.household","Housing.units..Occupied...4.person.household","Housing.units..Occupied...5.person.household","Housing.units..Occupied...6.person.household","Housing.units..Occupied...7.or.more.person.household","Housing.units..Owner.occupied...1.person.household","Housing.units..Owner.occupied...2.person.household","Housing.units..Owner.occupied...3.person.household","Housing.units..Owner.occupied...4.person.household","Housing.units..Owner.occupied...5.person.household","Housing.units..Owner.occupied...6.person.household","Housing.units..Owner.occupied...7.or.more.person.household","Housing.units..Renter.occupied...1.person.household","Housing.units..Renter.occupied...2.person.household","Housing.units..Renter.occupied...3.person.household","Housing.units..Renter.occupied...4.person.household","Housing.units..Renter.occupied...5.person.household","Housing.units..Renter.occupied...6.person.household","Housing.units..Renter.occupied...7.or.more.person.household"
"1",1990,200,4161,1928,2233,349,371,318,167,100,41,44,136,318,378,314,239,148,144,164,46,93,177,158,145,119,192,3675,371,13,11,7,84,3966,195,3515,451,1205,603,1424,1052,765,287,49,238,372,1173,251,3266,700,1296,117,5,2,4,1083,83,3,2,2,213,34,2,0,2,317,421,239,246,138,39,24,241,377,194,196,115,31,19,76,44,45,50,23,8,5
"2",1990,300,2625.09,1253.51,1371.58,300.21,303.2,260.2,147,71,25.8,32,109.8,219,227.01,171.01,123.81,124.8,103.02,91.02,35.01,51.03,77.04,59.05,48.04,30.02,16.03,1064.11,1478.98,15,0,8,59,2625.09,0,2392.85,232.24,1010.6,230.18,855.26,662.02,294.01,368,56,312,193.24,534.8,320.46,1604.99,1020.09,408.1,434.15,4,0,9,295,234.8,3,0,2,113.1,199.35,1,0,7,166.24,222.02,174,135.2,71.8,47,39,112,149,109,70,37.8,29,28,54.24,73.02,65,65.2,34,18,11
"3",1990,400,2277,1103,1174,190,188,146,81,44,25,35,106,197,186,158,111,102,92,130,53,80,136,88,72,39,18,2114,69,31,4,0,59,2277,0,1827,450,605,353,959,584,409,175,41,134,375,733,226,1688,589,920,20,11,0,8,710,13,4,0,6,210,7,7,0,2,319,300,141,114,47,24,14,248,243,105,80,34,13,10,71,57,36,34,13,11,4
"4",1990,500,1605,1109,496,78,70,85,48,56,35,41,95,195,219,158,117,88,67,73,20,29,38,41,31,12,9,1072,436,56,5,0,36,920,685,757,163,271,124,351,224,132,92,14,78,127,225,126,599,321,263,78,10,0,0,193,30,2,0,0,70,48,8,0,0,102,107,45,48,25,17,7,52,84,31,24,19,10,5,50,23,14,24,6,7,2
"5",1990,600,1730.91,779.49,951.42,177.79,185.8,150.8,85,37,18.2,25,57.2,122,116.99,99.99,89.19,78.2,65.98,76.98,29.99,46.97,69.96,54.95,62.96,37.98,41.97,578.89,1067.02,49,0,3,33,1655.91,75,1430.15,225.76,599.4,206.82,596.74,392.98,176.99,216,32,184,203.76,286.2,310.54,818.01,837.91,229.9,354.85,8,0,4,129,152.2,5,0,0,100.9,202.65,3,0,4,187.76,139.98,86,83.8,49.2,27,23,63,89,43,41,31.2,12,7,124.76,50.98,43,42.8,18,15,16
"6",1990,700,1396,636,760,101,111,117,59,38,17,15,52,93,107,71,64,40,86,64,41,60,83,78,48,32,19,110,1266,10,4,0,6,1396,0,1102,294,388,260,600,329,128,201,25,176,271,277,323,661,735,45,549,4,1,1,26,250,0,1,0,19,299,4,0,1,251,150,69,60,39,21,10,92,91,38,27,16,9,4,159,59,31,33,23,12,6
"7",1990,800,2133,969,1164,168,177,198,115,72,25,31,83,122,148,124,101,94,103,108,46,76,131,89,64,33,25,210,1836,48,1,1,37,2133,0,1868,265,658,342,745,531,250,281,40,241,214,505,240,1356,777,90,643,9,0,3,57,442,3,0,3,33,201,6,0,0,176,221,136,76,69,33,34,122,170,94,45,39,19,16,54,51,42,31,30,14,18
"8",1990,1100,2636,1180,1456,286,252,224,112,59,65,70,181,199,192,144,103,89,86,95,38,49,123,95,80,62,32,292,2254,24,25,4,37,2636,0,2061,575,874,392,1079,622,185,437,51,386,457,420,659,936,1700,136,911,10,18,4,25,392,2,0,1,111,519,8,18,3,360,315,186,100,65,26,27,164,129,60,33,19,5,10,196,186,126,67,46,21,17
"9",1990,1200,3025,1395,1630,365,352,283,157,70,54,34,127,236,226,204,141,105,105,117,44,70,99,83,75,44,34,340,2571,61,1,9,43,2925,100,2450,475,1157,325,1101,700,178,522,58,464,401,363,738,891,2034,134,949,15,0,3,40,321,2,0,0,94,628,13,0,3,346,279,182,142,73,35,44,120,113,45,45,23,8,9,226,166,137,97,50,27,35
"10",1990,1600,2412,1082,1330,17,9,6,6,1000,402,203,175,98,42,28,30,22,38,39,17,26,63,38,52,33,68,1991,192,11,115,0,103,795,1617,120,675,22,222,596,49,35,14,5,9,547,11,585,15,780,461,112,0,18,5,10,1,0,0,0,451,111,0,18,5,424,155,11,3,2,1,0,7,4,0,0,0,0,0,417,151,11,3,2,1,0
