"","Data.Measurement.Year","Census.Tract.Code","Persons..Total","Persons..Male","Persons..Female","Persons..Under.5.years","Persons..5.to.9.years","Persons..10.to.14.years","Persons..15.to.17.years","Persons..18.and.19.years","Persons..20.years","Persons..21.years","Persons..22.to.24.years","Persons..25.to.29.years","Persons..30.to.34.years","Persons..35.to.39.years","Persons..40.to.44.years","Persons..45.to.49.years","Persons..50.to.54.years","Persons..55.to.59.years","Persons..60.and.61.years","Persons..62.to.64.years","Persons..65.to.69.years","Persons..70.to.74.years","Persons..75.to.79.years","Persons..80.to.84.years","Persons..85.years.and.over","Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Hispanic.or.Latino","Persons..In.households","Persons..In.group.quarters","Persons..In.family.households","Persons..In.nonfamily.households","Persons..In.households...Under.18.years","Persons..In.households...65.years.and.over","Households..Total","Households..Family","Households..Family..Husband.wife.family","Households..Family..Other.family","Households..Family..Other.family..Male.householder..no.wife.present","Households..Family..Other.family..Female.householder..no.husband.present","Households..Nonfamily","Housing.units..Owner.occupied","Housing.units..Renter.occupied","Persons..In.owner.occupied.housing.units","Persons..In.renter.occupied.housing.units","Housing.units..Occupied...Householder.is.White..single.race.","Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Owner.occupied...Householder.is.White..single.race.","Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Renter.occupied...Householder.is.White..single.race.","Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Occupied...1.person.household","Housing.units..Occupied...2.person.household","Housing.units..Occupied...3.person.household","Housing.units..Occupied...4.person.household","Housing.units..Occupied...5.person.household","Housing.units..Occupied...6.person.household","Housing.units..Occupied...7.or.more.person.household","Housing.units..Owner.occupied...1.person.household","Housing.units..Owner.occupied...2.person.household","Housing.units..Owner.occupied...3.person.household","Housing.units..Owner.occupied...4.person.household","Housing.units..Owner.occupied...5.person.household","Housing.units..Owner.occupied...6.person.household","Housing.units..Owner.occupied...7.or.more.person.household","Housing.units..Renter.occupied...1.person.household","Housing.units..Renter.occupied...2.person.household","Housing.units..Renter.occupied...3.person.household","Housing.units..Renter.occupied...4.person.household","Housing.units..Renter.occupied...5.person.household","Housing.units..Renter.occupied...6.person.household","Housing.units..Renter.occupied...7.or.more.person.household"
"1",1990,101,6675.99,3237,3438.99,469,550,555,336,206,92,74,180,425,523,555,562,401,336,329,146,200,300,214,115,64,44,3674,580,22,300,2,2098,6675.99,0,6161.99,514,1910,737,2287,1838,1573,265,60,205,449,1768,519,5210.99,1465,1806,215,14,56,196,1430,159,10,41,128,376,56,4,15,68,396,656,462,453,210,72,38,237,565,381,353,147,56,29,159,91,81,100,63,16,9
"2",1990,106,5239.31,2554.73,2684.58,312.75,424.39,529.6,343.51,223.21,79.95,51.25,117.05,265.59,394.28,493.64,568.13,440.92,359.76,259.99,75.54,90.47,91.59,61.77,33.99,14,7.94,2887.3,706.14,9.18,285.75,18.73,1332.21,5239.31,0,5045.87,193.43,1610.25,209.28,1627.64,1470.62,1254.94,215.67,47.48,168.19,157.02,1357.2,270.44,4290.84,948.47,1205.24,250.49,3.08,57.42,111.41,1007.92,207.38,3.08,53.42,85.4,197.32,43.11,0,4,26.01,129.87,444.01,401.22,385.47,175.49,61.43,30.16,110.43,391.12,337.22,312.16,141.69,41.43,23.16,19.44,52.89,64,73.32,33.8,20,7
"3",1990,107,6585.1,3186.54,3398.56,567.76,669.62,697.26,443.62,306.79,105.93,88.96,245.82,459.72,539.59,540.41,519.49,389.64,341.79,262.82,99.92,95,109,48.96,22.98,20,10,2640.65,688.58,21,228.6,13,2993.27,6585.1,0,6350.27,234.83,2378.26,210.95,1824.64,1661.76,1282,379.76,74.96,304.8,162.87,1364.9,459.74,4798.04,1787.06,1289.9,233.85,6,42.92,251.97,982.12,158.89,6,35.92,181.97,307.78,74.96,0,7,70,123.91,391.83,431.54,405.66,226.85,151.89,92.96,96.91,316.85,330.65,298.75,155.89,101.89,63.96,27,74.98,100.89,106.91,70.96,50,29
"4",1990,108,2573,1220,1353,255,271,230,132,74,28,34,116,215,260,180,174,118,97,87,47,53,86,50,32,20,14,1287,155,29,101,4,997,2573,0,2363,210,888,202,859,682,509,173,36,137,177,631,228,1853,720,707,55,6,21,70,538,27,5,9,52,169,28,1,12,18,152,233,174,150,89,43,18,112,184,125,107,61,31,11,40,49,49,43,28,12,7
"5",1990,109,4350.8,2069.59,2281.21,362.22,412.45,403.67,294.31,184.36,78.09,62,160.18,306.22,356.27,260.67,294.58,219.62,215.67,201.31,96.04,117,152.09,95.04,41,23,15,1385.92,201.29,16,50.22,1,2696.36,4350.8,0,4137.49,213.31,1472.65,326.13,1244.96,1065.74,801.25,264.49,47.09,217.4,179.22,940.56,304.4,3155.5,1195.29,945.12,61.49,6,21.13,211.22,731.89,33.4,5,17.13,153.13,213.22,28.09,1,4,58.09,153.13,301.62,223.62,218.36,175.22,92,81,134.13,256.49,160.49,147.31,117.13,62,63,19,45.13,63.13,71.04,58.09,30,18
"6",1990,110,3662,1661,2001,307,299,268,177,129,59,66,183,300,281,251,204,167,167,184,61,119,165,102,92,55,26,1821,360,14,94,3,1370,3662,0,3189,473,1051,440,1384,963,698,265,49,216,421,589,795,1821,1841,1120,130,4,26,104,504,34,1,11,39,616,96,3,15,65,388,377,252,186,106,47,28,71,197,113,99,60,31,18,317,180,139,87,46,16,10
"7",1990,111,2512.2,1220.4,1291.8,138.68,157.92,189.76,123.76,83.98,39,38,109.39,187.3,173.84,151.9,198.9,169.31,195.92,194.76,65.98,82.98,108.9,49.95,26,13,13,1546.14,261.93,5.98,97,2,599.16,2503.2,9,2339.95,163.25,610.11,202.85,890.23,748.44,621.68,126.76,18.84,107.92,141.79,637.33,252.9,1851.85,651.36,704.38,98.95,4,28.92,53.98,521.48,54.95,2,25.92,32.98,182.9,44,2,3,21,128.33,317.29,199.95,144.84,71.82,14,14,66.9,247.83,131.95,109.84,57.82,13,10,61.44,69.46,68,35,14,1,4
"8",1990,112,4865.7,2320.81,2544.89,405.32,440.08,449.24,285.24,183,63,73,199,405.16,392.16,302.08,326.08,266.08,269.08,280.08,114,126,142.08,68,45,21,11,2058.97,479,11,86,16,2214.73,4865.7,0,4570.62,295.08,1579.89,287.08,1489.49,1252.4,954.16,298.24,51.16,247.08,237.08,1064.49,425,3395.7,1470,1068.4,159,6,27.08,229,810.4,77,4,18.08,155,258,82,2,9,74,191.08,386.08,306,300.16,159.16,90,57,136.08,307.08,215,205.16,101.16,63,37,55,79,91,95,58,27,20
"9",1990,204,5635,2728,2907,500,518,504,351,188,90,91,211,446,441,409,362,303,304,324,112,152,158,88,47,21,15,2512,507,35,148,9,2424,5635,0,5348,287,1873,329,1742,1496,1156,340,46,294,246,1204,538,3877,1758,1371,165,10,42,154,990,92,8,32,82,381,73,2,10,72,215,463,380,320,218,84,62,127,362,254,211,153,55,42,88,101,126,109,65,29,20
"10",1990,205,4154,1987,2167,378,340,357,224,184,88,81,271,370,285,229,218,154,165,152,75,109,176,124,99,45,30,1554,308,9,84,2,2197,4154,0,3556,598,1299,474,1554,1037,721,316,42,274,517,648,906,1579,2575,1226,144,10,29,145,581,16,5,10,36,645,128,5,19,109,451,451,244,160,142,62,44,191,239,81,63,51,14,9,260,212,163,97,91,48,35
