"","Data.Measurement.Year","Census.Tract.Code","Persons..Total","Persons..Male","Persons..Female","Persons..Under.5.years","Persons..5.to.9.years","Persons..10.to.14.years","Persons..15.to.17.years","Persons..18.and.19.years","Persons..20.years","Persons..21.years","Persons..22.to.24.years","Persons..25.to.29.years","Persons..30.to.34.years","Persons..35.to.39.years","Persons..40.to.44.years","Persons..45.to.49.years","Persons..50.to.54.years","Persons..55.to.59.years","Persons..60.and.61.years","Persons..62.to.64.years","Persons..65.to.69.years","Persons..70.to.74.years","Persons..75.to.79.years","Persons..80.to.84.years","Persons..85.years.and.over","Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","Persons..Hispanic.or.Latino","Persons..In.households","Persons..In.group.quarters","Persons..In.family.households","Persons..In.nonfamily.households","Persons..In.households...Under.18.years","Persons..In.households...65.years.and.over","Households..Total","Households..Family","Households..Family..Husband.wife.family","Households..Family..Other.family","Households..Family..Other.family..Male.householder..no.wife.present","Households..Family..Other.family..Female.householder..no.husband.present","Households..Nonfamily","Housing.units..Owner.occupied","Housing.units..Renter.occupied","Persons..In.owner.occupied.housing.units","Persons..In.renter.occupied.housing.units","Housing.units..Occupied...Householder.is.White..single.race.","Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Owner.occupied...Householder.is.White..single.race.","Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Renter.occupied...Householder.is.White..single.race.","Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","Housing.units..Occupied...1.person.household","Housing.units..Occupied...2.person.household","Housing.units..Occupied...3.person.household","Housing.units..Occupied...4.person.household","Housing.units..Occupied...5.person.household","Housing.units..Occupied...6.person.household","Housing.units..Occupied...7.or.more.person.household","Housing.units..Owner.occupied...1.person.household","Housing.units..Owner.occupied...2.person.household","Housing.units..Owner.occupied...3.person.household","Housing.units..Owner.occupied...4.person.household","Housing.units..Owner.occupied...5.person.household","Housing.units..Owner.occupied...6.person.household","Housing.units..Owner.occupied...7.or.more.person.household","Housing.units..Renter.occupied...1.person.household","Housing.units..Renter.occupied...2.person.household","Housing.units..Renter.occupied...3.person.household","Housing.units..Renter.occupied...4.person.household","Housing.units..Renter.occupied...5.person.household","Housing.units..Renter.occupied...6.person.household","Housing.units..Renter.occupied...7.or.more.person.household"
"1",1990,101,3000.24,1471.09,1529.15,227,189.01,167,83.01,65.01,38,48,136.01,336.02,264.03,234.01,166.02,117.01,103,123.01,77.01,140.01,203.02,147.02,79.03,40.01,18,2546.23,258,44.01,94,1,57,3000.24,0,2557.17,443.07,666.02,487.09,1153.14,828.07,634.06,194.01,52.01,142.01,325.07,1006.04,147.1,2601.1,399.14,1034.13,86,12,16,5,917.04,66,9,10,4,117.09,20,3,6,1,239.06,440.06,210.01,149,72,24,19,199.01,394.02,185,134,66,16,12,40.05,46.04,25,15,6,8,7
"2",1990,102,4449,2128,2321,395,334,214,115,87,46,44,177,515,505,405,228,162,145,151,60,114,225,201,155,99,72,3886,235,100,117,2,109,4356,93,3518,838,1058,677,1795,1137,842,295,56,239,658,1503,292,3568,788,1661,67,31,22,14,1414,40,18,20,11,247,27,13,2,3,515,607,311,211,95,37,19,434,534,252,172,68,31,12,81,73,59,39,27,6,7
"3",1990,300,3433,1624,1809,336,252,184,110,59,33,31,107,317,442,338,220,142,130,89,39,79,113,117,118,104,73,3179,142,27,27,5,53,3433,0,2846,587,882,525,1375,894,732,162,39,123,481,1206,169,3113,320,1315,42,10,5,3,1162,28,9,5,2,153,14,1,0,1,394,429,238,175,95,26,18,308,387,218,159,91,25,18,86,42,20,16,4,1,0
"4",1990,601,5029,2448,2581,375,289,246,109,100,46,55,224,517,552,443,321,206,197,184,98,147,295,267,194,106,58,4761,44,91,65,3,65,4924,105,3992,932,1019,840,2065,1342,1056,286,62,224,723,1677,388,4047,877,2016,10,20,17,2,1647,6,11,12,1,369,4,9,5,1,554,785,315,261,106,31,13,425,648,263,216,90,26,9,129,137,52,45,16,5,4
"5",1990,603,3026.85,1438.22,1588.63,221.93,162.93,107,66.93,53.93,16.93,22.93,94.93,259.41,319.78,241.85,187,145.78,125.48,138.78,60.93,108.85,231.85,177.7,172.41,72.7,36.85,2950.85,13,10,20,0,33,3026.85,0,2595.44,431.41,558.78,691.52,1290.85,915.44,767.81,147.63,36.93,110.7,375.41,1224.93,65.93,2877.93,148.93,1273.85,3,3,8,3,1210.93,3,3,6,2,62.93,0,0,2,1,324.41,525.81,206.7,164.93,49,15,5,301.48,502.81,196.7,160.93,45,14,4,22.93,23,10,4,4,1,1
"6",1990,1100,2342,1176,1166,201,134,92,57,46,36,35,156,316,290,211,130,95,83,90,37,52,79,95,54,27,26,2184,28,67,26,2,35,2293,49,1635,658,484,242,993,534,359,175,45,130,459,510,483,1265,1028,957,7,15,9,5,504,1,1,4,0,453,6,14,5,5,312,342,170,105,32,21,11,120,198,82,72,17,18,3,192,144,88,33,15,3,8
"7",1990,1700,1853,870,983,166,89,102,44,50,26,33,104,243,197,124,105,75,73,64,27,48,78,90,47,32,36,1675,29,64,26,8,51,1853,0,1361,492,401,283,845,450,252,198,45,153,395,401,444,898,955,799,11,23,8,4,394,2,2,3,0,405,9,21,5,4,324,254,140,68,35,17,7,140,135,66,32,11,12,5,184,119,74,36,24,5,2
"8",1990,2200,1893,913,980,230,212,189,87,48,28,34,97,173,185,155,100,61,46,47,16,22,35,40,43,31,14,927,620,171,96,15,64,1819,74,1541,278,718,128,601,402,179,223,24,199,199,232,369,651,1168,368,164,42,21,6,190,29,7,5,1,178,135,35,16,5,143,148,98,92,59,32,29,57,75,29,32,22,8,9,86,73,69,60,37,24,20
"9",1990,2400,2106,1019,1087,169,133,83,41,42,39,25,165,298,240,168,109,68,70,68,30,34,93,80,69,46,36,1878,41,99,45,7,36,2106,0,1400,706,426,324,1034,486,242,244,60,184,548,370,664,793,1313,965,14,32,14,9,361,0,4,4,1,604,14,28,10,8,425,340,141,82,32,12,2,122,145,55,31,10,7,0,303,195,86,51,22,5,2
"10",1990,2700,2498,1182,1316,273,280,239,109,89,33,34,96,196,210,197,162,128,106,101,41,38,73,48,24,10,11,441,1876,44,85,16,36,2498,0,2209,289,901,166,801,594,274,320,43,277,207,543,258,1657,841,177,592,12,15,5,145,383,7,4,4,32,209,5,11,1,155,195,136,155,87,44,29,98,147,94,104,58,27,15,57,48,42,51,29,17,14
