GIS.Join.Match.Code..2012,X1990..Persons..25.years.and.over...Less.than.9th.grade,X1990..Persons..25.years.and.over...9th.to.12th.grade..no.diploma,X1990..Persons..25.years.and.over...High.school.graduate..GED..or.alternative,X1990..Persons..25.years.and.over...Some.college..no.degree,X1990..Persons..25.years.and.over...Associate.s.degree,X1990..Persons..25.years.and.over...Bachelor.s.degree,X1990..Persons..25.years.and.over...Graduate.or.professional.degree,X1990..Persons..18.years.and.over...Less.than.9th.grade,X1990..Persons..18.years.and.over...9th.to.12th.grade..no.diploma,X1990..Persons..18.years.and.over...High.school.graduate..GED..or.alternative,X1990..Persons..18.years.and.over...Some.college..no.degree,X1990..Persons..18.years.and.over...Associate.degree,X1990..Persons..18.years.and.over...Bachelor.s.degree,X1990..Persons..18.years.and.over...Graduate.or.professional.degree,X1990..Persons..16.years.and.over...In.labor.force,X1990..Persons..16.years.and.over...In.labor.force..In.Armed.Forces,X1990..Persons..16.years.and.over...In.labor.force..Civilian,X1990..Persons..16.years.and.over...In.labor.force..Civilian..Employed,X1990..Persons..16.years.and.over...In.labor.force..Civilian..Unemployed,X1990..Persons..16.years.and.over...Not.in.labor.force,X1990..Households..Income.less.than..10.000,X1990..Households..Income..10.000.to..14.999,X1990..Households..Income..15.000.to..19.999,X1990..Households..Income..20.000.to..24.999,X1990..Households..Income..25.000.to..29.999,X1990..Households..Income..30.000.to..34.999,X1990..Households..Income..35.000.to..39.999,X1990..Households..Income..40.000.to..44.999,X1990..Households..Income..45.000.to..49.999,X1990..Households..Income..50.000.to..59.999,X1990..Households..Income..60.000.to..74.999,X1990..Households..Income..75.000.to..99.999,X1990..Households..Income..100.000.to..124.999,X1990..Households..Income..125.000.to..149.999,X1990..Households..Income..150.000.or.more,X1990..Median.income.in.previous.year..Households,TRACT12,X2000..Persons..25.years.and.over...Less.than.9th.grade,X2000..Persons..25.years.and.over...9th.to.12th.grade..no.diploma,X2000..Persons..25.years.and.over...High.school.graduate..GED..or.alternative,X2000..Persons..25.years.and.over...Some.college..no.degree,X2000..Persons..25.years.and.over...Associate.s.degree,X2000..Persons..25.years.and.over...Bachelor.s.degree,X2000..Persons..25.years.and.over...Graduate.or.professional.degree,X2000..Persons..18.years.and.over...Less.than.9th.grade,X2000..Persons..18.years.and.over...9th.to.12th.grade..no.diploma,X2000..Persons..18.years.and.over...High.school.graduate..GED..or.alternative,X2000..Persons..18.years.and.over...Some.college..no.degree,X2000..Persons..18.years.and.over...Associate.degree,X2000..Persons..18.years.and.over...Bachelor.s.degree,X2000..Persons..18.years.and.over...Graduate.or.professional.degree,X2000..Persons..16.years.and.over...In.labor.force,X2000..Persons..16.years.and.over...In.labor.force..In.Armed.Forces,X2000..Persons..16.years.and.over...In.labor.force..Civilian,X2000..Persons..16.years.and.over...In.labor.force..Civilian..Employed,X2000..Persons..16.years.and.over...In.labor.force..Civilian..Unemployed,X2000..Persons..16.years.and.over...Not.in.labor.force,X2000..Households..Income.less.than..10.000,X2000..Households..Income..10.000.to..14.999,X2000..Households..Income..15.000.to..19.999,X2000..Households..Income..20.000.to..24.999,X2000..Households..Income..25.000.to..29.999,X2000..Households..Income..30.000.to..34.999,X2000..Households..Income..35.000.to..39.999,X2000..Households..Income..40.000.to..44.999,X2000..Households..Income..45.000.to..49.999,X2000..Households..Income..50.000.to..59.999,X2000..Households..Income..60.000.to..74.999,X2000..Households..Income..75.000.to..99.999,X2000..Households..Income..100.000.to..124.999,X2000..Households..Income..125.000.to..149.999,X2000..Households..Income..150.000.or.more,X2000..Median.income.in.previous.year..Households,Area.Name..2012,X2008.2012..Persons..25.years.and.over...Less.than.9th.grade,Margin.of.error..2008.2012..Persons..25.years.and.over...Less.than.9th.grade,X2008.2012..Persons..25.years.and.over...9th.to.12th.grade..no.diploma,Margin.of.error..2008.2012..Persons..25.years.and.over...9th.to.12th.grade..no.diploma,X2008.2012..Persons..25.years.and.over...High.school.graduate..GED..or.alternative,Margin.of.error..2008.2012..Persons..25.years.and.over...High.school.graduate..GED..or.alternative,X2008.2012..Persons..25.years.and.over...Some.college..no.degree,Margin.of.error..2008.2012..Persons..25.years.and.over...Some.college..no.degree,X2008.2012..Persons..25.years.and.over...Associate.s.degree,Margin.of.error..2008.2012..Persons..25.years.and.over...Associate.s.degree,X2008.2012..Persons..25.years.and.over...Bachelor.s.degree,Margin.of.error..2008.2012..Persons..25.years.and.over...Bachelor.s.degree,X2008.2012..Persons..25.years.and.over...Graduate.or.professional.degree,Margin.of.error..2008.2012..Persons..25.years.and.over...Graduate.or.professional.degree,X2008.2012..Persons..18.years.and.over...Less.than.9th.grade,Margin.of.error..2008.2012..Persons..18.years.and.over...Less.than.9th.grade,X2008.2012..Persons..18.years.and.over...9th.to.12th.grade..no.diploma,Margin.of.error..2008.2012..Persons..18.years.and.over...9th.to.12th.grade..no.diploma,X2008.2012..Persons..18.years.and.over...High.school.graduate..GED..or.alternative,Margin.of.error..2008.2012..Persons..18.years.and.over...High.school.graduate..GED..or.alternative,X2008.2012..Persons..18.years.and.over...Some.college..no.degree,Margin.of.error..2008.2012..Persons..18.years.and.over...Some.college..no.degree,X2008.2012..Persons..18.years.and.over...Associate.degree,Margin.of.error..2008.2012..Persons..18.years.and.over...Associate.degree,X2008.2012..Persons..18.years.and.over...Bachelor.s.degree,Margin.of.error..2008.2012..Persons..18.years.and.over...Bachelor.s.degree,X2008.2012..Persons..18.years.and.over...Graduate.or.professional.degree,Margin.of.error..2008.2012..Persons..18.years.and.over...Graduate.or.professional.degree,X2008.2012..Persons..16.years.and.over...In.labor.force,Margin.of.error..2008.2012..Persons..16.years.and.over...In.labor.force,X2008.2012..Persons..16.years.and.over...In.labor.force..In.Armed.Forces,Margin.of.error..2008.2012..Persons..16.years.and.over...In.labor.force..In.Armed.Forces,X2008.2012..Persons..16.years.and.over...In.labor.force..Civilian,Margin.of.error..2008.2012..Persons..16.years.and.over...In.labor.force..Civilian,X2008.2012..Persons..16.years.and.over...In.labor.force..Civilian..Employed,Margin.of.error..2008.2012..Persons..16.years.and.over...In.labor.force..Civilian..Employed,X2008.2012..Persons..16.years.and.over...In.labor.force..Civilian..Unemployed,Margin.of.error..2008.2012..Persons..16.years.and.over...In.labor.force..Civilian..Unemployed,X2008.2012..Persons..16.years.and.over...Not.in.labor.force,Margin.of.error..2008.2012..Persons..16.years.and.over...Not.in.labor.force,X2008.2012..Households..Income.less.than..10.000,Margin.of.error..2008.2012..Households..Income.less.than..10.000,X2008.2012..Households..Income..10.000.to..14.999,Margin.of.error..2008.2012..Households..Income..10.000.to..14.999,X2008.2012..Households..Income..15.000.to..19.999,Margin.of.error..2008.2012..Households..Income..15.000.to..19.999,X2008.2012..Households..Income..20.000.to..24.999,Margin.of.error..2008.2012..Households..Income..20.000.to..24.999,X2008.2012..Households..Income..25.000.to..29.999,Margin.of.error..2008.2012..Households..Income..25.000.to..29.999,X2008.2012..Households..Income..30.000.to..34.999,Margin.of.error..2008.2012..Households..Income..30.000.to..34.999,X2008.2012..Households..Income..35.000.to..39.999,Margin.of.error..2008.2012..Households..Income..35.000.to..39.999,X2008.2012..Households..Income..40.000.to..44.999,Margin.of.error..2008.2012..Households..Income..40.000.to..44.999,X2008.2012..Households..Income..45.000.to..49.999,Margin.of.error..2008.2012..Households..Income..45.000.to..49.999,X2008.2012..Households..Income..50.000.to..59.999,Margin.of.error..2008.2012..Households..Income..50.000.to..59.999,X2008.2012..Households..Income..60.000.to..74.999,Margin.of.error..2008.2012..Households..Income..60.000.to..74.999,X2008.2012..Households..Income..75.000.to..99.999,Margin.of.error..2008.2012..Households..Income..75.000.to..99.999,X2008.2012..Households..Income..100.000.to..124.999,Margin.of.error..2008.2012..Households..Income..100.000.to..124.999,X2008.2012..Households..Income..125.000.to..149.999,Margin.of.error..2008.2012..Households..Income..125.000.to..149.999,X2008.2012..Households..Income..150.000.or.more,Margin.of.error..2008.2012..Households..Income..150.000.or.more,X2008.2012..Median.income.in.previous.year..Households,Margin.of.error..2008.2012..Median.income.in.previous.year..Households
G2500250000100,21700,38600,79600,35100,16500,54900,24200,22900,42100,89900,49500,23500,74700,26300,251300,0,251300,231900,19400,81600,16700,6700,12600,13400,10100,11400,15300,9600,7600,15700,15500,13300,2200,2000,800,3659500,000100,15500,34800,70300,31700,10100,77000,35800,16200,37300,87500,43200,11700,109100,37100,245300,700,244600,234400,10200,101000,14400,9600,5400,8000,11300,10400,11300,8100,7700,12600,22500,13300,14200,3600,3800,4463000,"Census Tract 1, Suffolk County, Massachusetts",291,121,137,75,980,274,257,107,109,65,564,191,225,95,356,137,139,73,1145,273,507,176,116,67,729,200,225,86,2295,427,25,41,2270,431,2133,434,137,58,941,198,123,66,109,70,63,38,86,71,16,26,96,81,161,102,23,26,26,41,111,80,209,82,173,70,137,75,110,63,67,48,53571,12591
G2500250000201,20600,20200,64500,34000,17900,75900,28000,20600,21600,75700,56700,21700,97500,32100,254800,0,254800,238800,16000,73800,12500,6700,6400,14300,15000,14200,13200,6600,11000,19200,13800,14400,1800,0,0,3691900,000201,14400,12600,53800,50800,14300,87300,43900,15800,15900,65300,63000,14300,127200,44900,281400,900,280500,275100,5400,68900,7500,4100,4500,6200,4600,9200,6700,11300,6600,10900,24500,34200,11800,5600,7300,6230500,"Census Tract 2.01, Suffolk County, Massachusetts",40,57,94,67,600,172,274,108,53,46,752,217,460,158,40,54,133,80,664,156,529,208,53,56,1009,265,512,147,2388,282,0,12,2388,282,2343,276,45,37,583,157,90,61,39,38,22,24,53,48,70,60,18,30,70,40,50,39,103,63,79,57,186,79,173,83,110,56,62,53,233,91,65506,5286
G2500250000202,24541,27266.000000000004,75160,30557.799999999996,15009.800000000001,58324.8,28341.8,28641.000000000004,32985.2,89414,46643.6,17517.6,78112,29568.8,233677.19999999998,1100,232577.19999999998,225414.80000000002,7162.4,96129.6,18478,9917.400000000001,6167.2,9460.599999999999,8560.599999999999,11160,11361.8,15346.8,9043.800000000001,12786.4,14058.8,10115.8,7529.4,1100,719.8000000000001,3834069,000202,23900,27800,65600,35300,13100,67300,37800,24100,30600,70500,49500,14900,91000,37800,228300,0,228300,222100,6200,97500,10100,6100,7500,3400,8000,7200,3600,7400,7200,21600,18300,25800,11600,5600,6000,5680300,"Census Tract 2.02, Suffolk County, Massachusetts",231,114,105,71,499,161,520,156,92,58,703,197,394,120,231,110,151,83,635,158,804,223,111,65,846,194,394,122,2049,293,0,12,2049,293,1854,313,195,97,1207,244,121,71,111,65,31,26,72,55,63,57,91,57,28,32,35,34,63,52,137,57,108,86,136,76,106,62,130,73,123,63,54607,8559
G2500250000301,14790,14001.2,51272,26769.9,8726.1,65618.3,38897.7,15825.3,17008.5,55758.299999999996,37615.9,9367,92930.5,40179.5,198876.19999999998,0,198876.19999999998,189016.2,9860,71780.8,11782.7,4634.2,5718.8,10846,6261.0999999999995,7049.9,8578.199999999999,8824.7,10500.9,13951.900000000001,15430.9,13163.1,1035.3,394.4,1577.6,2065374.1999999997,000301,6000,21700,51400,29900,10900,63200,33400,6600,22700,53300,35100,10900,80700,36400,166900,0,166900,164200,2700,81800,7500,5500,3400,4200,6500,5000,8300,4600,5800,11500,17300,16500,9100,9300,1400,5632100,"Census Tract 3.01, Suffolk County, Massachusetts",33,44,125,83,403,127,170,93,86,61,886,210,412,147,33,40,135,73,403,111,321,128,86,70,1001,233,412,149,1958,221,0,12,1958,221,1874,227,84,73,450,103,26,23,23,23,97,61,30,30,30,29,0,12,30,28,33,31,15,16,11,17,75,53,271,103,183,83,84,56,165,74,89688,12260
G2500250000302,15085.278,14280.729840000002,52295.6304,27304.353180000002,8900.314020000002,66928.35006000001,39674.28114000001,16141.247460000002,17348.0697,56871.498060000005,38366.890380000004,9554.0094,94785.8301,40981.6719,202846.70484000002,0,202846.70484000002,192789.85284,10056.852,73213.88256000001,12017.93814,4726.72044,5832.97416,11062.5372,6386.10102,7190.649180000001,8749.46124,9000.88254,10710.54738,14230.44558,15738.973380000001,13425.897420000001,1055.96946,402.27408,1609.09632,2106608.7884400003,000302,9918,12992.580000000002,35704.8,22910.58,14877.000000000002,77261.22,52763.76,9918,15571.26,37886.76,35109.72,14877.000000000002,108403.74,53656.380000000005,209567.34000000003,0,209567.34000000003,202228.02000000002,7339.320000000001,67442.40000000001,4959,892.6200000000001,5355.72,3768.84,5454.9000000000005,11405.7,3570.4800000000005,4463.1,3570.4800000000005,15967.980000000001,18546.66,16364.7,18745.02,11604.060000000001,5058.18,6421905,"Census Tract 3.02, Suffolk County, Massachusetts",61,54,110,63,494,247,154,68,95,59,691,261,509,136,61,49,117,67,586,232,265,120,95,62,1021,304,509,137,1962,388,0,12,1962,388,1903,381,59,44,705,200,141,74,21,24,38,44,105,73,17,23,55,40,31,29,72,66,20,19,7,12,186,91,108,60,201,94,81,46,149,78,69438,4688
G2500250000401,44000,28700,70900,44000,15500,100400,62300,44000,30100,85500,104200,21600,164800,65800,325400,0,325400,305400,20000,196000,87500,21400,24900,18300,23100,28000,13100,12400,13600,13700,15200,11400,1700,1500,0,2212600,000401,28900,20100,56700,42100,25300,142600,86400,30500,20100,61100,78600,28500,226400,90600,304900,0,304900,298200,6700,235500,77500,31500,14100,7000,15400,10600,6800,12800,14700,24800,26200,25500,13900,4200,9600,3071400,"Census Tract 4.01, Suffolk County, Massachusetts",288,130,75,54,591,180,388,169,88,59,1151,258,949,205,288,115,111,84,619,214,873,270,150,98,1549,285,1003,210,2748,336,0,17,2748,336,2638,330,110,78,1884,251,503,164,380,127,180,80,110,76,93,74,78,65,124,63,75,59,68,47,211,113,261,116,277,105,78,54,141,70,112,66,35050,10445
G2500250000402,21500,17200,39000,33600,12100,60800,47100,21900,18700,47200,73300,15800,86600,49600,217500,600,216900,201500,15400,98400,10500,8700,13000,5700,9200,11500,10000,9300,3300,15900,14800,9300,2600,700,1200,3674200,000402,13200,11700,29800,27200,9700,79900,59900,13200,11700,39900,66500,12300,121800,63200,229200,0,229200,219800,9400,102500,14600,6200,4700,3700,7000,5800,8200,7700,7300,12700,20000,18800,8700,4700,9900,5483300,"Census Tract 4.02, Suffolk County, Massachusetts",250,184,40,39,221,99,294,100,25,20,706,176,556,157,250,135,40,43,375,131,891,333,36,41,1096,288,564,172,2167,284,0,12,2167,284,2020,277,147,58,1148,274,156,70,50,29,24,19,58,46,88,60,31,37,142,76,49,46,37,35,112,51,148,84,124,63,95,66,137,118,162,86,57064,12289
G2500250000502,4300,13500,38000,45000,12500,96900,92900,4300,15900,70000,176800,26200,130400,95600,313800,0,313800,305400,8400,209900,42500,13200,21600,16100,16200,25100,14800,12400,2500,19500,22900,3400,3600,1900,7100,3026200,000502,5000,0,23900,16400,6000,94300,60500,5000,0,36000,55500,6800,134300,64600,227900,0,227900,212100,15800,74800,40200,12400,9300,3000,7600,11200,17100,11700,10000,20300,13400,22400,8300,2400,6800,3895800,"Census Tract 5.02, Suffolk County, Massachusetts",76,82,48,54,206,114,133,75,43,36,545,173,749,167,76,79,61,74,707,230,2416,524,43,58,935,237,757,156,2613,500,0,17,2613,500,2444,475,169,143,2382,394,388,136,116,78,141,79,73,56,38,33,64,57,0,17,75,60,81,52,99,50,124,75,213,98,149,73,51,35,99,52,43064,17092
G2500250000503,3626.14,6330.38,20957.86,16471.28,5193.37,51657.13,37398.41,3871.98,7682.5,27103.86,36998.92,7959.07,85552.32,38934.91,160902.28,0,160902.28,153004.67,7897.61,48522.67,18222.89,9311.19,10048.710000000001,11831.05,8635.130000000001,9895.06,8758.05,4670.96,7651.77,9249.73,9587.76,3841.25,2704.2400000000002,245.84,522.41,913172.68,000503,4670.96,2274.02,12937.33,12599.3,4793.88,54545.75,50366.47,5131.91,2673.51,19267.71,32911.83,6115.27,99933.96,53132.17,155954.75,0,155954.75,153189.05,2765.7,63703.29,19298.44,9126.81,7344.47,5500.67,7682.5,5316.29,7651.77,7989.8,6822.06,9987.25,12046.16,12691.49,4947.53,3503.2200000000003,2212.56,1214756.9,"Census Tract 5.03, Suffolk County, Massachusetts",0,40,0,24,77,62,45,49,48,49,585,138,473,173,0,38,0,38,91,68,210,149,79,77,969,242,495,145,1537,236,0,12,1537,236,1448,239,89,58,307,127,187,88,32,51,13,23,43,41,27,30,83,57,11,19,32,27,135,95,55,46,171,101,226,87,95,51,46,43,27,33,56349,14796
G2500250000504,8173.86,14269.619999999999,47242.14,37128.72,11706.63,116442.87,84301.59,8728.019999999999,17317.5,61096.14,83401.08,17940.93,192847.68,87765.09,362697.72,0,362697.72,344895.32999999996,17802.39,109377.32999999999,41077.11,20988.809999999998,22651.289999999997,26668.949999999997,19464.87,22304.94,19741.949999999997,10529.039999999999,17248.23,20850.27,21612.239999999998,8658.75,6095.759999999999,554.16,1177.59,2058427.3199999998,000504,10529.039999999999,5125.98,29162.67,28400.699999999997,10806.119999999999,122954.25,113533.53,11568.09,6026.49,43432.29,74188.17,13784.73,225266.03999999998,119767.82999999999,351545.25,0,351545.25,345310.94999999995,6234.299999999999,143596.71,43501.56,20573.19,16555.53,12399.33,17317.5,11983.71,17248.23,18010.2,15377.939999999999,22512.75,27153.84,28608.51,11152.47,7896.78,4987.44,2738243.0999999996,"Census Tract 5.04, Suffolk County, Massachusetts",199,134,77,65,292,127,320,183,103,72,1075,237,1031,221,199,127,77,71,384,152,832,281,117,85,1930,347,1061,225,2961,492,0,12,2961,492,2836,475,125,85,1639,258,375,146,315,127,275,144,137,72,113,100,111,51,100,49,49,42,115,78,246,142,271,110,323,134,112,75,74,56,96,57,36339,9120
G2500250000601,23359,10934,59640,26142.200000000004,18190.199999999997,70375.2,40058.2,23359,14114.8,68586,40356.4,19482.4,101388,44531.200000000004,244722.80000000002,0,244722.80000000002,234385.19999999998,10337.6,71170.4,12922,2882.6,11132.800000000001,10039.400000000001,10039.400000000001,9940,10238.2,7753.2,7256.2,14313.6,9741.2,19184.2,4870.6,0,3280.2,3937731,000601,18700,12900,55000,31600,8300,79400,34600,18700,14700,72600,47300,10800,108500,35000,205100,0,205100,193600,11500,103900,16900,3500,4100,7200,11000,10900,7800,9300,11900,10400,12600,15700,8900,5400,3600,4380400,"Census Tract 6.01, Suffolk County, Massachusetts",115,78,111,65,234,82,240,100,135,70,714,188,440,146,115,69,111,62,234,85,740,261,135,72,979,206,535,174,1998,271,0,12,1998,271,1911,259,87,59,894,219,165,77,8,13,43,36,140,61,32,26,62,58,29,21,34,35,49,46,90,50,166,77,136,61,108,55,7,13,206,84,56477,13383
G2500250000602,48600,30800,69300,35700,9800,60200,36200,53000,41500,88100,59700,16300,84900,37900,252900,0,252900,237500,15400,136000,54900,24100,21400,20500,14900,10300,8100,8500,3800,13200,8000,3300,3400,0,0,1920800,000602,42900,34000,72100,26100,9600,54400,56200,43500,49300,94400,54300,12500,88000,59500,212800,0,212800,201300,11500,195200,68800,20300,18700,13900,13800,14000,9200,4900,4600,10200,14000,14100,4000,3700,2100,2017500,"Census Tract 6.02, Suffolk County, Massachusetts",338,259,143,92,450,158,349,121,56,36,452,139,560,121,347,190,246,119,647,209,742,232,56,46,799,198,568,133,2000,376,0,12,2000,376,1893,366,107,73,1448,205,385,129,376,131,133,85,70,52,114,72,49,34,129,71,59,40,67,44,84,53,160,78,216,97,71,47,6,10,43,40,25574,7443
G2500250000701,18000,23700,42100,27200,17800,93100,33300,18600,27700,50100,116500,27900,154300,36900,312100,400,311700,284500,27200,122400,54200,19600,26300,23600,17700,15200,13200,12100,8600,9600,9900,3500,2200,1600,0,2201700,000701,11400,16800,30300,19900,12200,110600,62100,11400,19800,46500,80700,12200,205900,68600,318600,0,318600,311000,7600,129700,41800,18700,11300,15600,12900,11400,14100,17700,7100,23300,26800,20800,6000,2800,4800,3687500,"Census Tract 7.01, Suffolk County, Massachusetts",170,115,71,71,365,215,85,58,85,68,1390,360,709,192,170,141,92,82,409,231,410,170,85,73,1855,443,794,210,3065,403,0,12,3065,403,2773,416,292,169,750,225,264,124,97,67,24,27,142,97,48,49,157,91,153,105,61,49,90,51,203,94,198,95,147,83,213,134,48,43,149,92,46796,9215
