"","GIS.Join.Match.Code","Geography.Year","State.Name","State.Code","County.Name","County.Code","Census.Tract.Code","X1990..Persons..Total","X2000..Persons..Total","X2010..Persons..Total","X1990..Persons..Male","X2000..Persons..Male","X2010..Persons..Male","X1990..Persons..Female","X2000..Persons..Female","X2010..Persons..Female","X1990..Persons..Under.5.years","X2000..Persons..Under.5.years","X2010..Persons..Under.5.years","X1990..Persons..5.to.9.years","X2000..Persons..5.to.9.years","X2010..Persons..5.to.9.years","X1990..Persons..10.to.14.years","X2000..Persons..10.to.14.years","X2010..Persons..10.to.14.years","X1990..Persons..15.to.17.years","X2000..Persons..15.to.17.years","X2010..Persons..15.to.17.years","X1990..Persons..18.and.19.years","X2000..Persons..18.and.19.years","X2010..Persons..18.and.19.years","X1990..Persons..20.years","X2000..Persons..20.years","X2010..Persons..20.years","X1990..Persons..21.years","X2000..Persons..21.years","X2010..Persons..21.years","X1990..Persons..22.to.24.years","X2000..Persons..22.to.24.years","X2010..Persons..22.to.24.years","X1990..Persons..25.to.29.years","X2000..Persons..25.to.29.years","X2010..Persons..25.to.29.years","X1990..Persons..30.to.34.years","X2000..Persons..30.to.34.years","X2010..Persons..30.to.34.years","X1990..Persons..35.to.39.years","X2000..Persons..35.to.39.years","X2010..Persons..35.to.39.years","X1990..Persons..40.to.44.years","X2000..Persons..40.to.44.years","X2010..Persons..40.to.44.years","X1990..Persons..45.to.49.years","X2000..Persons..45.to.49.years","X2010..Persons..45.to.49.years","X1990..Persons..50.to.54.years","X2000..Persons..50.to.54.years","X2010..Persons..50.to.54.years","X1990..Persons..55.to.59.years","X2000..Persons..55.to.59.years","X2010..Persons..55.to.59.years","X1990..Persons..60.and.61.years","X2000..Persons..60.and.61.years","X2010..Persons..60.and.61.years","X1990..Persons..62.to.64.years","X2000..Persons..62.to.64.years","X2010..Persons..62.to.64.years","X1990..Persons..65.to.69.years","X2000..Persons..65.to.69.years","X2010..Persons..65.to.69.years","X1990..Persons..70.to.74.years","X2000..Persons..70.to.74.years","X2010..Persons..70.to.74.years","X1990..Persons..75.to.79.years","X2000..Persons..75.to.79.years","X2010..Persons..75.to.79.years","X1990..Persons..80.to.84.years","X2000..Persons..80.to.84.years","X2010..Persons..80.to.84.years","X1990..Persons..85.years.and.over","X2000..Persons..85.years.and.over","X2010..Persons..85.years.and.over","X1990..Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2000..Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2010..Persons..Not.Hispanic.or.Latino...White..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X1990..Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2000..Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2010..Persons..Not.Hispanic.or.Latino...Black.or.African.American..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X1990..Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2000..Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2010..Persons..Not.Hispanic.or.Latino...American.Indian.and.Alaska.Native..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X1990..Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2000..Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2010..Persons..Not.Hispanic.or.Latino...Asian.and.Pacific.Islander..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X1990..Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2000..Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X2010..Persons..Not.Hispanic.or.Latino...Some.Other.Race..single.race.reported.or..since.2000..race.combinations.likely.to.report.this.single.race.","X1990..Persons..Hispanic.or.Latino","X2000..Persons..Hispanic.or.Latino","X2010..Persons..Hispanic.or.Latino","X1990..Persons..In.households","X2000..Persons..In.households","X2010..Persons..In.households","X1990..Persons..In.group.quarters","X2000..Persons..In.group.quarters","X2010..Persons..In.group.quarters","X1990..Persons..In.family.households","X2000..Persons..In.family.households","X2010..Persons..In.family.households","X1990..Persons..In.nonfamily.households","X2000..Persons..In.nonfamily.households","X2010..Persons..In.nonfamily.households","X1990..Persons..In.households...Under.18.years","X2000..Persons..In.households...Under.18.years","X2010..Persons..In.households...Under.18.years","X1990..Persons..In.households...65.years.and.over","X2000..Persons..In.households...65.years.and.over","X2010..Persons..In.households...65.years.and.over","X1990..Households..Total","X2000..Households..Total","X2010..Households..Total","X1990..Households..Family","X2000..Households..Family","X2010..Households..Family","X1990..Households..Family..Husband.wife.family","X2000..Households..Family..Husband.wife.family","X2010..Households..Family..Husband.wife.family","X1990..Households..Family..Other.family","X2000..Households..Family..Other.family","X2010..Households..Family..Other.family","X1990..Households..Family..Other.family..Male.householder..no.wife.present","X2000..Households..Family..Other.family..Male.householder..no.wife.present","X2010..Households..Family..Other.family..Male.householder..no.wife.present","X1990..Households..Family..Other.family..Female.householder..no.husband.present","X2000..Households..Family..Other.family..Female.householder..no.husband.present","X2010..Households..Family..Other.family..Female.householder..no.husband.present","X1990..Households..Nonfamily","X2000..Households..Nonfamily","X2010..Households..Nonfamily","X1990..Housing.units..Owner.occupied","X2000..Housing.units..Owner.occupied","X2010..Housing.units..Owner.occupied","X1990..Housing.units..Renter.occupied","X2000..Housing.units..Renter.occupied","X2010..Housing.units..Renter.occupied","X1990..Persons..In.owner.occupied.housing.units","X2000..Persons..In.owner.occupied.housing.units","X2010..Persons..In.owner.occupied.housing.units","X1990..Persons..In.renter.occupied.housing.units","X2000..Persons..In.renter.occupied.housing.units","X2010..Persons..In.renter.occupied.housing.units","X1990..Housing.units..Occupied...Householder.is.White..single.race.","X2000..Housing.units..Occupied...Householder.is.White..single.race.","X2010..Housing.units..Occupied...Householder.is.White..single.race.","X1990..Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","X2000..Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","X2010..Housing.units..Occupied...Householder.is.Black.or.African.American..single.race.","X1990..Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X2000..Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X2010..Housing.units..Occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X1990..Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X2000..Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X2010..Housing.units..Occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X1990..Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","X2000..Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","X2010..Housing.units..Occupied...Householder.is.Some.Other.Race..single.race.","X1990..Housing.units..Occupied...Householder.is.Two.or.More.Races","X2000..Housing.units..Occupied...Householder.is.Two.or.More.Races","X2010..Housing.units..Occupied...Householder.is.Two.or.More.Races","X1990..Housing.units..Owner.occupied...Householder.is.White..single.race.","X2000..Housing.units..Owner.occupied...Householder.is.White..single.race.","X2010..Housing.units..Owner.occupied...Householder.is.White..single.race.","X1990..Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","X2000..Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","X2010..Housing.units..Owner.occupied...Householder.is.Black.or.African.American..single.race.","X1990..Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X2000..Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X2010..Housing.units..Owner.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X1990..Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X2000..Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X2010..Housing.units..Owner.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X1990..Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","X2000..Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","X2010..Housing.units..Owner.occupied...Householder.is.Some.Other.Race..single.race.","X1990..Housing.units..Owner.occupied...Householder.is.Two.or.More.Races","X2000..Housing.units..Owner.occupied...Householder.is.Two.or.More.Races","X2010..Housing.units..Owner.occupied...Householder.is.Two.or.More.Races","X1990..Housing.units..Renter.occupied...Householder.is.White..single.race.","X2000..Housing.units..Renter.occupied...Householder.is.White..single.race.","X2010..Housing.units..Renter.occupied...Householder.is.White..single.race.","X1990..Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","X2000..Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","X2010..Housing.units..Renter.occupied...Householder.is.Black.or.African.American..single.race.","X1990..Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X2000..Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X2010..Housing.units..Renter.occupied...Householder.is.American.Indian.and.Alaska.Native..single.race.","X1990..Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X2000..Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X2010..Housing.units..Renter.occupied...Householder.is.Asian.and.Pacific.Islander..single.race.","X1990..Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","X2000..Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","X2010..Housing.units..Renter.occupied...Householder.is.Some.Other.Race..single.race.","X1990..Housing.units..Renter.occupied...Householder.is.Two.or.More.Races","X2000..Housing.units..Renter.occupied...Householder.is.Two.or.More.Races","X2010..Housing.units..Renter.occupied...Householder.is.Two.or.More.Races","X1990..Housing.units..Occupied...1.person.household","X2000..Housing.units..Occupied...1.person.household","X2010..Housing.units..Occupied...1.person.household","X1990..Housing.units..Occupied...2.person.household","X2000..Housing.units..Occupied...2.person.household","X2010..Housing.units..Occupied...2.person.household","X1990..Housing.units..Occupied...3.person.household","X2000..Housing.units..Occupied...3.person.household","X2010..Housing.units..Occupied...3.person.household","X1990..Housing.units..Occupied...4.person.household","X2000..Housing.units..Occupied...4.person.household","X2010..Housing.units..Occupied...4.person.household","X1990..Housing.units..Occupied...5.person.household","X2000..Housing.units..Occupied...5.person.household","X2010..Housing.units..Occupied...5.person.household","X1990..Housing.units..Occupied...6.person.household","X2000..Housing.units..Occupied...6.person.household","X2010..Housing.units..Occupied...6.person.household","X1990..Housing.units..Occupied...7.or.more.person.household","X2000..Housing.units..Occupied...7.or.more.person.household","X2010..Housing.units..Occupied...7.or.more.person.household","X1990..Housing.units..Owner.occupied...1.person.household","X2000..Housing.units..Owner.occupied...1.person.household","X2010..Housing.units..Owner.occupied...1.person.household","X1990..Housing.units..Owner.occupied...2.person.household","X2000..Housing.units..Owner.occupied...2.person.household","X2010..Housing.units..Owner.occupied...2.person.household","X1990..Housing.units..Owner.occupied...3.person.household","X2000..Housing.units..Owner.occupied...3.person.household","X2010..Housing.units..Owner.occupied...3.person.household","X1990..Housing.units..Owner.occupied...4.person.household","X2000..Housing.units..Owner.occupied...4.person.household","X2010..Housing.units..Owner.occupied...4.person.household","X1990..Housing.units..Owner.occupied...5.person.household","X2000..Housing.units..Owner.occupied...5.person.household","X2010..Housing.units..Owner.occupied...5.person.household","X1990..Housing.units..Owner.occupied...6.person.household","X2000..Housing.units..Owner.occupied...6.person.household","X2010..Housing.units..Owner.occupied...6.person.household","X1990..Housing.units..Owner.occupied...7.or.more.person.household","X2000..Housing.units..Owner.occupied...7.or.more.person.household","X2010..Housing.units..Owner.occupied...7.or.more.person.household","X1990..Housing.units..Renter.occupied...1.person.household","X2000..Housing.units..Renter.occupied...1.person.household","X2010..Housing.units..Renter.occupied...1.person.household","X1990..Housing.units..Renter.occupied...2.person.household","X2000..Housing.units..Renter.occupied...2.person.household","X2010..Housing.units..Renter.occupied...2.person.household","X1990..Housing.units..Renter.occupied...3.person.household","X2000..Housing.units..Renter.occupied...3.person.household","X2010..Housing.units..Renter.occupied...3.person.household","X1990..Housing.units..Renter.occupied...4.person.household","X2000..Housing.units..Renter.occupied...4.person.household","X2010..Housing.units..Renter.occupied...4.person.household","X1990..Housing.units..Renter.occupied...5.person.household","X2000..Housing.units..Renter.occupied...5.person.household","X2010..Housing.units..Renter.occupied...5.person.household","X1990..Housing.units..Renter.occupied...6.person.household","X2000..Housing.units..Renter.occupied...6.person.household","X2010..Housing.units..Renter.occupied...6.person.household","X1990..Housing.units..Renter.occupied...7.or.more.person.household","X2000..Housing.units..Renter.occupied...7.or.more.person.household","X2010..Housing.units..Renter.occupied...7.or.more.person.household"
"1","G2500250000100",2010,"Massachusetts",25,"Suffolk County",25,100,3855,3968,4254,1902,2056,2256,1953,1912,1998,200,189,230,146,150,135,117,133,130,82,73,84,83,61,75,47,57,63,59,65,80,411,504,546,762,725,878,462,386,480,297,337,280,219,232,240,116,213,212,133,174,164,130,122,176,62,43,63,84,70,69,139,108,79,121,115,88,87,96,69,57,69,52,41,46,61,3042,2890,2603,201,197,286,5,14,5,268,417,489,13,101,250,326,349,621,3837,3930,4225,18,38,29,2462,2284,2321,1375,1646,1904,533,535,579,445,433,347,1527,1563,1616,773,697,698,510,499,445,263,198,253,74,68,91,189,130,162,754,866,918,473,441,408,1054,1122,1208,1238,1142,1025,2599,2788,3200,1331,1271,1181,77,57,95,5,4,0,85,117,154,29,57,128,NA,57,58,429,351,300,3,9,16,0,0,0,38,62,69,3,4,9,NA,15,14,902,920,881,74,48,79,5,4,0,47,55,85,26,53,119,NA,42,44,392,409,394,523,519,532,288,298,296,181,194,217,84,86,105,32,40,50,27,17,22,121,118,123,142,133,117,96,80,82,63,61,50,31,31,19,7,14,10,13,4,7,271,291,271,381,386,415,192,218,214,118,133,167,53,55,86,25,26,40,14,13,15
"2","G2500250000201",2010,"Massachusetts",25,"Suffolk County",25,201,3722,3887,3854,1757,1935,1904,1965,1952,1950,178,146,178,125,118,116,106,113,93,74,73,52,69,62,39,58,35,41,81,77,38,436,528,644,718,857,981,481,511,402,265,292,217,205,210,179,137,199,175,110,132,162,115,108,154,52,32,53,92,42,66,140,85,85,107,100,42,74,82,49,53,49,40,46,36,48,3126,3095,2766,105,132,273,2,6,5,250,342,333,6,23,70,233,289,407,3710,3841,3730,12,46,124,2270,2069,1724,1440,1772,2006,481,425,377,420,352,264,1487,1543,1541,713,655,571,493,479,390,220,176,181,55,54,53,165,122,128,774,888,970,502,463,447,985,1080,1094,1322,1193,1090,2388,2648,2640,1365,1343,1263,40,34,74,0,3,3,62,94,108,20,29,56,NA,40,37,468,404,370,4,5,12,0,0,0,27,43,54,3,3,3,NA,8,8,897,939,893,36,29,62,0,3,3,35,51,54,17,26,53,NA,32,29,402,368,375,453,541,569,324,338,324,189,184,182,74,63,58,26,31,17,19,18,16,134,121,121,139,154,158,94,74,76,87,65,59,25,27,20,13,14,6,10,8,7,268,247,254,314,387,411,230,264,248,102,119,123,49,36,38,13,17,11,9,10,9
"3","G2500250000202",2010,"Massachusetts",25,"Suffolk County",25,202,3863.11,3925,3885,1696.79,1858,1962,2166.32,2067,1923,218.28,204,201,204.14,233,186,175.14,211,157,99.09,99,112,76.09,73,88,62.09,30,38,62.05,51,49,370.24,385,456,618.09,665,713,419.66,406,368,269.24,245,228,168.19,254,229,161.05,205,215,154.09,183,202,176.14,135,165,78.14,61,57,77.14,68,81,156.47,131,85,128.38,101,76,81.24,95,82,67.09,56,50,41.05,34,47,2991.31,2555,2412,258.8,299,285,3,8,12,349.61,597,530,1,24,50,259.38,442,596,3853.06,3905,3861,10.05,20,24,2760.32,2543,2328,1092.74,1362,1533,696.66,747,656,470.23,408,330,1463.88,1494,1480,839.71,766,711,512.52,492,429,327.19,274,282,57.09,47,58,270.09,227,224,624.17,728,769,521.28,511,474,942.6,983,1006,1387.76,1342,1206,2465.3,2563,2655,1263.22,1144,1103,81.57,90,101,3,1,6,92.09,168,159,24,54,81,NA,37,30,471.14,415,379,5.09,7,3,0,0,1,42.05,81,81,3,0,7,NA,8,3,792.08,729,724,76.47,83,98,3,1,5,50.05,87,78,21,54,74,NA,29,27,361.89,372,361,464.43,470,464,280.19,273,289,191.28,208,211,99,115,107,36.05,39,26,31.05,17,22,136.09,142,133,167.09,144,150,73,82,69,78.05,81,69,37,39,38,15.05,16,8,15,7,7,225.8,230,228,297.33,326,314,207.19,191,220,113.24,127,142,62,76,69,21,23,18,16.05,10,15
"4","G2500250000301",2010,"Massachusetts",25,"Suffolk County",25,301,3085,2923,2740,1375,1399,1395,1710,1524,1345,120,126,95,106,103,70,83,77,71,61,47,37,60,32,22,36,25,24,41,34,31,323,307,323,573,542,594,358,333,296,216,198,177,133,173,147,125,141,164,112,126,153,101,125,118,67,44,45,64,68,42,110,91,86,86,89,76,81,92,51,101,71,54,128,79,64,2598,2425,2070,79,99,161,5,2,0,175,217,295,5,18,24,223,162,190,2842,2747,2628,243,176,112,1834,1572,1338,1008,1175,1290,370,353,273,291,296,259,1143,1159,1159,569,529,463,414,378,324,155,151,139,36,39,50,119,112,89,574,630,696,417,445,476,726,714,683,1118,1098,1069,1724,1649,1559,1034,1009,963,34,34,46,2,0,1,54,66,101,19,19,31,NA,31,17,392,400,406,2,3,7,0,0,0,21,35,54,2,4,4,NA,3,5,642,609,557,32,31,39,2,0,1,33,31,47,17,15,27,NA,28,12,301,287,333,396,467,426,212,210,226,126,124,124,68,43,36,24,17,10,16,11,4,110,126,151,122,153,175,74,71,68,52,53,56,36,22,20,11,12,3,12,8,3,191,161,182,274,314,251,138,139,158,74,71,68,32,21,16,13,5,7,4,3,1
"5","G2500250000302",2010,"Massachusetts",25,"Suffolk County",25,302,3024.89,2969.12,3142,1365.77,1388.23,1568,1659.11,1580.89,1574,137.08,104.68,116,98.91,61.02,50,61.34,62.91,68,33.29,44.61,76,47.3,45.59,100,46.2,53.41,53,81.26,33.55,67,364.43,351.14,451,606.05,594.47,637,354.31,328.27,308,233.8,208.26,173,151.52,179.59,147,102.5,170.63,139,88.87,147.45,116,103.79,126.11,151,52.67,42.42,73,76.9,64.87,82,136.48,87.02,85,96.38,80.37,86,62.59,104.63,53,48.72,43.51,56,40.48,34.63,55,2580.86,2426.71,2326,39.12,68.38,103,2.95,3.93,2,275.35,366.59,452,3,7.93,30,123.61,95.58,229,2982.89,2969.12,2916,42,0,226,1739.98,1632.75,1514,1242.91,1336.37,1402,330.63,273.22,275,352.66,350.15,335,1274.16,1312.61,1276,580.64,598.68,545,437.97,462.44,416,142.66,136.25,129,39.3,35.28,37,103.36,100.96,92,693.52,713.92,731,614.42,646.5,631,659.74,666.1,645,1436.13,1407.44,1354,1546.75,1561.68,1562,1167.97,1146.82,1050,13.72,23.75,31,1,2.95,1,82.49,120.16,160,8.98,10.95,13,NA,7.98,21,565.83,556.41,510,3.86,11.83,14,1,0,0,43.74,72.32,100,0,4.95,4,NA,1,3,602.14,590.41,540,9.86,11.93,17,0,2.95,1,38.76,47.84,60,8.98,6,9,NA,6.98,18,330.59,316.94,321,477.23,552.85,504,275.01,293.08,285,125.07,101.32,114,40.75,34.52,40,16.67,8.93,10,8.84,4.97,2,189.26,192.75,211,212.6,262.34,238,97.41,114.06,89,75.69,49.83,68,21.8,19.63,22,10.82,5.93,3,6.84,1.97,0,141.33,124.19,110,264.63,290.51,266,177.6,179.03,196,49.38,51.5,46,18.95,14.88,18,5.85,3,7,2,3,2
"6","G2500250000401",2010,"Massachusetts",25,"Suffolk County",25,401,5589,5796,5672,2438,2703,2732,3151,3093,2940,154,134,175,105,125,94,67,99,76,66,55,59,81,107,62,236,174,110,259,246,144,877,906,968,961,1078,1322,460,515,485,319,296,227,197,213,183,101,187,139,130,158,148,133,96,141,67,57,69,102,94,89,266,174,144,256,296,247,285,317,231,239,226,262,228,243,297,4363,4471,4163,266,169,154,4,5,2,613,844,1036,30,41,30,313,266,287,5589,5796,5672,0,0,0,2500,2434,2286,3089,3362,3386,392,413,404,1274,1256,1181,2861,2912,2877,916,875,834,713,703,674,203,172,160,63,58,58,140,114,102,1945,2037,2043,454,463,496,2407,2449,2381,1097,1187,1132,4492,4609,4540,2437,2352,2190,137,74,77,4,2,1,246,387,517,37,43,41,NA,54,51,369,356,357,7,3,4,0,0,0,76,95,123,2,3,5,NA,6,7,2068,1996,1833,130,71,73,4,2,1,170,292,394,35,40,36,NA,48,44,1281,1259,1250,949,1009,983,345,313,348,154,183,173,67,84,68,42,39,28,23,25,27,139,135,193,155,159,154,76,63,64,40,42,37,21,32,23,12,18,12,11,14,13,1142,1124,1057,794,850,829,269,250,284,114,141,136,46,52,45,30,21,16,12,11,14
"7","G2500250000402",2010,"Massachusetts",25,"Suffolk County",25,402,3458,3564,3648,1684,1836,1902,1774,1728,1746,123,123,155,87,61,85,71,70,89,60,44,37,92,59,60,113,172,238,170,173,279,429,512,536,644,729,771,385,361,371,263,231,195,185,158,144,143,165,91,116,163,107,93,110,119,45,53,43,61,62,70,103,73,87,100,77,57,70,63,49,50,50,33,55,55,32,2700,2795,2795,113,108,82,1,11,0,426,448,554,15,31,28,203,171,189,3015,3276,3511,443,288,137,1694,1459,1471,1321,1817,2040,336,298,366,301,248,246,1245,1398,1461,548,491,473,429,386,389,119,105,84,39,34,22,80,71,62,697,907,988,429,425,480,816,973,981,1104,1028,1165,1911,2248,2346,1066,1127,1162,36,35,29,1,5,0,118,158,211,24,37,21,NA,36,38,355,317,348,1,3,4,0,0,0,73,90,115,0,1,1,NA,14,12,711,810,814,35,32,25,1,5,0,45,68,96,24,36,20,NA,22,26,355,412,439,440,499,528,207,247,224,141,148,152,55,45,55,27,33,26,20,14,37,125,129,155,130,150,176,64,64,59,59,41,41,26,21,21,15,11,12,10,9,16,230,283,284,310,349,352,143,183,165,82,107,111,29,24,34,12,22,14,10,5,21
"8","G2500250000502",2010,"Massachusetts",25,"Suffolk County",25,502,5460.97,3177.9,6303,2508.49,1416.95,2888,2952.49,1760.95,3415,93.5,58,55,49.5,24,8,27.5,23,13,22,10,9,825,58,833,837,154,1185,634,200,938,791,566,1164,700,755.9,728,422,346,359,219,189,215,143.99,139,111,51.99,116,88,60,108,91,49,57,106,28,16,45,46,36,62,72,57,55,91.5,88,68,107.99,68,61,107,53,66,83,56,43,4446.97,2433.95,4813,203,64,308,9,5,7,322,419.95,713,13,30,16,467,225,446,4670.97,3177.9,3110,790,0,3193,1177.48,973,903,3493.49,2204.9,2207,191.49,115,85,461.49,322,293,2273.99,1968.95,1872,453.99,410,391,339.99,325,334,114,85,57,38,30,22,76,55,35,1819.99,1558.95,1481,282.99,274,359,1991,1694.95,1513,499.97,428,601,4171,2749.9,2509,2017.99,1577,1553,92,41,55,5,2,2,123,252.95,206,36,43,24,NA,53,32,256.99,228,308,4,5,6,0,1,0,21,32,41,1,3,1,NA,5,3,1761,1349,1245,88,36,49,5,1,2,102,220.95,165,35,40,23,NA,48,29,1120.5,1132,998,595.99,614.95,649,144,129,148,267,60,49,39.5,21,14,93,7,4,14,5,10,141.5,161,174,100.99,84,143,20,20,35,12,8,4,5.5,0,1,2,0,0,1,1,2,979,971,824,495,530.95,506,124,109,113,255,52,45,34,21,13,91,7,4,13,4,8
"9","G2500250000503",2010,"Massachusetts",25,"Suffolk County",25,503,2348,2580,2211,1049,1147,1028,1299,1433,1183,54,45,32,21,26,10,15,21,5,18,8,7,30,35,11,101,70,30,107,132,75,476,551,461,641,721,676,348,307,311,198,182,158,114,85,73,56,77,60,44,79,48,30,47,66,7,12,26,22,31,21,19,19,30,11,18,27,14,25,15,12,20,19,10,69,50,1931,2090,1772,87,73,64,3,3,2,186,251,266,4,15,11,137,148,96,2348,2580,2211,0,0,0,737,732,576,1611,1848,1635,108,100,54,66,151,141,1312,1513,1341,289,307,246,219,239,201,70,68,45,29,25,15,41,43,30,1023,1206,1095,273,315,348,1039,1198,993,428,474,525,1920,2106,1686,1155,1285,1111,46,38,40,3,2,1,87,126,144,21,21,19,NA,41,26,253,269,281,0,6,9,1,1,0,16,30,46,3,3,3,NA,6,9,902,1016,830,46,32,31,2,1,1,71,96,98,18,18,16,NA,35,17,594,731,667,518,609,528,126,104,110,45,45,30,18,16,3,8,4,2,3,4,1,157,195,212,92,94,104,14,16,26,7,8,4,1,1,1,2,1,1,0,0,0,437,536,455,426,515,424,112,88,84,38,37,26,17,15,2,6,3,1,3,4,1
"10","G2500250000504",2010,"Massachusetts",25,"Suffolk County",25,504,4811,4786,4985,2116,2163,2135,2695,2623,2850,144,72,81,58,53,38,63,53,21,45,38,20,108,91,68,235,227,143,240,266,199,827,993,1162,1030,1074,1166,584,477,418,321,235,232,196,186,163,96,159,114,94,103,125,62,76,121,24,34,39,43,61,70,145,109,118,141,143,145,151,162,131,117,86,161,87,88,250,3767,3845,3915,303,181,195,12,2,4,413,470,542,40,15,11,276,273,318,4791,4769,4915,20,17,70,1798,1444,1322,2993,3325,3593,310,216,160,635,587,739,2433,2460,2637,658,566,534,480,434,427,178,132,107,45,41,36,133,91,71,1775,1894,2103,451,392,518,1982,2068,2119,834,701,869,3957,4068,4046,2065,2067,2161,156,85,112,8,2,5,158,216,270,46,36,33,NA,54,56,395,322,411,4,7,8,1,0,0,46,45,83,5,5,5,NA,13,11,1670,1745,1750,152,78,104,7,2,5,112,171,187,41,31,28,NA,41,45,1026,1036,1218,854,902,908,314,278,276,139,165,164,62,59,46,27,11,15,11,9,10,201,186,278,173,145,170,40,31,46,23,21,16,9,7,3,5,1,1,0,1,4,825,850,940,681,757,738,274,247,230,116,144,148,53,52,43,22,10,14,11,8,6
