"","X","Data.Measurement.Year","Census.Tract.Code","prop.change.population.under.18","prop.change.population.young.adult","prop.change.population.middle.aged","prop.change.population.older.adulthood","prop.change.population.race.White","prop.change.population.race.Black","prop.change.population.race.Native","prop.change.population.race.Islander","prop.change.population.race.Other","prop.change.population.race.Latino","prop.change.households.Nonfamily","prop.change.housing.Owner.Occupied","prop.change.population.Owner.Occupied","prop.change.population.Renter.Occupied","prop.change.housing.householder.race.White","prop.change.housing.householder.race.Black","prop.change.housing.householder.race.Native","prop.change.housing.householder.race.Islander","prop.change.housing.householder.race.Other","prop.change.housing.owner.occupied.householder.race.White","prop.change.housing.owner.occupied.householder.race.Black","prop.change.housing.owner.occupied.householder.race.Native","prop.change.housing.owner.occupied.householder.race.Islander","prop.change.housing.owner.occupied.householder.race.Other","prop.change.housing.renter.occupied.householder.race.White","prop.change.housing.renter.occupied.householder.race.Black","prop.change.housing.renter.occupied.householder.race.Native","prop.change.housing.renter.occupied.householder.race.Islander","prop.change.housing.renter.occupied.householder.race.Other","prop.change.household.size.renter.occupied","prop.change.household.size.owner.occupied","prop.change.household.size"
"162",1,"1990-2000",101,-0.0387957304160688,-0.186626513649547,0.070003367493346,0.158820067654659,-0.328940566160963,0.23299115597684,0.0563292030525365,0.0598503003960449,6.39430442136775,0.496382455420466,0.237324831976664,-7.28286549473133e-05,0.00382684484601399,-0.0172172670576061,-0.0917132174952714,0.115494957810249,-0.0603350189633376,0.680554677623262,0.115206790680874,-0.0672425456626946,0.0120206067544361,0.214424728105323,0.629106342580312,0.0831783056668574,-0.184723777528929,0.409147869674185,-0.747076023391813,0.821052631578947,0.175352597179222,-0.0632445310807883,-0.0401775307763931,-0.0452355493136074
"323",2,"2000-2010",101,-0.00467856990886523,0.0879192893565884,-0.168599867935491,0.144096273258618,-0.306363726119593,-0.232064998155598,-0.268733496540973,-0.33049284628231,-0.576635182207931,0.331633350175053,0.0432848065184443,-0.139873370707472,-0.170025454186014,0.52200117914977,0.0248974575113844,-0.111927078300641,0.260716382853787,-0.165230238857424,-0.0335736499858636,0.0355890966551624,-0.0349738968437926,-0.164274779946422,-0.0427147479386285,-0.165494816764018,0.0895035972845575,-0.318337129840547,4.25854214123007,-0.415717539863326,-0.0533144949684265,0.0547380410022779,-0.0174801877227251,-0.00179106002057347
"163",3,"1990-2000",106,-0.116413386483639,-0.141846825177818,-0.0631138689364239,0.732699370610198,-0.242383149929802,0.0696100349196332,1.38061103917324,-0.117009723652109,-0.310532152077528,0.508377927486783,0.520606776476411,0.0494230789888401,0.0424044140666577,-0.191835857806549,-0.0493918938131023,0.0386264049351216,1.68839361326021,-0.0706787509717781,-0.0334792083619021,-0.0385990251918259,0.0337082158257464,1.27713994444396,-0.179428230427813,-0.0426119740134095,-0.131925529199489,0.0858429055518994,Inf,1.44697792254796,0.118591599350065,-0.0110592930033535,-0.0792636192547951,-0.0741978780335887
"324",4,"2000-2010",106,0.0227896069403899,0.019682588612372,-0.173917160049642,0.228863111830546,-0.244155371848401,-0.0668829738824507,-0.172082118670673,-0.224855286959382,-0.799844028689613,0.326160701702068,0.332748147484516,-0.0598804534091103,-0.0721085430475897,0.420767422015566,0.0097935503266661,-0.0460236572235481,0.315470575738262,0.0643647392365004,0.0476815626760277,0.0189120266921625,-0.098710675841286,0.236844857640907,-0.0105241138872749,0.157439673381621,8.47131305352179e-05,0.152348169638014,0.787385444743935,0.340539083557951,-0.373638405963017,-0.0293382289448437,-0.036256291442089,-0.0251279427643821
"164",5,"1990-2000",107,-0.0673529853537823,-0.186468474701156,-0.0154887090860329,0.768173675824718,-0.420271327595098,-0.0744263298492221,0.0402796975004205,-0.255510592078226,-0.750452904872688,0.410373170107104,0.621351066941947,0.0796140263517039,0.0649205482688432,-0.174908933198321,-0.0663073741604071,-0.0588358200940386,1.50274327349339,0.187695130347471,0.0641103797114509,-0.0395773789201253,-0.101789662591183,0.545455574804398,0.108494360502798,0.0134934086042094,-0.208518132428069,0.153209667186686,Inf,0.494492571787049,0.291294020359862,-0.0159602856793508,-0.0959802850774233,-0.0847850925499143
"325",6,"2000-2010",107,-0.103266278730597,0.0230067920089007,-0.0785740515148925,0.283285855520836,-0.236281007336896,-0.195763856201756,-0.377094196659204,-0.327027724606675,1.79643458289919,0.128989772725509,0.314693669414275,-0.0312008088711056,-0.0232557895795598,0.0805524528901125,0.149722367077354,-0.211303397502621,-0.468521232002916,-0.236755991559569,-0.337710343057063,0.118379998166188,-0.177962372030702,-0.588553459119497,-0.185538985215585,-0.317324357732586,0.337201830917584,-0.318506774088824,-0.295095477386935,-0.447913124519842,-0.412153588828843,-0.076909830880155,-0.0325664441102302,-0.0390314270495006
"165",7,"1990-2000",108,-0.0295158225239485,-0.144610081506121,0.198724702552564,0.0469594444827947,-0.398292780780076,-0.101107994779373,-0.630429016421228,-0.672813807442225,-0.330152592263475,0.617684848998691,0.0377640836642869,0.0176407639574597,0.0104995781929858,-0.0270094265178233,-0.0940761321508537,-0.123221696227487,-0.10698506097244,-0.489705749127109,0.75656038506721,-0.0826990979652596,-0.024961601102674,0.053041470809112,-0.317473120771872,0.479827028449536,-0.139776939353742,-0.195237310869002,-1,-0.608795915005765,1.6080272332949,0.0191269604939507,-0.0131884470155022,-0.00552071689242577
"326",8,"2000-2010",108,-0.0453082993623493,0.00589074049293277,-0.128075465301115,0.301374514129636,-0.153768932045719,0.408076360100312,1.20426613439787,1.11360889032745,-0.23329873586161,0.00814707539877017,0.0945008135564468,-0.106597025575615,-0.102014798836249,0.272654894194375,-0.0519901078520737,0.600235531039314,1.08451733648542,0.895015760441292,-0.0999053618065183,-0.0223789098606523,0.527207079646017,-0.151551622418879,1.72715549936789,-0.143714432478855,-0.0735140670980767,0.440332147093713,Inf,-0.135800711743772,-0.135800711743772,-0.0452735742293521,-0.00521822460402324,-0.0111889018675121
"166",9,"1990-2000",109,-0.0486436008409346,-0.128016741385563,0.131086888710421,0.119717961880657,-0.374903853113111,-0.0283205938360171,-0.00345101392621541,0.015995780306208,11.7558270217444,0.190179902369814,0.148236657093017,0.0232062198108183,0.0351940114567335,-0.0929018925547126,-0.0813909456220542,-0.0509432428037079,0.365087719298246,-0.370108600891723,0.134233949137592,-0.0635094275008773,-0.0713033507453179,0.400834042553191,-0.299057271677162,0.0781577605455523,-0.156868662563944,0.0208388151954638,0.102898550724638,-0.724275362318841,0.310036150800482,-0.0582379160893582,-0.0233245005993892,-0.035003704566113
"327",10,"2000-2010",109,-0.106185642255998,-0.0214180480795153,-0.0118518540327366,0.221280658829146,-0.254544271886864,-0.194662753960491,-0.647185587449358,-0.00770946470131884,-0.647185587449358,0.0864907563707586,0.268416313192433,-0.0305818390924773,-0.0562530194707846,0.169476008660511,0.148579110843262,-0.108927108927109,0.244881244881245,0.149121149121149,-0.446719446719447,0.123305811495353,0.0273224043715846,-0.41295862607338,-0.31511839708561,-0.414737539327703,0.267171899434621,-0.306184012066365,4.41176470588235,5.31372549019608,-0.529411764705882,-0.00578304807523804,-0.0787194217206827,-0.055993239248364
"167",11,"1990-2000",110,0.069410831786565,-0.171212390066951,0.118284058590914,0.00997177444309019,-0.380608542427167,-0.0372423532239649,0.48539751216874,-0.19936020620692,-0.339823327925004,0.525152676728001,0.0537793345731168,0.0286511760471155,0.003860079613214,-0.00381814501665524,-0.141616704568948,0.0938884559723923,2.50506512301013,-0.0755872203050206,0.752532561505065,-0.109507411780139,0.259893048128342,3.86776859504132,-0.380465815176559,0.522737868192414,-0.171169081883368,0.0444819819819819,2.06949806949807,0.15958815958816,0.904662904662905,0.0231660231660232,-0.0194616240672834,0.00501397617112383
"328",12,"2000-2010",110,-0.0921705318294583,0.154678467519389,-0.0469554438564052,0.0178839021658208,-0.266285896361997,-0.0384046085530263,-0.654811910762625,-0.209700953588115,1.07112853542425,0.163169343354378,0.000331614660397903,0.00672620038086789,-0.00482610459300625,0.00481046926495105,0.0316477131493911,0.146695234794299,-0.337488015340364,0.159395973154362,-0.252550581409642,0.0481150739031973,-0.0693739424703891,-0.795262267343486,0.316171138506164,-0.0937838062744445,0.0152384769539079,0.247428571428571,-0.0791111111111111,0.0969411764705883,-0.332165289256198,0.00668988030467907,-0.0110887050042881,-0.00149936391547137
"168",13,"1990-2000",111,0.00128101459039021,0.0308873776539678,-0.0823500062965567,0.0696896956639879,-0.248135032057727,0.374995852536788,0.790403743812481,0.011793455910524,0.338326798499829,0.465437615332223,0.856220935801661,-0.253426547119925,-0.242459165404955,0.703125775999701,-0.129343029283836,0.259050603978205,0.166362413528055,0.156145315392033,0.43991091584864,-0.0598952319881866,0.070524732130887,0.562287553928618,-0.156171845871888,0.381331263570604,-0.174974012700088,0.118787952703256,-0.288220504353047,2.47981086760733,0.270356928421323,-0.092209250806492,-0.116574102065299,-0.124264479129987
