"","Data.Measurement.Year","Census.Tract.Code","prop.change.population.under.18","prop.change.population.young.adult","prop.change.population.middle.aged","prop.change.population.older.adulthood","prop.change.population.race.White","prop.change.population.race.Black","prop.change.population.race.Native","prop.change.population.race.Islander","prop.change.population.race.Other","prop.change.population.race.Latino","prop.change.households.Nonfamily","prop.change.housing.Owner.Occupied","prop.change.population.Owner.Occupied","prop.change.population.Renter.Occupied","prop.change.housing.householder.race.White","prop.change.housing.householder.race.Black","prop.change.housing.householder.race.Native","prop.change.housing.householder.race.Islander","prop.change.housing.householder.race.Other","prop.change.housing.owner.occupied.householder.race.White","prop.change.housing.owner.occupied.householder.race.Black","prop.change.housing.owner.occupied.householder.race.Native","prop.change.housing.owner.occupied.householder.race.Islander","prop.change.housing.owner.occupied.householder.race.Other","prop.change.housing.renter.occupied.householder.race.White","prop.change.housing.renter.occupied.householder.race.Black","prop.change.housing.renter.occupied.householder.race.Native","prop.change.housing.renter.occupied.householder.race.Islander","prop.change.housing.renter.occupied.householder.race.Other","prop.change.household.size.renter.occupied","prop.change.household.size.owner.occupied","prop.change.household.size","Gent_Label"
"1","1990-2000",100,-0.0284778225806451,-0.0423262746710526,0.21408523086654,-0.0985459962641492,-0.0770219944964052,-0.0478115972556573,1.72026209677419,0.511659507402504,6.54797999379653,0.0400651531268553,0.122087192045495,-0.089127673647604,-0.103813952655167,0.0421715393017165,-0.067073232283175,-0.276790388114764,-0.218426103646833,0.344766851078243,0.920246210867695,-0.122448979591837,2.21768707482993,NA,0.749970163503998,0.430083144368859,-0.0418598400860042,-0.390663390663391,-0.248484848484849,0.0992907801418439,0.914918414918415,0.00349290904418128,-0.0126859070202831,-0.00286528640074779,"Ineligible"
"2","1990-2000",100100,0.0291201428222643,-0.150421689268374,0.0691755511485534,0.160287002382885,-0.520849776374638,-0.123716509237807,0.211786372007367,4.19337016574586,0.442602823818293,0.725805037157737,0.0278558408020659,0.0955361401835068,0.0662949258055809,-0.0160417440919638,0.817321483454564,-0.138718018189785,-0.487334801762115,4.37077826725404,0.701752215017572,-0.0807962529274004,-0.0702020402492756,0.103044496487119,Inf,0.715846994535519,1.05621721690836,-0.162263887773518,-0.632349412047036,3.96328293736501,0.726808855291577,-0.0597595232518034,-0.0910773943638523,-0.0658161400510735,"Eligible"
"3","1990-2000",100200,0.0421613214902517,-0.202428591839031,0.0624842240787851,0.408603155869933,0.371095971246178,-0.0234004412511463,1.04205782951558,-0.75495306045813,8.52960320440606,0.124862363716212,0.274824404352018,-0.0796226415094339,-0.120975106687464,0.0619181763617553,0.452830188679245,-0.0495186753946862,3.20283018867924,-0.688679245283019,-0.148446170921199,0.0147601476014759,-0.0428966789667896,4.07380073800738,NA,0.014760147601476,0.642692085499711,-0.050719918165193,2.5840554592721,-0.701328711727325,-0.193587521663778,-0.0666744334941341,-0.119591246062912,-0.087660461904829,"Eligible"
"4","1990-2000",100300,0.0858030290310163,-0.173642075382936,-0.0451872285027006,0.375061957846556,-0.0832049837143271,-0.016102162068484,-0.433253989932493,1.12529753775315,-0.102652150726447,0.300261779078323,0.152220324508967,-0.0840886517154555,-0.0615173596731606,0.06402436598839,0.115855394249929,-0.0653124412177432,-0.359521776259607,-0.551665243381725,-0.00370054084827778,-0.099327731092437,-0.0370574459291914,0.957983193277311,-1,-0.0210084033613446,0.386474820143885,-0.0850199840127898,-0.579856115107914,-0.159712230215827,-0.00215827338129496,-0.094300607418257,-0.0788295630933324,-0.0930152650904144,"Eligible"
"5","1990-2000",100400,-0.0749622654428861,-0.115453423994233,0.161207334795089,0.096930576938546,-0.488601848274036,0.184406051318976,-0.044366870696251,1.71716618737303,1.01185921958684,-0.133578876236324,0.00889950960418396,0.0055066889939826,0.0205494991565864,-0.0487724018340324,-0.520926225595772,0.231567275369175,-0.0433542498573873,1.02367370222476,0.0183648307969748,-0.484873747721524,0.34985900714801,-0.0485933503836317,0.816321785631248,0.790883105160223,-0.570231251755454,0.162127369387926,-0.03913491246138,1.17796086508754,-0.27401304497082,-0.0875492254414428,-0.0408551913790252,-0.0649702314654764,"Ineligible"
"6","1990-2000",100500,0.0303777153136114,-0.158900703485081,0.136280381828391,0.065532286897071,-0.497279516022308,0.168998535295018,0.040356764394207,1.59062670052603,0.590430455912983,-0.105788590604027,-0.0132456433351379,-0.0345493981070404,-0.0146760624365373,0.0458339619067,-0.451494552656036,0.104831614878418,-0.452957233848954,1.50281004121394,0.0455710362214189,-0.343050300812504,0.114411658127342,-0.0556348074179743,1.99048977650975,0.711661911554922,-0.524413459156184,0.0977292218846296,-0.501966896756476,1.34458660911567,-0.0746223630055811,-0.0040385874326243,-0.0138371778707754,-0.00916638487295813,"Eligible"
"7","1990-2000",100601,0.191128535234633,-0.130216018789428,0.20179019721904,-0.192248097998252,-0.424717572157985,5.11039414272321,0.492785915990117,5.06879410546679,28.3963995764208,0.617388341056395,0.0338614591009579,-0.0201979080594127,-0.0172000455290113,-0.0141132871269693,-0.358354040722472,3.82077638053581,0.911864406779661,5.16411455289304,2.96029055690073,-0.289042344798776,12.6589327146172,-0.0243619489559164,14.1223897911833,6.80510440835267,-0.412069561021238,2.73320714278561,2.76724854530341,3.70906068162926,2.29634247714048,0.00786304086703846,0.0313653819731031,0.0172665817576172,"Eligible"
"8","1990-2000",100603,-0.015828383084114,-0.197222796918546,0.378670788253478,-0.0155299910225917,-0.116236674196489,2.34530411855623,0.551004636785162,1.63200786848391,NA,0.659847067436753,0.177040072909447,-0.0651352614886977,-0.063588211798621,0.0782648168534185,-0.0751807663360566,1.25914338116302,Inf,1.83899018232819,0.305282842449743,-0.0702401372212693,6.33018867924528,Inf,4.75943396226415,Inf,-0.0759493670886075,0.771097046413502,Inf,1.07911392405063,0.078059071729958,-0.0396041097750486,-0.06355455568054,-0.0555961378629682,"Eligible"
"9","1990-2000",100700,0.0916541045170844,-0.100323594432672,0.22291314587753,-0.114787705146683,-0.0352632268788711,1.18916550805237,0.414537712895377,1.31041159772912,Inf,0.331772208417456,0.221747501181679,0.0224496418659833,0.0185711270052552,-0.0291845920156587,-0.0341860281163485,0.566558591940713,0.479527559055118,2.6988188976378,0.08498687664042,-0.0295229579580725,4.14503816793893,0.929389312977099,2.8587786259542,0.929389312977099,-0.0412479749861223,0.241540256709452,0.012835472578763,2.54492415402567,-0.113768961493582,-0.0731706681094893,-0.0735278176289841,-0.0699566097968904,"Eligible"
"10","1990-2000",100800,0.118412532711299,-0.149852636077894,0.320539719714248,-0.173672192398039,-0.289795643835389,3.30848220418451,1.52300765272463,2.06240928882438,4.90151790033865,1.28070785236629,0.0893371757925072,0.0184787545938804,0.00557648421507995,0.00407499675504742,-0.237095831828221,2.4137740369847,2.17380352644836,2.04685138539043,1.92443324937028,-0.190374573613334,9.75095785440613,Inf,2.20525451559934,6.47892720306513,-0.278775612788867,1.63588251929059,1.57498754359741,2.00415213419698,1.17264573991031,0.00851055535454763,-0.0211483714048393,-0.00423967565829404,"Ineligible"
"11","1990-2000",100900,0.135090281154446,-0.12693043503748,0.180787268457173,-0.185521911670869,-0.510978211893977,0.558123068788191,2.75924705882353,0.995354065192956,1.81943529411765,0.450219801679432,0.0369822283980593,0.0363090651804373,0.0529658126729362,-0.0342904658693557,-0.446332854569001,0.648484482750305,3.60403746770026,1.11003971096706,0.518305275478262,-0.411142852656943,0.64739431714741,2.55418098510882,1.1879363109425,1.05535377252734,-0.497136944121953,0.656228361937706,4.7752,1.00527777777778,0.347546666666667,-0.0122787853589597,-0.00367352328327997,-0.0033939641080572,"Ineligible"
"12","1990-2000",101001,0.0161464171032155,-0.190954277371388,0.0344981036929741,0.291308282139802,-0.318363139587213,-0.00522581252564841,-0.338821435288229,-0.0181498314030201,0.740552571603737,0.602952612569261,0.0898815289875311,0.0116761277097506,-0.053901033707398,0.058979359741491,-0.367186968497848,-0.0417419129423085,0.267386223567207,0.685306830788494,1.44473521750183,-0.327073070863211,-0.00165979076177601,-0.0459014419106268,-0.537262199326654,0.233967468462256,-0.427187620655842,-0.0731175782509031,0.575441583913588,1.52070653426174,2.0721110886315,0.0204350135667449,-0.114407015389754,-0.049089753229266,"Eligible"
"13","1990-2000",101002,0.109525331344748,-0.147956035425259,-0.030129227519244,0.129250697877006,-0.677921984612944,0.023880389186035,-0.378938985641314,4.56673843213876,-0.183748381128585,1.32132441744357,0.127086370313669,-0.0710353398742265,-0.129853870179888,0.164105447010803,-0.546570031175447,-0.0231915715634486,-0.0434651898734177,3.14935191607422,0.919947042494937,-0.44501705215248,-0.00242273031130872,0.372904483430799,0.297913902403066,2.52629576223664,-0.598624578061943,-0.0334924491459488,-0.237286853685369,6.32204620462046,0.641148287242517,0.0411629376146942,-0.122726196379531,-0.0329680438638986,"Eligible"
"14","1990-2000",10103,-0.479349027574463,0.00581207171378782,-0.0555458928459617,-0.000549425181218008,-0.00850077876849986,-0.280799764775066,-0.68943626206196,0.110669597796364,-0.818206592426514,0.236012464557424,0.0281948246931025,-0.0862635972678978,-0.179706648707135,0.0147923169330453,-0.110913323291798,1.03233830845771,Inf,0.39589552238806,-0.0373134328358209,-0.132352941176471,0.0535714285714285,NA,0.655612244897959,Inf,-0.106978302756136,1.13294797687861,Inf,0.350148887721142,-0.138202837624803,0.0162702386499965,-0.0723990683229814,0.00689883913764518,"Ineligible"
"15","1990-2000",10104,-0.396597450721593,-0.0465070102732236,0.252597045170881,0.384828978922125,-0.0601155480829148,-0.251716087447502,-0.390931699085176,0.490999200639488,-0.488382627231548,0.233840801922922,-0.0161045959401713,0.247729252208535,0.427552426144191,0.054230263258852,-0.0875297907796378,-0.392569659442725,0.199862401100791,0.687306501547988,0.542680229986731,-0.0468482021964797,-0.729539641943734,NA,0.252658500471127,Inf,-0.101137644406875,-0.330586080586081,0.26007326007326,0.791824175824176,0.485086342229199,-0.0945285081410735,-0.0654731457800512,-0.0860932200160066,"Ineligible"
"16","1990-2000",101101,0.0690106410226559,-0.155014348722097,-0.0260416004533081,0.238912413639403,-0.255470759370915,0.00235741613953592,6.14196567862715,-0.38783151326053,2.57098283931357,-0.0507835238782686,0.178702884697692,0.0441855745423551,0.0106175359879431,0.00128212476259504,-0.2628545426968,-0.0391160687667693,Inf,-0.688760806916426,0.0610427036940005,-0.59354247767346,-0.0190028152318862,Inf,-1,0.490344248530647,0.197593167701863,-0.0517017365952593,Inf,-0.520962732919255,0.00849950964367445,-0.0595137795712036,-0.112262790867195,-0.079392339958728,"Eligible"
"17","1990-2000",101102,-0.0151810383160714,-0.1249999656106,-0.0197549435082173,0.477702494126137,0.840853905301497,-0.0258780524318597,-0.140934844192634,-0.325020234722784,-0.483269079213615,0.530060388822024,0.20219952079263,-0.0402240429540967,-0.0838520511550084,0.0288782994554224,0.828275144138373,-0.0759626306393723,-0.17432735426009,-0.737881699765108,0.415438821268418,-0.235309829059829,-0.0519402472527472,-0.803365384615385,0.474759615384615,3.91586538461539,2.18602620087336,-0.0846118751222056,0.858515283842795,-0.883842794759825,0.295328834193463,-0.027458159328261,-0.0819898873886492,-0.0428320672038169,"Eligible"
"18","1990-2000",10203,-0.435478104926388,0.0088084461411533,-0.0300593459962226,0.209943796326156,-0.0158971042669216,-0.378516119403362,-0.691699500983051,1.02665606421333,-0.0771759100838484,-0.204453413705661,0.0169960316830381,0.475846442471114,0.467974759013697,-0.00886773918236589,-0.0752779405146146,-0.485318881690422,-0.077047038491515,1.06416611006481,-0.0762463853043465,-0.0433281672389908,-0.755236029020327,NA,0.320661252112064,4.00297556682453,-0.082915257872706,-0.465185818326665,-0.0476771604682911,1.13599402954091,-0.119920901419392,-0.0307124770331435,-0.0572641878661549,-0.0356612815555039,"Ineligible"
"19","1990-2000",10204,-0.661918182832905,0.0546678388242104,-0.165057687779609,0.012915467956173,0.00743432364905094,-0.387678839594417,-0.439278937381404,0.0294878689788835,0.744465528146743,0.147222403978276,0.119059907437702,0.112613951644867,0.150197051525325,-0.049658460566216,-0.0390475864998267,-0.521101230460836,-1,0.27410046710348,-0.196618621905978,-0.0889813869473023,0.949579831932773,NA,0.810324129651861,0.949579831932773,-0.0348311002342383,-0.538336286576313,-1,0.261745488132199,-0.240918317351438,-0.070431153564256,-0.00521439344968759,-0.0658269711033322,"Ineligible"
"20","1990-2000",10300,0.275047521567481,0.0422230465964195,-0.390859424892178,-0.611998290785146,-0.088279041814955,0.082873890901784,-0.2007164790174,1.11638244131145,0.165621801432958,0.332139201637666,0.104432222581689,-0.456405693950178,-0.36247623921626,0.394362264134542,0.077652698089912,-0.592255262681706,-0.599051008303677,0.637208382759984,0.0640569395017793,-0.0379278445883441,Inf,-1,0.106382978723404,NA,0.113470263941065,-0.632910975810433,-0.444660194174757,0.879611650485437,-0.0174757281553399,0.155484097046153,0.058966565349544,0.163937877003835,"Ineligible"
"21","1990-2000",10403,-0.136921332096092,0.0764448188978378,-0.0355808851866125,-0.147854519394428,-0.0577107197567277,-0.372678632531807,0.212887067395264,1.02798622335104,-0.200294241277848,0.0616588464731892,-0.0198894943524657,0.479398627654065,0.415034911961142,0.0233395507489419,-0.113150031781596,-0.445091965228585,0.309425168306577,1.66094437187444,0.707945871704231,0.182530795072788,0.134751773049645,NA,-0.45531914893617,NA,-0.118191782670577,-0.449550229075874,0.320010615711253,1.8332734059311,0.721752977014677,-0.000859156032486784,-0.0732860520094562,0.000412043047951354,"Ineligible"
"22","1990-2000",10404,-0.610508096580776,0.135872296685295,-0.550570660641944,-0.371205983172328,0.0776680133388191,-0.34705289418204,0.398800249298847,0.271162982603049,-0.726456840137114,-0.38902977616832,0.0646673153735688,0.327789335754761,-0.155500155811779,-0.385669443366156,-0.0420497352961591,-0.453090621290067,0.127885503231764,0.682876782599774,-0.38582369235783,-0.103881013246572,0.183157099697885,NA,1.06294058408862,Inf,-0.0382988838158247,-0.47454886698787,0.19041157847128,0.686983265490728,-0.411796631814191,0.00956404659293609,-0.0109563940061634,-0.00302977839335184,"Ineligible"
"23","1990-2000",10405,0.298660001110511,-0.101057236929714,0.553135675039228,0.621540221689343,-0.0772322864961329,0.130199152285857,0.692369106673249,0.766513460175516,-0.850848690709756,0.250127187950118,0.0083670318586666,0.140012847839314,0.685986914809052,0.349853529714611,0.000232351413669297,-0.265169096533507,0.202085503704641,0.598188176845139,-0.0658223825101038,-0.0797427161178542,0.301119692937074,NA,0.494915157750064,Inf,0.00624342570670547,-0.26762273562149,0.216865695619578,0.609078605777955,-0.080103645661854,-0.0615185007081649,0.0196811270898821,-0.0558251353770508,"Ineligible"
"24","1990-2000",10408,-0.175602911724849,-0.0566217708736751,0.350672066630431,0.091865870637374,-0.0605496917128226,-0.435071378388753,-0.355279200195074,1.54569904040621,3.19068519873202,-0.0554090607509228,0.0129484758564877,0.490312965722802,0.553849568069175,-0.0399777871517896,-0.0648959474260679,-0.628099173553719,0.363636363636364,1.47086247086247,0.222570532915361,-0.110847457627119,0.22,NA,Inf,0.22,-0.0650921805467261,-0.63560157790927,0.421153846153846,1.35644312952005,0.251968864468864,-0.0594796930563354,-0.0198876404494383,-0.059964241507358,"Ineligible"
"25","1990-2000",10500,0.0717068355622065,-0.00526149862017704,0.00846246797054282,-0.000958881128760241,-0.0218812082255402,-0.111013723662229,-0.516171185886965,0.366691701721356,-0.308815979838522,0.142535512845239,-0.00261378532694221,0.124286207028705,0.0699528632099689,-0.0535010662686693,-0.0232901240926112,-0.24978019096392,-0.808674101610905,0.580956107741473,-0.202808756712102,-0.0131838471919444,-0.205847953216374,NA,0.191228070175439,Inf,-0.027880143340026,-0.245776347546259,-0.805194805194805,0.638655462184874,-0.350649350649351,-0.0472719700124949,-0.0591729323308271,-0.0465486791241093,"Ineligible"
"26","1990-2000",10600,0.806277955903891,0.0780787696545793,0.112852088068913,-0.196798531903393,-0.0123373299331709,-0.363462688308469,-0.450263230811859,0.488009300058126,2.95810473815461,0.0633066456665354,-0.0996962417359885,-0.0276507441380951,0.0151276441867653,0.00116766906263754,-0.0252241371301158,-0.383838383838384,-0.124401913875598,0.596026891163467,1.01387559808612,0.0325704809286899,-0.754409769335142,Inf,0.00643839625402404,-0.69983416252073,-0.0330352436860956,-0.352886998092147,-0.563902107409925,0.758459244314818,1.74118675342333,0.0558699564122046,0.108554699427052,0.0624986386507031,"Ineligible"
