Data.Measurement.Year,Census.Tract.Code,Gentrified,Eligible,Ineligible,Gent_Label
1990-2000,000100,0,0,0,Ineligible
2000-2010,000100,0,0,0,Ineligible
1990-2000,000201,0,0,0,Ineligible
2000-2010,000201,0,0,0,Ineligible
1990-2000,000202,0,0,0,Ineligible
2000-2010,000202,0,0,0,Ineligible
1990-2000,000301,0,0,0,Ineligible
2000-2010,000301,0,0,0,Ineligible
1990-2000,000302,0,0,0,Ineligible
2000-2010,000302,0,0,0,Ineligible
1990-2000,000401,0,0,0,Ineligible
2000-2010,000401,0,0,0,Ineligible
1990-2000,000402,0,0,0,Ineligible
2000-2010,000402,0,0,0,Ineligible
1990-2000,000502,0,0,1,Ineligible
2000-2010,000502,0,1,0,Eligible
1990-2000,000503,0,0,1,Ineligible
2000-2010,000503,0,1,0,Eligible
1990-2000,000504,0,0,1,Ineligible
2000-2010,000504,0,1,0,Eligible
1990-2000,000601,0,0,0,Ineligible
2000-2010,000601,0,0,0,Ineligible
1990-2000,000602,0,0,0,Ineligible
2000-2010,000602,0,0,0,Ineligible
1990-2000,000701,0,0,1,Ineligible
2000-2010,000701,0,1,0,Eligible
1990-2000,000703,0,0,0,Ineligible
2000-2010,000703,0,0,0,Ineligible
1990-2000,000704,0,0,1,Ineligible
2000-2010,000704,0,1,0,Eligible
1990-2000,000802,0,0,0,Ineligible
2000-2010,000802,0,0,0,Ineligible
1990-2000,000803,0,1,0,Eligible
2000-2010,000803,0,0,1,Ineligible
1990-2000,010103,0,0,0,Ineligible
2000-2010,010103,0,0,0,Ineligible
1990-2000,010104,0,0,0,Ineligible
2000-2010,010104,0,0,0,Ineligible
1990-2000,010203,0,0,1,Ineligible
2000-2010,010203,1,0,0,Gentrified
1990-2000,010204,0,0,0,Ineligible
2000-2010,010204,0,0,0,Ineligible
1990-2000,010300,0,0,1,Ineligible
2000-2010,010300,1,0,0,Gentrified
1990-2000,010403,0,0,0,Ineligible
2000-2010,010403,0,0,0,Ineligible
1990-2000,010404,0,0,0,Ineligible
2000-2010,010404,0,0,0,Ineligible
1990-2000,010405,0,0,1,Ineligible
2000-2010,010405,0,1,0,Eligible
1990-2000,010408,0,0,1,Ineligible
2000-2010,010408,1,0,0,Gentrified
1990-2000,010500,0,0,0,Ineligible
2000-2010,010500,0,0,0,Ineligible
1990-2000,010600,0,0,0,Ineligible
2000-2010,010600,0,0,0,Ineligible
1990-2000,010701,0,0,0,Ineligible
2000-2010,010701,0,0,0,Ineligible
1990-2000,010702,0,0,0,Ineligible
2000-2010,010702,0,0,0,Ineligible
1990-2000,010801,0,0,0,Ineligible
2000-2010,010801,0,0,0,Ineligible
1990-2000,010802,0,0,0,Ineligible
2000-2010,010802,0,0,0,Ineligible
1990-2000,020101,0,0,0,Ineligible
2000-2010,020101,0,0,0,Ineligible
1990-2000,020200,0,0,0,Ineligible
2000-2010,020200,0,0,0,Ineligible
1990-2000,020301,0,0,0,Ineligible
2000-2010,020301,0,0,0,Ineligible
1990-2000,020302,0,0,0,Ineligible
2000-2010,020302,0,0,0,Ineligible
